Аврушенка вулиця	вулиця Аврушенка
Обушенка вулиця	вулиця Обушенка
Оверченко вулиця	вулиця Оверченко
Одноорченка вулиця	вулиця Одноорченка
Ожоженка вулиця	вулиця Ожоженка
Окатенка вулиця	вулиця Окатенка
Околотенко вулиця	вулиця Околотенко
Оксанченка провулок	провулок Оксанченка
Онищенко вулиця	вулиця Онищенко
Опанасенко вулиця	вулиця Опанасенко
Осипенко вулиця	вулиця Осипенко
Осипенко провулок	провулок Осипенко
Осипенко проїзд	проїзд Осипенко
Осіпенко вулиця	вулиця Осіпенко
Осіпенко провулок	провулок Осіпенко
Остапенко вулиця	вулиця Остапенко
П’ятенка вулиця	вулиця Пʼятенка
Палажченка вулиця	вулиця Палажченка
Панченко вулиця	вулиця Панченко
Пархоменко вулиця	вулиця Пархоменко
Пархоменко провулок	провулок Пархоменко
Пархоменкa вулиця	вулиця Пархоменка
Пасiченка вулиця	вулиця Пасіченка
Педенко вулиця	вулиця Педенко
Петрусенко вулиця	вулиця Петрусенко
Петрусенко провулок	провулок Петрусенко
Петрусенко тупик	тупик Петрусенко
Пиженка вулиця	вулиця Пиженка
Пипенка вулиця	вулиця Пипенка
Пипенка провулок	провулок Пипенка
Писаренко вулиця	вулиця Писаренко
Піюренка вулиця	вулиця Піюренка
Плетенка вулиця	вулиця Плетенка
Плисенка вулиця	вулиця Плисенка
Пойденка вулиця	вулиця Пойденка
Полковника Оксенченка вулиця	вулиця Полковника Оксенченка
Половченка вулиця	вулиця Половченка
Похільченка вулиця	вулиця Похільченка
Правденко провулок	провулок Правденко
Присенка вулиця	вулиця Присенка
Прищепенка вулиця	вулиця Прищепенка
Промогайбенка вулиця	вулиця Промогайбенка
Прохоренко вулиця	вулиця Прохоренко
Проценко вулиця	вулиця Проценко
Ральченка вулиця	вулиця Ральченка
Ральченко вулиця	вулиця Ральченко
Ройченка вулиця	вулиця Ройченка
Романенко вулиця	вулиця Романенко
Ромащенко вулиця	вулиця Ромащенко
Руденко вулиця	вулиця Руденко
Рудниченка вулиця	вулиця Рудниченка
Рудніченко вулиця	вулиця Рудніченко
Савоненка провулок	провулок Савоненка
Савченко вулиця	вулиця Савченко
Садовиченка вулиця	вулиця Садовиченка
Садовниченка вулиця	вулиця Садовниченка
Самійленко вулиця	вулиця Самійленко
Сапоненко вулиця	вулиця Сапоненко
Сапроненка вулиця	вулиця Сапроненка
Свічкаренка вулиця	вулиця Свічкаренка
Свічкаренко вулиця	вулиця Свічкаренко
Семеренко вулиця	вулиця Семеренко
Семиренка вулиця	вулиця Семиренка
Семиренко вулиця	вулиця Семиренко
Сербіненка вулиця	вулиця Сербіненка
Сергіенко вулиця	вулиця Сергіенко
Сивокобиленка вулиця	вулиця Сивокобиленка
Сидоркенка провулок	провулок Сидоркенка
Сипаренка вулиця	вулиця Сипаренка
Смутченка вулиця	вулиця Смутченка
Солов’яненка вулиця	вулиця Соловʼяненка
Строменка вулиця	вулиця Строменка
Сурдуленко вулиця	вулиця Сурдуленко
Таісії Буряченко вулиця	вулиця Таісії Буряченко
Таранущенка вулиця	вулиця Таранущенка
Тарасенко вулиця	вулиця Тарасенко
Терніченко вулиця	вулиця Терніченко
Тесленко вулиця	вулиця Тесленко
Тимошенко вулиця	вулиця Тимошенко
Тимошенко провулок	провулок Тимошенко
Титенко вулиця	вулиця Титенко
Тищенко вулиця	вулиця Тищенко
Тімченко вулиця	вулиця Тімченко
Тітенко вулиця	вулиця Тітенко
Ткаленко квартал	квартал Ткаленко
Ткаченко вулиця	вулиця Ткаченко
Ткаченко площа	площа Ткаченко
Ткаченко-Петренко вулиця	вулиця Ткаченко-Петренко
Тоболенка вулиця	вулиця Тоболенка
Товстенко вулиця	вулиця Товстенко
Торопченка вулиця	вулиця Торопченка
Трофіменко вулиця	вулиця Трофіменко
Трофіменко провулок	провулок Трофіменко
Трубченка вулиця	вулиця Трубченка
Усенко вулиця	вулиця Усенко
Усенко провулок	провулок Усенко
Устенко вулиця	вулиця Устенко
Федоренко вулиця	вулиця Федоренко
Федющенка вулиця	вулиця Федющенка
Фроленка вулиця	вулиця Фроленка
Фуженка вулиця	вулиця Фуженка
Харченко вулиця	вулиця Харченко
Ходченка вулиця	вулиця Ходченка
Хомченко вулиця	вулиця Хомченко
Цокуренка вулиця	вулиця Цокуренка
Чапленка алея	алея Чапленка
Чекаленко вулиця	вулиця Чекаленко
Чернопащенка вулиця	вулиця Чернопащенка
Чехмистренко вулиця	вулиця Чехмистренко
Чмиренка вулиця	вулиця Чмиренка
Чухаленко вулиця	вулиця Чухаленко
Шаренка вулиця	вулиця Шаренка
Шевсченка вулиця	вулиця Шевсченка
Шевченко вул	вулиця Шевченко
Шевченко вулиця	вулиця Шевченко
Шевченко квартал	квартал Шевченко
Шевченко провулок	провулок Шевченко
Шепотиленка вулиця	вулиця Шепотиленка
Шеченка вулиця	вулиця Шеченка
Шеченко вулиця	вулиця Шеченко
Шкапенка вулиця	вулиця Шкапенка
Штеменка вулиця	вулиця Штеменка
Щаденка в’їзд	вʼїзд Щаденка
Щаденка вулиця	вулиця Щаденка
Щаденка провулок	провулок Щаденка
Щаденко вулиця	вулиця Щаденко
Эрошенка вулиця	вулиця Єрошенка
Явдокименка вулиця	вулиця Явдокименка
Якименко вулиця	вулиця Якименко
Яковенко вулиця	вулиця Яковенко
Яременко вулиця	вулиця Яременко
Ярмошенка вулиця	вулиця Ярмошенка
Ярошенко вулиця	вулиця Ярошенко
Яцуненка вулиця	вулиця Яцуненка
Яцуненко вулиця	вулиця Яцуненко
Боєнка вулиця	вулиця Боєнка
Вакацієнка вулиця	вулиця Вакацієнка
Генерала Корнiєнко вулиця	вулиця Генерала Корнієнко
Гордієнко вулиця	вулиця Гордієнко
Гордієнко провулок	провулок Гордієнко
Зуєнко провулок	провулок Зуєнко
Китаєнка вулиця	вулиця Китаєнка
Кіпєнка вулиця	вулиця Кіпєнка
Матієнко вулиця	вулиця Матієнко
Огієнко вулиця	вулиця Огієнко
Онопрієнко вулиця	вулиця Онопрієнко
Онупрієнка вулиця	вулиця Онупрієнка
Сергієнко вулиця	вулиця Сергієнко
Сергієнко провулок	провулок Сергієнко
Старієнка вулиця	вулиця Старієнка
Шалаєнко вулиця	вулиця Шалаєнко
Шкрептиєнка вулиця	вулиця Шкрептиєнка
