
1-й вʼїзд Байрона	1-й Байрона в’їзд
1-й провулок Вадима Пузирьова	1-й Вадима Пузирьова провулок
1-й провулок Василенкове Поле	1-й Василенкове Поле провулок
1-й провулок Василя Кандинського	1-й Василя Кандинського провулок
1-й провулок Василя Сліпака	1-й Василя Сліпака провулок
1-й провулок Василя Стефаника	1-й Василя Стефаника провулок
1-й провулок Васіле Александрі	1-й Васіле Александрі провулок
1-й провулок Ватутіна	1-й Ватутіна провулок
1-й провулок Вахрамеєва	1-й Вахрамеєва провулок
1-й провулок Верхній Вокзальний	1-й Верхній Вокзальний провулок
1-й провулок Весніна	1-й Весніна провулок
1-й провулок Високовича	1-й Високовича провулок
1-й провулок Вишневої вулиці	1-й Вишневої вулиці провулок
1-й провулок Вишневського	1-й Вишневського провулок
1-й провулок Відпочинку	1-й Відпочинку провулок
1-й провулок Відродження	1-й Відродження провулок
1-й провулок Віктора Горіна	1-й Віктора Горіна провулок
1-й провулок Віктора Мирутенка	1-й Віктора Мирутенка провулок
1-й провулок Вознесенської	Вознесенської 1-й провулок
1-й провулок Волі	1-й провулок Волi
1-й провулок Володимира Великого	1-й Володимира Великого провулок
1-й провулок Володимира Івасюка	1-й Володимира Івасюка провулок
1-й провулок Володимира Свідзінського	1-й Володимира Свідзінського провулок
1-й провулок Воровського	1-й Воровського провулок
1-й провулок Ворошилова	1-й Ворошилова провулок
1-й провулок Всіхсвятської	Всіхсвятської 1-й провулок
1-й провулок вулиці Григорія Сковороди	1-й Григорія Сковороди вулиці провулок
1-й провулок вулиці Кавалерідзе	1-й Кавалерідзе вулиці провулок
1-й провулок вулиці Короленка	Короленка вулиці 1-й провулок
1-й провулок вулиці Леніна	провулок 1-й Леніна вулиці
1-й провулок вулиці Миру	1-й Миру вулиці провулок
1-й провулок вулиці Чекістів	провулок 1-й вулиці Чекістів
1-й провулок вулиці Чернишевського	1-й Чернишевського вулиці провулок
1-й провулок вулиці Шевченка	1-й Шевченка вулиці провулок
1-й провулок вулиці Щепкіна	1-й Щепкіна вулиці провулок
1-й провулок Вʼячеслава Чорновола	1-й В’ячеслава Чорновола провулок
1-й провулок Г. Морозової	1-й Г.Морозової провулок
1-й провулок Гагаріна	1-й Гагаріна провулок
1-й провулок Гайдамаків	1-й провулок Гайдамаків
1-й провулок Гайдара	1-й Гайдара провулок
1-й провулок Георгіївської вулиці	1-й Георгіївської вулиці провулок
1-й провулок Героїв Крут	Героїв Крут перший провулок
1-й провулок Героїв України	1-й Героїв України провулок
1-й провулок Героїв Чорнобиля	1-й Героїв Чорнобиля провулок
1-й провулок Герцена	1-й Герцена провулок
1-й провулок Гетьмана Дорошенка	1-й Гетьмана Дорошенка провулок
1-й провулок Гетьмана Сагайдачного	1-й Гетьмана Сагайдачного провулок
1-й провулок Гетьмана Скоропадського	1-й Гетьмана Скоропадського провулок
1-й провулок Глазунова	1-й Глазунова провулок
1-й провулок Глінки	1-й Глінки провулок
1-й провулок Гната Танцюри	1-й Гната Танцюри провулок
1-й провулок Гніванське Шосе	1-й Гніванське шосе провулок
1-й провулок Гоголя	1-й Гоголя провулок
1-й провулок Горького	1-й Горького провулок
1-й провулок Горького	І провулок Горького
1-й провулок Горького	Перший Горького провулок
1-й провулок Грибоєдова	1-й Грибоєдова провулок
1-й провулок Григорія Чупринки	1-й Григорія Чупринки провулок
1-й провулок Громова	1-й Громова провулок
1-й провулок Грушевського	1-й Грушевського провулок
1-й провулок Грушевського	1-й провулок Грушевського 
1-й провулок Грушевського	провулок Грушевського І
1-й провулок Данила Галицького	1-й Данила Галицького провулок
1-й провулок Данила Нечая	1-й Данила Нечая провулок
1-й провулок Декабристів	1-й Декабристів провулок
1-й провулок Дениса Квітковського	1-й Дениса Квітковського провулок
1-й провулок Джамбула	1-й Джамбула провулок
1-й провулок Дзержинського	1-й Дзержинського провулок
1-й провулок Дзержинського	Дзержинського 1-й провулок
1-й провулок Димитрова	1-й Димитрова провулок
1-й провулок Добролюбова	1-й Добролюбова провулок
1-й провулок Довженка	1-й Довженка провулок
1-й провулок Другої Пʼятирічки	1-й Другої П'ятирічки провулок
1-й провулок Дружби	1-й Дружби провулок
1-й провулок Дубініна	1-й Дубініна провулок
1-й провулок Дудіна	1-й Дудіна провулок
1-й провулок Дунаєвського	1-й Дунаєвського провулок
1-й провулок Дундича	1-й Дундича провулок
1-й провулок Енергетиків	1-й Енергетиків провулок
1-й провулок Євгена Чикаленка	1-й Євгена Чикаленка провулок
1-й провулок Жовтневої вулиці	1-й Жовтневої вулиці провулок
1-й провулок Жовтневої вулиці	провулок 1-й Жовтневої вулиці
1-й провулок Жукова	1-й Жукова провулок
1-й провулок Загребелля	1-й Загребелля провулок
1-й провулок Задніпровського	1-й Задніпровського провулок
1-й провулок Залізничної вулиці	1-й Залізничної вулиці провулок
1-й провулок Западинської	Западинської 1-й провулок
1-й провулок Затонського	1-й Затонського провулок
1-й провулок Захарченка	1-ий Захарченка провулок
1-й провулок Зелінського	1-й Зелінського провулок
1-й провулок Злагоди	1-й Злагоди провулок
1-й провулок Зорге	1-й Зорге провулок
1-й провулок І. Франка	1-й І.Франка провулок
1-й провулок Івана Богуна	1-й Івана Богуна провулок
1-й провулок Івана Виговського	1-й Івана Виговського провулок
1-й провулок Івана Липи	1-й Івана Липи провулок
1-й провулок Івана Мазепи	1-й Івана Мазепи провулок
1-й провулок Івана Підкови	1-й Івана Підкови провулок
1-й провулок Івана Франка	1-й Івана Франка провулок
1-й провулок Івана Хоменка	1-й Івана Хоменка провулок
1-й провулок Івана Чирки	1-й Івана Чирки провулок
1-й провулок Іванова	1-й Іванова провулок
1-й провулок Ігоря Костецького	1-й Ігоря Костецького провулок
1-й провулок Ігоря Муратова	1-й Ігоря Муратова провулок
1-й провулок Ігоря Сікорського	1-й Ігоря Сікорського провулок
1-й провулок Іларія Карбулицького	1-й Іларія Карбулицького провулок
1-й провулок Іллінської вулиці	1-й Іллінської вулиці провулок
1-й провулок К. Цеткін	1-ий К. Цеткін провулок
1-й провулок Калініна	1-й Калініна провулок
1-й провулок Камʼянопотіцької	1-й Кам’янопотіцької провулок
1-й провулок Карасика	1-й Карасика провулок
1-й провулок Карбишева	1-й Карбишева провулок
1-й провулок Карла Маркса	1-й Карла Маркса провулок
1-й провулок Карла Маркса	1-й провулок Карла Маркса
1-й провулок Кармелюка	1-й Кармелюка провулок
1-й провулок Каті Зеленко	1-й Каті Зеленко провулок
1-й провулок Кибальчича	1-й Кибальчича провулок
1-й провулок Київської вулиці	1-й Київської вулиці провулок
1-й провулок Кірова	1-й Кірова провулок
1-й провулок Кірова	Кірова 1-й провулок
1-й провулок Клубної	Клубної 1-й провулок
1-й провулок Ковалевської	1-й Ковалевської провулок
1-й провулок Ковпака	1-й Ковпака провулок
1-й провулок Козацької Слави	1-й Козацької Слави провулок
1-й провулок Комарова	1-й Комарова провулок
1-й провулок Комінтерна	Комінтерна 1-й провулок
1-й провулок Комінтерну	1-й Комінтерну провулок
1-й провулок Комсомольської	Комсомольської 1-й провулок
1-й провулок Комсомольської вулиці	1-й Комсомольської вулиці провулок
1-й провулок Комунарівської	1-й Комунарівської провулок
1-й провулок Коновальця	1-й Коновальця провулок
1-й провулок Кононівської вулиці	1-й Кононівської вулиці провулок
1-й провулок Константиновича	1-й Константиновича провулок
1-й провулок Короленка	1-й Короленка провулок
1-й провулок Корольова	1-й Корольова провулок
1-й провулок Космонавтів	1-й Космонавтів провулок
1-й провулок Костенюк	1-й Костенюк провулок
1-й провулок Котляревського	1-й Котляревського провулок
1-й провулок Коцюбинського	1-й Коцюбинського провулок
1-й провулок Кривий Брід	1-й Кривий Брід провулок
1-й провулок Кривоноса	1-й Кривоноса провулок
1-й провулок Крилова	1-й Крилова провулок
1-й провулок Кропоткіна	1-й Кропоткіна провулок
1-й провулок Круглицької	1-й Круглицької провулок
1-й провулок Крупської	1-й Крупської провулок
1-й провулок Крупської	Крупської 1-й провулок
1-й провулок Куйбишевої вулиці	Куйбишевої вулиці 1-й провулок
1-й провулок Кутузова	1-й Кутузова провулок
1-й провулок Кутузова	Перший Кутузова провулок
1-й провулок Кушніра	1-й Кушніра провулок
1-й провулок Леваневського	1-й Леваневського провулок
1-й провулок Леніна	1-й Леніна провулок
1-й провулок Леніна	Леніна 1-й провулок
1-й провулок Леоніда Каденюка	1-й Леоніда Каденюка провулок
1-й провулок Леоніда Мосендза	1-й Леоніда Мосендза провулок
1-й провулок Леонтовича	1-й Леонтовича провулок
1-й провулок Лермонтова	1-й Лермонтова провулок
1-й провулок Лесі Українки	1-й Лесі Українки провулок
1-й провулок Лесі Українки	1-й Лесі УКраїнки провулок
1-й провулок Леся Курбаса	1-й Леся Курбаса провулок
1-й провулок Лисенка	1-й Лисенка провулок
1-й провулок Литвиненка	1-й Литвиненка провулок
1-й провулок Лідової	1-й Лідової провулок
1-й провулок Лікарняної вулиці	1-й Лікарняної вулиці провулок
1-й провулок Ломоносова	1-й Ломоносова провулок
1-й провулок Лубенського Полку	1-й Лубенського Полку провулок
1-й провулок Лугової вулиці	провулок 1-й Лугової вулиці
1-й провулок Луценка	Луценка 1-й провулок
1-й провулок Льва Толстого	1-й Льва Толстого провулок
1-й провулок Людмили Борисової	1-й Людмили Борисової провулок
1-й провулок Лялі Убийвовк	1-й Лялі Убийвовк провулок
1-й провулок Мазепи	1-ий Мазепи провулок
1-й провулок Мазепи	1-й Мазепи провулок
1-й провулок Макаренка	1-й Макаренка провулок
1-й провулок Макаренко	1-й Макаренко провулок
1-й провулок Максима Рильського	1-й Максима Рильського провулок
1-й провулок Максима Шаповала	1-й Максима Шаповала провулок
1-й провулок Максютова	1-й Максютова провулок
1-й провулок Малюги	1-й Малюги провулок
1-й провулок Мануїльського	1-й Мануїльського провулок
1-й провулок Марії Литвиненко-Вольгемут	1-й Марії Литвиненко-Вольгемут провулок
1-й провулок Марії Примаченко	1-й Марії Примаченко провулок
1-й провулок Матросова	1-й Матросова провулок
1-й провулок Маяковського	1-й Маяковського провулок
1-й провулок Механізаторів	1-й Механізаторів провулок
1-й провулок Мєчнікова	1-й Мєчнікова провулок
1-й провулок Миколи Костомарова	1-й Миколи Костомарова провулок
1-й провулок Миколи Леонтовича	1-й Миколи Леонтовича провулок
1-й провулок Миколи Міхновського	1-й Миколи Міхновського провулок
1-й провулок Миколи Римського-Корсакова	1-й Миколи Римського-Корсакова провулок
1-й провулок Миколи Римського-Корсакова	Ⅰ Миколи Римського-Корсакова провулок
1-й провулок Миколи Романенка	1-й Миколи Романенка провулок
1-й провулок Миколи Хвильового	1-й Миколи Хвильового провулок
1-й провулок Мирослава Скорика	1-й Мирослава Скорика провулок
1-й провулок Мирошниченка	1-й Мирошниченка провулок
1-й провулок Миру	1-й Миру провулок
1-й провулок Миру	провулок1-й Миру
1-й провулок Михайла Грищенка	1-й Михайла Грищенка провулок
1-й провулок Михайла Грушевського	1-й Михайла Грушевського провулок
1-й провулок Мічуріна	1-й Мічуріна провулок
1-й провулок Міщенка	1-й Міщенка провулок
1-й провулок Молодіжної вулиці	1-й Молодіжної вулиці провулок
1-й провулок Молодіжної вулиці	провулок 1-й Молодіжної вулиці
1-й провулок Монастирської	1-й Монастирської провулок
1-й провулок Моріса Тореза	1-й Моріса Тореза провулок
1-й провулок Москвіна	1-й Москвіна провулок
1-й провулок Н. Сосніної	1-й Н. Сосніної провулок
1-й провулок Набережної вулиці	провулок 1-й Набережної вулиці
1-й провулок Надії	1-й Надії провулок
1-й провулок Надрічної	1-й провулок Надрічної
1-й провулок Надрічної	І провулок Надрічної
1-й провулок Насті Присяжнюк	1-й Насті Присяжнюк провулок
1-й провулок Нахімова	1-й Нахімова провулок
1-й провулок Незалежності	1-й Незалежності провулок
1-й провулок Незнайка	1-й Незнайка провулок
1-й провулок Некрасова	1-й Некрасова провулок
1-й провулок Немирівське Шосе	1-й Немирівське шосе провулок
1-й провулок Нове Життя	1-й Нове Життя провулок
1-й провулок Нової	1-й Нової провулок
1-й провулок Новоселецької	1-й Новоселецької провулок
1-й провулок Новоселівки 	1-й Новоселівки перевулок
1-й провулок Оболоньської вулиці	1-й Оболоньської вулиці провулок
1-й провулок Олександра Герцена	1-й Олександра Герцена провулок
1-й провулок Олександра Лотоцького	1-й Олександра Лотоцького провулок
1-й провулок Олександра Невського	1-й Олександра Невського провулок
1-й провулок Олекси Десняка	1-й Олекси Десняка провулок
1-й провулок Олексія Алчевського	1-й Олексія Алчевського провулок
1-й провулок Олексія Демʼянюка	1-й провулок Олексія Дем'янюка
1-й провулок Олексія Миргородського	1-й Олексія Миргородського провулок
1-й провулок Олеся Гончара	1-й Олеся Гончара провулок
1-й провулок Омеляна Грабця	1-й Омеляна Грабця провулок
1-й провулок Опанаса Сластіона	1-й Опанаса Сластіона провулок
1-й провулок Орджонікідзе	1-й Орджонікідзе провулок
1-й провулок Осипенко	1-й Осипенко провулок
1-й провулок Островського	1-й Островського провулок
1-й провулок Павла Бадаєва	1-й Бадаєва Павла провулок
1-й провулок Павленка	1-й Павленка провулок
1-й провулок Пархоменка	1-й Пархоменка провулок
1-й провулок Перемоги	1-й Перемоги провулок
1-й провулок Пестеля	1-й Пестеля провулок
1-й провулок Петера Новотні	1-й Петера Новотні провулок
1-й провулок Петра Вовни	1-й Петра Вовни провулок
1-й провулок Петра Волинця	1-й Петра Волинця провулок
1-й провулок Петра Сагайдачного	1-й Петра Сагайдачного провулок
1-й провулок Петровського	1-й Петровського провулок
1-й провулок Пилипа Орлика	1-й Пилипа Орлика провулок
1-й провулок Пирогова	1-й Пирогова провулок
1-й провулок Північно-Кільцевої	1-й Північно-Кільцевої провулок
1-й провулок Піонтковського	1-й Піонтковського провулок
1-й провулок Покровського	1-й Покровського провулок
1-й провулок Покровської вулиці	1-й Покровської вулиці провулок
1-й провулок Полтавської вулиці	1-й Полтавської вулиці провулок
1-й провулок Полубудкіна	1-й Полубудкіна провулок
1-й провулок Поповича	1-й Поповича провулок
1-й провулок Постишева	1-й Постишева провулок
1-й провулок Постишева	Постишева 1-й провулок
1-й провулок Праці	1-й Праці провулок
1-й провулок Праці	провулок 1-й Праці
1-й провулок Просужого	1-й Просужого провулок
1-й провулок Професора Голуба	1-й Професора Голуба провулок
1-й провулок Пушкіна	1-й Пушкіна провулок
1-й провулок Пушкіна	1-й Пушкіна провулокь
1-й провулок Радищева	1-й Радищева провулок
1-й провулок Радянської вулиці	1-й провулок Радянської вулиці
1-й провулок Радянської вулиці	1-й Радянської вулиці провулок
1-й провулок Раскової	1-й Раскової провулок
1-й провулок Рахматуліна	1-й Рахматуліна провулок
1-й провулок Рилєєва	1-й Рилєєва провулок
1-й провулок Рози Люксембург	1-й Рози Люксембург провулок
1-й провулок Романа Балаби	1-й Романа Балаби провулок
1-й провулок Роменської вулиці	1-й Роменської вулиці провулок
1-й провулок Роменської вулиці	провулок 1-й Роменської вулиці
1-й провулок Руданського	1-й Руданського провулок
1-й провулок Русанівської вулиці	1-й Русанівської вулиці провулок
1-й провулок Рятувальників	1-й Рятувальників провулок
1-й провулок Сагайдачного	1-й Сагайдачного провулок
1-й провулок Садової	1-й Садової провулок
1-й провулок Садової вулиці	1-й Садової вулици провулок
1-й провулок Сарнавської	1-й Сарнавської провулок
1-й провулок Свердлова	1-й Свердлова провулок
1-й провулок Свердлова	Свердлова 1-й провулок
1-й провулок Світанкової вулиці	1-й Світанкової вулиці провулок
1-й провулок Свободи	1-й Свободи провулок
1-й провулок Семена Галицького	1-й Семена Галицького провулок
1-й провулок Семена Гаркуші	1-й Семена Гаркуші провулок
1-й провулок Семена Палія	1-й Семена Палія провулок
1-й провулок Серафимовича	1-й Серафимовича провулок
1-й провулок Симона Петлюри	1-й Симона Петлюри провулок
1-й провулок Січових Стрільців	1-й Січових стрільців провулок
1-й провулок Січових Стрільців	1-й Січових Стрільців провулок
1-й провулок Сковороди	1-й Сковороди провулок
1-й провулок Соборної вулиці	провулок 1-й Соборної вулиці
1-й провулок Софії Русової	1-й Софії Русової провулок
1-й провулок Старий Шлях	1-й Старий Шлях провулок
1-й провулок Степанюка	1-й Степанюка провулок
1-й провулок Степової вулиці	Степової вулиці 1-й провулок
1-й провулок Стеценка	1-й Стеценка провулок
1-й провулок Суворова	1-й Суворова провулок
1-й провулок Суворова вулиці	1-й Суворова вулиці провулок
1-й провулок Сумської вулиці	Сумської вулиці 1-й провулок
1-й провулок Сурикова	1-й Сурикова провулок
1-й провулок Танкістів	1-й Танкистів провулок
1-й провулок Танкістів	1-й Танкістів провулок
1-й провулок Тараса Шевченка	1-й Тараса Шевченка провулок
1-й провулок Тараса Шевченка	провулок 1-й Тараса Шевченка
1-й провулок Текстильників	1-й Текстильників провулок
1-й провулок Тельмана	1-й Тельмана провулок
1-й провулок Тельмана	Тельмана 1 провулок
1-й провулок Тетяни Яблонської	1-й Тетяни Яблонської провулок
1-й провулок Тімірязєва	1-й Тімірязєва провулок
1-й провулок Толстого	1-й Толстого провулок
1-й провулок Топольського	1-й Топольського провулок
1-й провулок Травневої вулиці	провулок 1-й Травневої вулиці
1-й провулок Тракторної вулиці	1-й Тракторної вулиці провулок
1-й провулок Тропініна	1-й Тропініна провулок
1-й провулок Трублаїні	1-й Трублаїні провулок
1-й провулок Трутовського	1-й Трутовського провулок
1-й провулок Тухачевського	1-й Тухачевського провулок
1-й провулок Ульянова	1-й Ульянова провулок
1-й провулок Успенсько-Троїцької	1-й Успенсько-Троїцької провулок
1-й провулок Устима Кармелюка	1-й Устима Кармелюка провулок
1-й провулок Ушакова	1-й Ушакова провулок
1-й провулок Ушинського	1-й Ушинського провулок
1-й провулок Франка	1-й Франка провулок
1-й провулок Фрунзе	1-й Фрунзе провулок
1-й провулок Фрунзе	Фрунзе 1-й провулок
1-й провулок Фурманова	1-й Фурманова провулок
1-й провулок Хмельницького Шосе	1-й Хмельницького шосе провулок
1-й провулок Центральної	Центральної 1-й провулок
1-й провулок Центральної вулиці	провулок 1-й Центральної вулиці
1-й провулок Чайковського	1-й Чайковського провулок
1-й провулок Чапаєва	1-й Чапаєва провулок
1-й провулок Чапаєва	Чапаєва 1-й провулок
1-й провулок Челюскінців	1-й Челюскінців провулок
1-й провулок Червоногірської	1-й Червоногірської провулок
1-й провулок Чернишевського	1-й Чернишевського провулок
1-й провулок Черняховського	1-й Черняховського провулок
1-й провулок Чехова	1-й Чехова провулок
1-й провулок Чкалова	1-й Чкалова провулок
1-й провулок Чхаїдзе	1-й Чхаїдзе провулок
1-й провулок Шевченка	1-й провулок Шевченка
1-й провулок Шевченка	1-й Шевченка провулок
1-й провулок Шишкіна	1-й Шишкіна провулок
1-й провулок Шкільної вулиці	1-й Шкільної вулиці провулок
1-й провулок Штепіна	1-й Штепіна провулок
1-й провулок Щасливої	1-й Щасливої провулок
1-й провулок Щасливої вулиці	1-й Щасливої вулиці провулок
1-й провулок Щорса	1-й Щорса провулок
1-й провулок Щорса	Щорса 1-й провулок
1-й провулок Юннатів	1-й Юннатів провулок
1-й провулок Юності	1-й Юності провулок
1-й провулок Юрія Гагаріна	1-й Юрія Гагаріна провулок
1-й провулок Юрченків	1 Юрченків провулок
1-й провулок Ющенка	1-й Ющенка провулок
1-й провулок Яблуневої вулиці	1-й Яблуневої вулици провулок
1-й провулок Якова Батюка	1-й Якова Батюка провулок
1-й провулок Якова Степового	1-й Якова Степового провулок
1-й провулок Ярослава Мудрого	1-й Ярослава Мудрого провулок
1-й проїзд	1-й Проїзд проїзд
1-й проїзд	Проїзд 1
1-й проїзд 21-го МЮДу	1-й проезд 21-го МЮДа
1-й проїзд Автомобілістів	1-й Автомобілістів проїзд
1-й проїзд Академіка Вернадського	1-й Академіка Вернадського проїзд
1-й проїзд Верейського	1-й Верейського проїзд
1-й проїзд Віктора Блащука	1-й Віктора Блащука проїзд
1-й проїзд вулиці Пожарського вулиці	Пожарского вулиця (1-й проїзд)
1-й проїзд Г. Морозової	1-й Г.Морозової проїзд
1-й проїзд Генерала Арабея	1-й Генерала Арабея проїзд
1-й проїзд Гетьмана Мазепи	Гетьмана Мазепи проїзд 1-й
1-й проїзд Гната Юри	1-й Гната Юри проїзд
1-й проїзд Докучаєва	1-й Докучаєва проїзд
1-й проїзд Енергетиків	1-й Енергетиків проїзд
1-й проїзд Журналістів	1-й Журналістів проїзд
1-й проїзд Івана Пулюя	1-й Івана Пулюя проїзд
1-й проїзд Карбишева	1-й Карбишева проїзд
1-й проїзд Константиновича	1-й Константиновича проїзд
1-й проїзд Купайла	1-й Купайла проїзд
1-й проїзд Макаренка	1-й Макаренка проїзд
1-й проїзд Максимовича	1-й Максимовича проїзд
1-й проїзд Меліораторів	1-й Меліораторів проїзд
1-й проїзд Мрії	1-й Мрії проїзд
1-й проїзд Олексія Миргородського	1-й Олексія Миргородського проїзд
1-й проїзд Польового Майдану	1-й Польового Майдану проїзд
1-й проїзд Постишева	1-й Постишева проїзд
1-й проїзд Праведників Світу	1-й Праведників світу проїзд
1-й проїзд Технологів	1-й Технологів проїзд
1-й проїзд Харчовиків	1-й Харчовиків проїзд
1-й проїзд Хіміків	1-й Хіміків проїзд
1-й проїзд Цукровиків	1-й Цукровиків проїзд
1-й проїзд Черняховського	1-й Черняховського проїзд
1-й проїзд Чехова	1-й Чехова проїзд
1-й проїзд Чехова	Чехова проїзд 1-й
1-й проїзд Шаумяна	1-й Шаумяна проїзд
1-й проїзд Шевченка	1-й Шевченка проїзд
1-й проїзд Юрія Левади	1-й Юрія Левади проїзд
1-й тупик Авіаторської	1-й Авіаторської тупик
1-й тупик Дружби	1-й Дружби тупик
1-й тупик Західної вулиці	Вулиці Західної 1-й тупик
1-й тупик Кирила Бочкарьова	1-й Кирила Бочкарьова тупик
1-й тупик Кремельницької вулиці	Кремельницької вулиці 1-й тупик
1-й тупик Лермонтова	1-й Лермонтова тупик
1-й тупик Литвиненка	1-й Литвиненка тупик
1-й тупик Марії Литвиненко-Вольгемут	1-й Марії Литвиненко-Вольгемут тупик
1-й тупик Мічуріна	1-й Мічуріна тупик
1-й тупик Нахімова	1-й Нахімова тупик
1-й тупик Одоєвського	1-й Одоєвського тупик
1-й тупик Олега Кошового	Олега Кошового 1 тупік
1-й тупик Посульський Узвіз	1-й Посульський Узвіз тупик
1-й тупик Толстого	1-й Толстого тупик
1-й тупик Центральної вулиці	1-й Центральної вулиці тупик
1-й тупик Чкалова	1-й Чкалова тупик
1-й тупик Щорса	1-й Щорса тупик
1-ша алея	1-а аллея
1-ша алея	1-я аллея
1-ша вулиця	1-а вулиця
1-ша вулиця	Перша вулиця
1-ша вулиця Бабушкіна	1-а Бабушкіна вулиця
1-ша вулиця Будівельників	1-а Будівельників вулиця
1-ша вулиця Віли	1-а Віли вулиця
1-ша вулиця Віли	Віли 1 вулиця
1-ша вулиця Вірьовчина	1-а Вірьовчина вулиця
1-ша вулиця Водопʼянова	1-а Водоп’янова вулиця
1-ша вулиця Гайдара	1-й Гайдара вулиця
1-ша вулиця Галатовка	1-а Галатовка вулиця
1-ша вулиця Дзержинського	1-а Дзержинського вулиця
1-ша вулиця Ентузіастів	1-а Ентузіастів вулиця
1-ша вулиця Закрупець	1-а Закрупець вулиця
1-ша вулиця Заставʼя	Застав'я-1 вулиця
1-ша вулиця Ізотова	1-а Ізотова вулиця
1-ша вулиця Кальчик	1-а Кальчик вулиця
1-ша вулиця Кірова	1 Кірова вулиця
1-ша вулиця Кордівка	1-а Кордівка вулиця
1-ша вулиця Липовиця	Липовиця-І вулиця
1-ша вулиця Любич	Любич-1 вулиця
1-ша вулиця Матросова	1-а Матросова вулиця
1-ша вулиця Менделєєва	1-а Менделєєва вулиця
1-ша вулиця Менделєєва	Менделєєва-1 вулиця
1-ша вулиця Мурейки	1-а Мурейки вулиця
1-ша вулиця Мурейки	Мурейки 1 вулиця
1-ша вулиця Олександрівка	1-а Олександрівка вулиця
1-ша вулиця Оріон	Оріон 1 вулиця
1-ша вулиця Переселенці	1-а Переселенці вулиця
1-ша вулиця Пирогова	1-ая Пирогова вулиця
1-ша вулиця Плитниця	Перша Плитниця вулиця
