Автоскло Сервіс	Автостекло Сервіс
медіс-т	Медіс-т
дсп-двп	Дсп-двп
ЖК  Альпійський	ЖК Альпійський
провулок Піонерській	провулок Піонерський
перемога  християнська церква	Перемога християнська церква
вулиця Невского	вулиця Невського
Кумейки	Кумійки
Спрага	Жажда
вулиця Петра Онищенко	вулиця Петра Онищенка
Урощище Садове	Урочище Садове
база відпочинку. ЧАЙКА	База відпочинку. ЧАЙКА
ЮГ -2000	Південь -2000
ДНІПРО  М	ДНІПРО М
Дізель Сервіс	Дизель Сервіс
авто парк Укр Пошта	Авто парк Укр Пошта
провулок Хоменка	провулок Хом'янка
вулиця Колхозна	вулиця Колгоспна
Бджоловіз причипи	Пчеловіз причіпи
корпус 2	Корпус 2
Теріторія Звука	Територія Звуку
провулок 3 Комсомольскій	провулок 3 Комсомольський
ФЕНІКС	Фенікс
корпус 1	Корпус 1
вулиця Праці / Труда	вулиця Праці / Праці
ЖК  ОЛІВІЯ	ЖК ОЛІВІЯ
провулок Котовского	провулок Котовського
вкусний домік у Максіма	Смачний домік у Максіма
Могінскій	Могінський
авто Глушники	Авто Глушники
вулиця Байди Вишневецького	вулиця Байді Вишневецького
провулок Молоджнийі	провулок Молодіжні
ВАШ  АНГАР	ВАШ АНГАР
вулиця Королева	вулиця Корольова
вулиця Узаіз Франка	вулиця Узаїз Франка
вулиця Благовісна -Леніна	вулиця Благовісна-Леніна
Родень	Родінь
вулиця Красноармійська	вулиця Червоноармійська
вулиця Васидини	вулиця Васидіні
Захист Рослин	Захист Рослін
Хрест на межі сіл Бочківці та Шилівці	Хрест на межі сел Бочківці та Шилівці
М'сник	М'снік
Католицьке кладовище села Шпанів	Католическое кладовище села Шпанів
Перукарня експрес	Парикмахерська експрес
вулиця Дмитра Рути	вулиця Дмитра Руті
Вулиця Спортивна	вулиця Спортивна
Вулиця Дніпровські Пороги	вулиця Дніпровські Пороги
Долішня вулиця	Долишня вулиця
Сказка	Казка
Вулиця Набережна	вулиця Набережна
церква Святого Миколая	Церква Святого Миколая
полонина Маріїн	Полонина Маріїн
Церква "Оселя Благодаті"	Церковь "Оселя Благодаті"
ЖК Зенит	ЖК Зеніт
Нігинська гімназія	Нігінська гімназія
Автошара	Автокуля
Дом пасечника	Будинок пасічника
ФГ "Бургуджи"	ФГ "Бургуджі"
Вул. Гірська 1	вул. Гірська 1
Вул. Гірська 2	вул. Гірська 2
Вул. Гірська 4	вул. Гірська 4
Церква Святого Онуфрія	Церковь Святого Онуфрія
Сільскогосподарська організація Ф.Г Костів	Сільськогосподарська організація Ф.Г Костів
Церква св. архангела Михаїла ПЦУ	Церковь св. архангела Михайла ПЦУ
ЗДО "Казка"	ЗДО "Сказка"
Церква св. вмч. Димитрія Солунського ПЦУ	Церковь св. вмч. Димитрія Солунського ПЦУ
Стихійне звалище	Стихійна звалища
СЭС Миколаївка	СЕС Миколаївка
Пужникова	Пужнікова
Курортная	Курортна
Эденбурга	Еденбург
Краснослобідська школа	Червонослобідська школа
"Розовый дом"	"Рожевий дім"
Садівниче Товариство Сучасник	Садівниче Товариство Современник
Церква святих Косьми і Даміана ПЦУ	Церква святих Косми та Даміана ПЦУ
мойка	Мийка
Сосны	Сосни
Оптовый рынок	Оптовий ринок
Мясной павильон	М'ясний павільйон
Колибка з буржуйкою	Колібка з буржуйкою
Удачна вулиця	Вдала вулиця
Фаянсова тропа	Фаянсова стежка
Дует	Дує
Табор	Табір
Заброшеный склад химических отходов	Занедбаний склад хімічних відходів
Закрыиая школа	Закрытая школа
Будівництво торгівельного комплексу	Будівництво торговельного комплексу
Мисливський будинокй	Мисливський будинок
Неизвестное кладбище	Невідомий цвинтар
Магазин "Продукты" - ЧП "Хоменко"	Магазин "Продукти" - ПП "Хоменко"
Радуга	Веселка
Церква Св. Архістратига Михаїла ПЦУ	Церква Св. Архістратига Михайла ПЦУ
модульне містечко	Модульне містечко
Церква Воздвиження Чесного Хреста ПЦУ	Церковь Воздвиження Чесного Хреста ПЦУ
вулиця Тополина	вулиця Тополін
Магазине кафе	Магазин кафе
Ремонт тріщин автоскла	Ремонт тріщин автостекла
грунтовка Алексеевка - Косы-Слободка	Грунтовка Олексіївка - Коси-Слобідка
полонина Довга	Полонина Довга
this is квіти	This is квіти
Слабке, проте доглянуте, джерело	Слабке, проте додивіться, джерело
Аппетит	Апетит
Авостанция	Авостанція
Киоск продукты	Кіоск продукти
Напої та тютюн	Напої та табак
вулиця Копилівська	Вулиця Копилівська
Фирменый магазин СКФ	Фірмовий магазин СКФ
Техникум	Технікум
Фаворит	Лідер
Вас вітає садівниче товариство  Капрон	Вас вітає садівниче товариство Капрон
Худиківці	Худіківці
Кривонос П. Ф.	Кривоніс П. Ф.
Велетенська гойдалка	Велетенська качалка
Стоянка первісних людей у Малому Раківці	Стоянка первісних людей у ​​Малому Раківці
головний пляж	Головний пляж
Эклер	Еклер
Строй База	Буд База
вулиця Борщагівська	Вулиця Борщагівська
ЗАГС Жовтневого района	РАГС Жовтневого району
Био-лайн	Біо-лайн
ЛесТОРГ	ЛісТОРГ
Альтанка з накриттям і столом	Альтанка з накриттям та столом
Маникюр	Манікюр
Фанчиково	Фанчикове
Полікліника № 2 лікарні ім. Лучанського	Поліклініка №2 лікарні ім. Лучанського
Маестро	Маєстро
ГРАЖДА	ГРОМАДА
Репяшок	Ріп'яшок
Жива Дижка	Жива Діжка
вулиця Чигиринська -Леніна	вулиця Чигиринська-Леніна
День варенья	День варення
Гвоздь	Цвях
Гуртожиток №20 Інституту міжнародних відносин КНУ ім. Тараса Шевченка	Общежитие №20 Інституту міжнародних відносин КНУ ім. Тараса Шевченка
Дитячий садочок №73	Дитячий садок №73
ХНУ Гуртожиток №3	ХНУ Общежитие №3
проспект Степана Бандери	проспект Степана Бандері
кирильський	Кирильський
Крутогорна вулиця	Крутогірна вулиця
Вулиця Річкова	вулиця Річкова
вулиця Бойко	вулиця Бойка
Ресторан "Болгари"	Ресторан "Болгарі"
Производство растительного масла	Виробництво рослинної олії
Железнодорожный вокзал.	Залізничний вокзал.
Гологорське кладовище	Гологірське кладовище
ТзОВ "Zolochiv TX"	ТОВ "Zolochiv TX"
Мідне	Мідні
вулиця Аришаки	вулиця Арішаки
вулиця Александрова	вулиця Олександрова
Ракитнянська вулиця	Рокитнянська вулиця
Бровари вулиця	Бровары вулиця
Восточный рынок	Східний ринок
Церква Cвятої Варвари ПЦУ	Церковь Святої Варвари ПЦУ
Мальовничий провулок	Живописний провулок
Тополина вулиця	Тополіна вулиця
Главный цех заода "Химаш"	Головний цех заоду "Хімаш"
Недобудований	Недобудування
До Кави	До Каві
Великововнянське кладовище	Великовівнянське кладовище
церква Преподобномученика Макарія Канівського Архімандрита Овруцького ПЦУ	Церква Преподобномученика Макарія Канівського Архімандрита Овруцького ПЦУ
Магазин сувениров	Магазин сувенірів
Приовражна вулиця	Приворожна вулиця
вузька	Вузька
Заросша тропа	Заросла стежка
Воднолижна канатна дорога	Водноліжна канатна дорога
вулиця Михайля Семенка	вулиця Михайла Семенка
Ерёменко	Єрьоменко
Тираспольская	Тираспільська
Западний провулок	Західний провулок
вулиця Григорія Сковороди	вулиця Григорія Сковороді
вулиця Петра Сиченка	вулиця Петра Січенка
вулиця Малика	вулиця Маліка
Екостежка	Екостібка
gebäude	Gebäude
вулиця Теодора Драйзера	Вулиця Теодора Драйзера
Амбулатория	Амбулаторія
Інко--Трейд	Інко - Трейд
Автозапчасти	Автозапчастини
Мука	Борошно
Кавоварка	Кофеварка
Волиньтабак №1	Воліньтютюн №1
Сита хата	Сіта хата
Пахне смаженим	Пахне жареним
#coffee	#Coffee
Аптека оптових ц..	Аптека оптових ц.
Над Стубелкою	Над Стубілкою
Демкович І.Б	Демковіч І.Б
Південьсад	Південь сад
Цирульник	Цирюльник
Лазар Мойсейович Славин	Лазар Мойсейович Славін
Стела "Фанчиково"	Стела "Фанчікове"
Бытхимыч	Битхімич
Чай & кофе	Чай кава
Мир сумок	Світ сумок
Місце з хорошим видом	Місце з гарним виглядом
Чиз & вайн	Чіз & вайн
Ковбасна родина	Колбасна батьківщина
М'ясна лавка	М'ясна крамниця
Волна	Хвиля
психіатрична лікарня	Психіатрична лікарня
Водолечебница	Водолікарня
Церква"Слово Життя"	Церковь "Слово Життя"
Товариство з обмеженою відповід­альністю  Чернігівська індустріальна молочна компанія	Товариство з обмеженою відповідальністю Чернігівська індустріальна молочна компанія
Улица Мичуринская	вулиця Мічурінська
Вулиця Підлісна	вулиця Підлісна
Вул. Дольна	вул. Дольна
вулиця А. Таранця	вулиця О. Таранця
Теплосеть	Тепломережа
городская Администрация	Міська адміністрація
відділення поліції № 1 Кам'янець-Подільського РУП ГУНП в Хмельницькій області	Відділення поліції № 1 Кам'янець-Подільського РУП ГУНП у Хмельницькій області
Забегаловка	Забігайлівка
вул. 8 Березня	вул. 8 березня
Кузнечна вулиця	Ковальська вулиця
Клубнична вулиця	Полунична вулиця
Дім-пам\ятка	Дім-памятка
Вул. Крупки	вул. Крупки
Пожарная часть	Пожежна частина
Горобинова вулиця	Горобінова вулиця
Пятихатки	П'ятихатки
Садовое товарищество "Энергетик"	Садове товариство "Енергетик"
вулиця Паризької Комуни	вулиця Паризької Комуні
КПП Карпатського  Біосферного Заповідника	КПП Карпатського Біосферного Заповідника
6-та Садова вулиця	6-а Садова вулиця
4-та Садова вулиця	4-а Садова вулиця
3-тя Садова вулиця	3-а Садова вулиця
1-ша Садова вулиця	1-а Садова вулиця
Преривчатої лінії немає, там сплошна переїзду немає, щоб розвернутись треба їхати на міст	Переривчастої лінії немає, там суцільно переїзду немає, щоб розвернутися треба їхати на міст
вулиця Євгенія Басараби	вулиця Євгенія Басарабі
Кав'ярня ( зупинка коперника)	Кав'ярня (зупинка коперника)
У Саши	У Сашка
Пасека лесничества	Пасіка лісництва
Міжрайона спеціалізована офтальмогічна МСЕК	Міжрайону спеціалізована офтальмогічна МСЕК
Церква Воскресіня Господнього	Церковь Воскресіня Господнього
Вул. Гірська 3	вул. Гірська 3
Форелеве господартво	Форелеве господарство
Церква Возкресіння Господнього	Церковь Возкресіння Господнього
Хресна Дорога	Хрісна Дорога
Церква евангельських християн баптистів	Церква євангельських християн баптистів
Дворец культуры им. Крупской	Палац культури ім. Крупський
Гале	Галі
ПАРКОВКА	ПАРКУВАННЯ
Церква святого Воздвиження	Церковь Святого Воздвиження
Угольная котельная.	Вугільна котельня.
Софхозная улица	Софгоспна вулиця
прогулочная дорога	Прогулянкова дорога
Проїзд до ЖК Мирний та PR Osobnyak	Проїзд до ЖК Мирний та PR
СЭС Станція Солар-Січ	СЕС Станція Солар-Січ
Буква	Літера
Інститут мікробіології і вірусології ім. Д.К.Заболотного	Інститут мікробіології та вірусології ім. Д.К.Заболотного
Інститут молекулярної біології і генетики НАН України	Інститут молекулярної біології та генетики НАН України
Автобус 25: Залізнична станція "Київ-Волинський" - Національний музей історії України в Другій Світовій війні	Автобус 25: Залізнична станція "Київ-Волінський" - Національний музей історії України в Другій Світовій війні
Музей фауни	Музей фауні
Киоск продукты.	Продукти кіоску.
Приємна стоматологія	Приймальна стоматологія
Трёшка	Трійка
Люба мода	Будь-яка мода
Кичера	Кічера
Учебная книга	Навчальна книга
Демкович І.Б.	Демковіч І.Б.
Пышная Дама	Пишна Дама
Белорусская косметика	Білоруська косметика
5-та Садова вулиця	5-а Садова вулиця
Слов’янська вулиця	Слов'янська вулиця
ДНЗ №704 С Яслямы (С2-ЛЕТ) Для Детей С Нарушением Зрения Дуз	ДНЗ №704 З Яслями (С2-РІК) Для Дітей З Порушенням Зору Дуз
Служебное	Службове
Общеобразовательная школа.	Загальноосвітня школа.
Весовая	Вагова
Автозапчасти "Олимп"	Автозапчастини "Олімп"
ТзОВ "Золочіврембуд"	ТОВ "Золочіврембуд"
Вулиця Володимира Винниченка	вулиця Володимира Вінниченка
Вулиця Гетьмана Пилипа Орлика	вулиця Гетьмана Пилипа Орлика
Вулиця Гетьмана Івана Мазепи	вулиця Гетьмана Івана Мазепі
Вулиця Максима Кривоноса	вулиця Максима Кривоноса
вулиця Тишури	вулиця Тишурі
Вулиця Довга	вулиця Довга
вулиця В. Стуса	вулиця Стуса Стуса
Луковицький водяний млин 19 ст.	Луковицький водяна млина 19 ст.
склади ТОВ "Пфанер-Бар"	Склади ТОВ "Пфанер-Бар"
Сунична вулиця	Землянична вулиця
вулиця Максима Доника	вулиця Максима Доніка
Алея видатних випускників КНУБА	Алєя видатних випускників КНУБА
Магазин "Елена"	Магазин "Олена"
вулиця Олени Теліги	вулиця Олені Теліги
Большой Папа	Великий тато
Снежнянская колбасная фабрика	Сніжнянська ковбасна фабрика
улица Мурманская	вулиця Мурманська
вулиця Липова Алея	вулиця Липова Алєя
Новый Донбасс / ш. №18	Новий Донбас/ш. №18
СЕС Королево	СЕС Корольово
в сорочому	У сорочому
вулиця Червоноткацька	Вулиця Червоноткацька
Сельскохозяйственные угодья	Сільськогосподарські угіддя
Раструсись	Розтруси
Храм св. мучениці Параскеви	Храм св. мучениці Параскеві
Колыба под палатки	Колиба під намети
Вендичова	Вендічова
Михалкина	Міхалкіна
Дитячій оздоровчий комплекс "Дружба"	Дитячий оздоровчий комплекс "Дружба"
Коровник.	Корівник.
Щелкунчик	Лускунчик
Бирка	Бірка
вулиця Подріза	вулиця Підріза
сільска рада	Сільська рада
Больничний провулок	Лікарняний провулок
Соловʼїна вулиця	Солов'їна вулиця
Вулиця Гологірська	вулиця Гологірська
2-га Поперечна вулиця	2-а Поперечна вулиця
Ушка	Вушка
улица Могилёвская	вулиця Могилівська
Агростроївська вулиця	Агробудівська вулиця
Лишнянське навчально-виховне об'єднання "загальноосвітня школа І-ІІІ ступенів-дитячий садок"	Лішнянське навчально-виховне об'єднання "загальноосвітня школа І-ІІІ ступенів-дитячий садок"
Лишнянський дошкільний навчальний заклад ”Сонечко”	Лішнянський дошкільний навчальний заклад ”Сонечко”
вулиця Стефана Лозьки	вулиця Стефана Лозькі
Кожанський дошкільний навчальний заклад «Казка» (ясла-садок), відділення Укрпошти 08550	Кожанський дошкільний навчальний заклад «Сказка» (ясла-садок), відділення Укрпошти 08550
вулиця Олександра Удовиченка	вулиця Олександра Удовіченко
Відділ продажу ЖК Terracotta	Відділ продаж ЖК Terracotta
Хмелиська	Хміліська
Троллейбус №13	Тролейбус №13
провулок Пастеровскій	провулок Пастеровський
Зупинка лікарня	Остановка лікарня
Народная	Народна
Новостройки	Новобудови
Шар	Куля
озеро Калдьобка	Озеро Калдьобка
Парк Сканди	Парк Сканді
Средняя школа-интернат №8	Середня школа-інтернат №8
Вул. Горішня Воля	вул. Горішня Воля
Вул. Діброва	вул. Діброва
Балка	балка
Копито	Копіто
вулиця Зелений Хутір	вулиця Зелений Хутор
Районные электрические сети	Районні електричні мережі
Заклад дошкільної освіти (ясла-садок) «Веселка»	Заклад дошкільної освіти (ясла-сад) «Радуга»
Греко-католицька Церква	Греко-католицька церква
Пожарна ємність (аварійна)	Пожежна ємність (аварійна)
Тролейбус №50	Троллейбус №50
СЭС Мала Лепетиха	СЕС Мала Лепетиха
17: Болехівці - Дрогобич	17: Болехівці – Дрогобич
ЛАсунка	Ласунка
Сирочлк	Сірочк
Півціни на все	Півціні на все
Урочище Анталовська поляна	Урочище Анталовська галявина
Кипарис	Кіпаріс
Експресс гріль	Експрес гриль
Рудий Кіт	Рудій Кіт
Мамин Дом	Мамин Дім
Іва-Фарм	Іва-фарм
Завод шаурми	Завод шаурмі
Час	Година
Експресс стрижка	Експрес стрижка
Гойдалка біля води	Качеля біля води
Квартал Якира	Квартал Якіра
Краще переходити без велосипеду	Краще переходити без велосипеда
ксерокопії	Ксерокопії
Хлібна кава	Хлібний кофе
Метелик	Бабочка
Великий врожай	Великий урожай
Молинари	Молінарі
Новомутин	Новомутін
МБОУ "Профильная гимназия № 122 города Донецка"	МБОУ "Профільна гімназія №122 міста Донецька"
Віль Гримич	Віль Гриміч
Кавовий	Кававій
Винна лавка	Вінна крамниця
Пивний кухоль	Пивна кружка
Музикова скала	Музикова скеля
Мафия	Мафія
Тот	Той
Останусь у Подруги	Залишуся у Подруги
Гаражи	Гаражі
Для кальяна	Для кальяну
Ударников улица	Ударників вулиця
Риболовний край	Рибальський край
Луганскнефтепродукт	Луганськнафтопродукт
Гуртожиток №7	Общежиток №7
Ясли-сад №73	Ясла-садок №73
неофіційна свалка	Неофіційне звалище
небезпечний	Небезпечний
дикувата для козочок	Дикувата для козечок
Церква св. Іоана Богослова ПЦУ	Церковь св. Іоана Богослова ПЦУ
