провулок Крилова 1-й                      	1-й провулок Крилова
4-а Газопровідна вулиця                   	4-та Газопровідна вулиця
4-а Ентузіастів вулиця                    	4-та Ентузіастів вулиця
4-а Залізнична вулиця                     	4-та Залізнична вулиця
4-а Канальна вулиця                       	4-та Канальна вулиця
4-а лінія                                 	4-та лінія
4-а Лугова вулиця                         	4-та Лугова вулиця
4-а Набережна вулиця                      	4-та Набережна вулиця
4-а Нова вулиця                           	4-та Нова вулиця
4-а Озерна вулиця                         	4-та Озерна вулиця
4-а Поперечна вулиця                      	4-та Поперечна вулиця
4-а Приозерна вулиця                      	4-та Приозерна вулиця
4-а Садова вулиця                         	4-та Садова вулиця
4-а Синьоозерна вулиця                    	4-та Синьоозерна вулиця
40-а Садова вулиця                        	40-ва Садова вулиця
41-а Садова вулиця                        	41-ша Садова вулиця
42-а Садова вулиця                        	42-га Садова вулиця
43-я Садова вулиця                        	43-тя Садова вулиця
44-а Садова вулиця                        	44-та Садова вулиця
45-а Садова вулиця                        	45-та Садова вулиця
46-а Садова вулиця                        	46-та Садова вулиця
47-а Садова вулиця                        	47-ма Садова вулиця
48-а Садова вулиця                        	48-ма Садова вулиця
49-а Садова вулиця                        	49-та Садова вулиця
49-а А Садова вулиця                      	49-та Садова вулиця А
49А Садова вулиця                         	49-та Садова вулиця А
5-а Абрикосова вулиця                     	5-та Абрикосова вулиця
П’ята вулиця                              	5-та вулиця
5-а Ентузіастів вулиця                    	5-та вулиця Ентузіастів
5-а Газопровідна вулиця                   	5-та Газопровідна вулиця
5-а Канальна вулиця                       	5-та Канальна вулиця
5-а лінія                                 	5-та лінія
5-а Лугова вулиця                         	5-та Лугова вулиця
5-а Набережна вулиця                      	5-та Набережна вулиця
5-а Приозерна вулиця                      	5-та Приозерна вулиця
5-а Садова вулиця                         	5-та Садова вулиця
5-а Синьоозерна вулиця                    	5-та Синьоозерна вулиця
50-а Садова вулиця                        	50-та Садова вулиця
50-а А Садова вулиця                      	50-та Садова вулиця А
51-а Садова вулиця                        	51-ша Садова вулиця
52-а Садова вулиця                        	52-га Садова вулиця
53-я Садова вулиця                        	53-тя Садова вулиця
54-а Садова вулиця                        	54-та Садова вулиця
55-а Садова вулиця                        	55-та Садова вулиця
56-а Садова вулиця                        	56-та Садова вулиця
57-а Садова вулиця                        	57-ма Садова вулиця
58-а Садова вулиця                        	58-ма Садова вулиця
59-а Садова вулиця                        	59-та Садова вулиця
6-а Абрикосова вулиця                     	6-та Абрикосова вулиця
Шоста вулиця                              	6-та вулиця
6-а Ентузіастів вулиця                    	6-та вулиця Ентузіастів
6-а Канальна вулиця                       	6-та Канальна вулиця
6-а лінія                                 	6-та лінія
6-а Лугова вулиця                         	6-та Лугова вулиця
6-а Набережна вулиця                      	6-та Набережна вулиця
6-а Приозерна вулиця                      	6-та Приозерна вулиця
6-а Садова вулиця                         	6-та Садова вулиця
6-а Синьоозерна вулиця                    	6-та Синьоозерна вулиця
60-а Садова вулиця                        	60-та Садова вулиця
61-а Садова вулиця                        	61-ша Садова вулиця
62-а Садова вулиця                        	62-га Садова вулиця
63-я Садова вулиця                        	63-тя Садова вулиця
64-а Садова вулиця                        	64-та Садова вулиця
65-а Садова вулиця                        	65-та Садова вулиця
66-а Садова вулиця                        	66-та Садова вулиця
67-а Садова вулиця                        	67-ма Садова вулиця
68-а Садова вулиця                        	68-ма Садова вулиця
69-а Садова вулиця                        	69-та Садова вулиця
7-а Абрикосова вулиця                     	7-ма Абрикосова вулиця
7-а Ентузіастів вулиця                    	7-ма вулиця Ентузіастів
7-а Канальна вулиця                       	7-ма Канальна вулиця
7-а лінія                                 	7-ма лінія
7-а Лугова вулиця                         	7-ма Лугова вулиця
7-а Набережна вулиця                      	7-ма Набережна вулиця
7-а Садова вулиця                         	7-ма Садова вулиця
70-а Садова вулиця                        	70-та Садова вулиця
71-а Садова вулиця                        	71-ша Садова вулиця
72-а Садова вулиця                        	72-га Садова вулиця
73-я Садова вулиця                        	73-тя Садова вулиця
75-а Садова вулиця                        	75-та Садова вулиця
76-а Садова вулиця                        	76-та Садова вулиця
77-а Садова вулиця                        	77-ма Садова вулиця
78-а Садова вулиця                        	78-ма Садова вулиця
79-а Садова вулиця                        	79-та Садова вулиця
8-а Абрикосова вулиця                     	8-ма Абрикосова вулиця
8-а Ентузіастів вулиця                    	8-ма вулиця Ентузіастів
8-а Канальна вулиця                       	8-ма Канальна вулиця
8-а лінія                                 	8-ма лінія
8-а Лугова вулиця                         	8-ма Лугова вулиця
8-а Набережна вулиця                      	8-ма Набережна вулиця
8-а Садова вулиця                         	8-ма Садова вулиця
8-а Синьоозерна вулиця                    	8-ма Синьоозерна вулиця
80-а Садова вулиця                        	80-та Садова вулиця
81-а Садова вулиця                        	81-ша Садова вулиця
82-а Садова вулиця                        	82-га Садова вулиця
83-я Садова вулиця                        	83-тя Садова вулиця
84-а Садова вулиця                        	84-та Садова вулиця
85-а Садова вулиця                        	85-та Садова вулиця
86-а Садова вулиця                        	86-та Садова вулиця
87-а Садова вулиця                        	87-ма Садова вулиця
88-а Садова вулиця                        	88-ма Садова вулиця
89-а Садова вулиця                        	89-та Садова вулиця
9-а Абрикосова вулиця                     	9-та Абрикосова вулиця
9-а Ентузіастів вулиця                    	9-та вулиця Ентузіастів
9-а Канальна вулиця                       	9-та Канальна вулиця
9-а лінія                                 	9-та лінія
9-а Лугова вулиця                         	9-та Лугова вулиця
9-а Набережна вулиця                      	9-та Набережна вулиця
9-а Садова вулиця                         	9-та Садова вулиця
90-а Садова вулиця                        	90-та Садова вулиця
91-а Садова вулиця                        	91-ша Садова вулиця
92-а Садова вулиця                        	92-га Садова вулиця
93-я Садова вулиця                        	93-тя Садова вулиця
94-а Садова вулиця                        	94-та Садова вулиця
95-а Садова вулиця                        	95-та Садова вулиця
96-а Садова вулиця                        	96-та Садова вулиця
97-а Садова вулиця                        	97-ма Садова вулиця
98-а Садова вулиця                        	98-ма Садова вулиця
99-а Садова вулиця                        	99-та Садова вулиця
1941 Року алея                            	алея 1941 року
Каштанова алея                            	Каштанова алея
алея Магдебурзького права                 	алея Магдебурзького Права
Алея муз                                  	алея Муз
Алея мучеників                            	алея Мучеників
Алея праведників                          	алея Праведників
Алея художників                           	алея Художників
узвіз Боричів                             	Боричів узвіз
вул. Амвросія Бучми                       	бульвар Амвросія Бучми
Жуля Верна бульвар                        	бульвар Жуля Верна
Кольцова бульвар                          	бульвар Кольцова
Леоніда Бикова бульвар                    	бульвар Леоніда Бикова
Перова бульвар                            	бульвар Перова
Ромена Роллана бульвар                    	бульвар Ромена Роллана
Юр’єва бульвар                            	бульвар Юрʼєва
провулок Бутишів                          	Бутишів провулок
вулиця Володарська                        	Володарська вулиця
4-а Алея вулиця                           	вулиця 4-та Алея
5-а Алея вулиця                           	вулиця 5-та Алея
Восьмого Березня вулиця                   	вулиця 8 Березня
Августина Волошина вулиця                 	вулиця Августина Волошина
Авіаконструктора Антонова вулиця          	вулиця Авіаконструктора Антонова
Авіаконструктора Ігоря Сікорського вулиця 	вулиця Авіаконструктора Ігоря Сікорського
Авіаконструктора Петра Балабуєва вулиця   	вулиця Авіаконструктора Петра Балабуєва
Адмірала Ушакова вулиця                   	вулиця Адмірала Ушакова
Академіка Горбунова вулиця                	вулиця Академіка Горбунова
Академіка Доброхотова вулиця              	вулиця Академіка Доброхотова
вулиця Доброхотова Академіка              	вулиця Академіка Доброхотова
Академіка Кіпріанова вулиця               	вулиця Академіка Кіпріанова
Кіпріанова Академіка вулиця               	вулиця Академіка Кіпріанова
Корольова Академіка вулиця                	вулиця Академіка Корольова
Академіка Костичева вулиця                	вулиця Академіка Костичева
Академіка Навашина вулиця                 	вулиця Академіка Навашина
Академіка Оппокова вулиця                 	вулиця Академіка Оппокова
Академіка Сєркова вулиця                  	вулиця Академіка Сєркова
Академіка Тронька вулиця                  	вулиця Академіка Тронька
Академіка Туполєва вулиця                 	вулиця Академіка Туполєва
Академіка Щусєва вулиця                   	вулиця Академіка Щусєва
Аляб’єва вулиця                           	вулиця Алябʼєва
Анатолія Пантелькіна вулиця               	вулиця Анатолія Пантелькіна
Андрія Іванова вулиця                     	вулиця Андрія Іванова
Архітектора Ніколаєва вулиця              	вулиця Архітектора Ніколаєва
Багратіона вулиця                         	вулиця Багратіона
Бакуніна вулиця                           	вулиця Бакуніна
Баренбойма вулиця                         	вулиця Баренбойма
Бетховена вулиця                          	вулиця Бетховена
Бориса Гаріна вулиця                      	вулиця Бориса Гаріна
Бориса Житкова вулиця                     	вулиця Бориса Житкова
Бориса Патона вулиця                      	вулиця Бориса Патона
Борщаговская вулиця                       	Борщагівська вулиця
Брюсова вулиця                            	вулиця Брюсова
вулиця Валер'яна Підмогильного            	вулиця Валерʼяна Підмогильного
Василя Алексухіна вулиця                  	вулиця Василя Алексухіна
Вулиця Василя Доманицького                	вулиця Василя Доманицького
Василя Кучера вулиця                      	вулиця Василя Кучера
Василя Сурікова вулиця                    	вулиця Василя Сурікова
Васнєцова вулиця                          	вулиця Васнєцова
Вєтрова вулиця                            	вулиця Вєтрова
Володимира Беца вулиця                    	вулиця Володимира Беца
Володимира Винниченка вулиця              	вулиця Володимира Винниченка
Володі Дубініна вулиця                    	вулиця Володі Дубініна
вулиця В’ячеслава Липинського             	вулиця Вʼячеслава Липинського
Гаршина вулиця                            	вулиця Гаршина
Генерала Тупікова вулиця                  	вулиця Генерала Тупікова
Героїв Дніпра вулиця                      	вулиця Героїв Дніпра
Герцена вулиця                            	вулиця Герцена
Гійома де Боплана вулиця                  	вулиця Гійома де Боплана
Глібова вулиця                            	вулиця Глібова
Гната Юри вулиця                          	вулиця Гната Юри
Гончарова вулиця                          	вулиця Гончарова
вулиця Горіхуватський шлях                	вулиця Горіхуватський Шлях
Городище вулиця                           	вулиця Городище
Дежнєва вулиця                            	вулиця Дежнєва
Джона Маккейна вулиця                     	вулиця Джона Маккейна
Димитрова вулиця                          	вулиця Димитрова
Дніпрової Чайки вулиця                    	вулиця Дніпрової Чайки
улиця Добролюбова                         	вулиця Добролюбова
Євгена Маланюка вулиця                    	вулиця Євгена Маланюка
Жданова вулиця                            	вулиця Жданова
Івана Білика вулиця                       	вулиця Івана Білика
Івана Богуна вулиця                       	вулиця Івана Богуна
Пулюя Івана вулиця                        	вулиця Івана Пулюя
Івана Тургенєва вулиця                    	вулиця Івана Тургенєва
Івана Федорова вулиця                     	вулиця Івана Федорова
Івана Фіалека вулиця                      	вулиця Івана Фіалека
Івана Шевцова вулиця                      	вулиця Івана Шевцова
Ігоря Турчина вулиця                      	вулиця Ігоря Турчина
вулиця Інтернаціонального легіону         	вулиця Інтернаціонального Легіону
вулиця Іоана Павла II                     	вулиця Іоана Павла II
Калиновий Ріг вулиця                      	вулиця Калиновий Ріг
Калініна вулиця                           	вулиця Калініна
Качалова вулиця                           	вулиця Качалова
Кірова вулиця                             	вулиця Кірова
Клари Цеткін вулиця                       	вулиця Клари Цеткін
Кленова Долина вулиця                     	вулиця Кленова Долина
Кленовий Узвіз вулиця                     	вулиця Кленовий Узвіз
Клима Чурюмова вулиця                     	вулиця Клима Чурюмова
Коллонтай вулиця                          	вулиця Коллонтай
Комісара Рикова вулиця                    	вулиця Комісара Рикова
Космонавта Волкова вулиця                 	вулиця Космонавта Волкова
Костянтина Ареф’єва вулиця                	вулиця Костянтина Арефʼєва
Костянтина Заслонова вулиця               	вулиця Костянтина Заслонова
Костянтина Хохлова вулиця                 	вулиця Костянтина Хохлова
Крейсера «Аврора» вулиця                  	вулиця Крейсера «Аврора»
Крилова вулиця                            	вулиця Крилова
Кудряшова вулиця                          	вулиця Кудряшова
Купріна вулиця                            	вулиця Купріна
Кутузова вулиця                           	вулиця Кутузова
Леніна вулиця                             	вулиця Леніна
Леоніда Бикова вулиця                     	вулиця Леоніда Бикова
Леонтовича вулиця                         	вулиця Леонтовича
Лермонтова вулиця                         	вулиця Лермонтова
Лисенка вулиця                            	вулиця Лисенка
Лодигіна вулиця                           	вулиця Лодигіна
Ломоносова вулиця                         	вулиця Ломоносова
Максима Левіна вулиця                     	вулиця Максима Левіна
Марка Черемшини вулиця                    	вулиця Марка Черемшини
Конєва маршала вулиця                     	вулиця Маршала Конєва
Маслівка вулиця                           	вулиця Маслівка
Менделєєва вулиця                         	вулиця Менделєєва
Миколи Василенка вулиця                   	вулиця Миколи Василенка
Миколи Гайцана вулиця                     	вулиця Миколи Гайцана
Миколи Кузнєцова вулиця                   	вулиця Миколи Кузнєцова
Миколи Лаврухіна вулиця                   	вулиця Миколи Лаврухіна
Миколи Лебедєва вулиця                    	вулиця Миколи Лебедєва
Миколи Ушакова вулиця                     	вулиця Миколи Ушакова
Миколи Юнкерова вулиця                    	вулиця Миколи Юнкерова
Митрополита Володимира Сабодана вулиця    	вулиця Митрополита Володимира Сабодана
Михайла Булгакова вулиця                  	вулиця Михайла Булгакова
Михайла Котельникова вулиця               	вулиця Михайла Котельникова
Михайла Майорова вулиця                   	вулиця Михайла Майорова
Михайла Чалого вулиця                     	вулиця Михайла Чалого
Мічуріна вулиця                           	вулиця Мічуріна
Нахімова вулиця                           	вулиця Нахімова
Некрасова вулиця                          	вулиця Некрасова
Оборони Києва вулиця                      	вулиця Оборони Києва
Огарьова вулиця                           	вулиця Огарьова
Олега Рябова вулиця                       	вулиця Олега Рябова
Олександра Бестужева вулиця               	вулиця Олександра Бестужева
Олександра Богомазова вулиця              	вулиця Олександра Богомазова
Олександра Сабурова вулиця                	вулиця Олександра Сабурова
Олексія Терьохіна вулиця                  	вулиця Олексія Терьохіна
Омеляна Горбачова вулиця                  	вулиця Омеляна Горбачова
Опанаса Сластіона вулиця                  	вулиця Опанаса Сластіона
Павлика Морозова вулиця                   	вулиця Павлика Морозова
Паторжинського вулиця                     	вулиця Паторжинського
Петра Красикова вулиця                    	вулиця Петра Красикова
Петра Радченка вулиця                     	вулиця Петра Радченка
Підлипка вулиця                           	вулиця Підлипка
Пілот вулиця                              	вулиця Пілот
Плещеєва вулиця                           	вулиця Плещеєва
Ползунова вулиця                          	вулиця Ползунова
Полковника Затєвахіна вулиця              	вулиця Полковника Затєвахіна
Полковника Шутова вулиця                  	вулиця Полковника Шутова
Полупанова вулиця                         	вулиця Полупанова
Профінтерна вулиця                        	вулиця Профінтерну
Пушкіна вулиця                            	вулиця Пушкіна
Рахманінова вулиця                        	вулиця Рахманінова
Римського-Корсакова вулиця                	вулиця Римського-Корсакова
Ріхарда Зорге вулиця                      	вулиця Ріхарда Зорге
Родини Кістяківських вулиця               	вулиця Родини Кістяківських
Саврасова вулиця                          	вулиця Саврасова
Сажина вулиця                             	вулиця Сажина
Свердлова вулиця                          	вулиця Свердлова
Сергія Єсеніна вулиця                     	вулиця Сергія Єсеніна
Сергія Струтинського вулиця               	вулиця Сергія Струтинського
Сєдова вулиця                             	вулиця Сєдова
Сєченова вулиця                           	вулиця Сєченова
вулиця Сім’ї Прахових                     	вулиця Сімʼї Прахових
вулиця Сім'ї Холодних                     	вулиця Сімʼї Холодних
Січневого повстання вулиця                	вулиця Січневого Повстання
Смирнова-Ласточкіна вулиця                	вулиця Смирнова-Ласточкіна
Степана Голованьова вулиця                	вулиця Степана Голованьова
Столєтова вулиця                          	вулиця Столєтова
Суворова вулиця                           	вулиця Суворова
Тельмана вулиця                           	вулиця Тельмана
Тешебаєва вулиця                          	вулиця Тешебаєва
Тропініна вулиця                          	вулиця Тропініна
Тургенєва вулиця                          	вулиця Тургенєва
Українського Відродження вулиця           	вулиця Українського Відродження
Урочище Дубки вулиця                      	вулиця Урочище Дубки
Федосєєва вулиця                          	вулиця Федосєєва
Фрунзе вулиця                             	вулиця Фрунзе
Чапаєва вулиця                            	вулиця Чапаєва
Чехова вулиця                             	вулиця Чехова
Чкалова вулиця                            	вулиця Чкалова
вулиця Ю. Глушка                          	вулиця Юрія Глушка
вулиця Ю.Іллєнка                          	вулиця Юрія Іллєнка
Юрія Лаврова вулиця                       	вулиця Юрія Лаврова
Якіра вулиця                              	вулиця Якіра
вулиця Дорогожицька                       	Дорогожицька вулиця
Західно-кільцева вулиця                   	Західно-Кільцева вулиця
Знам’янська вулиця                        	Знамʼянська вулиця
Кам’янець-Подільська вулиця               	Камʼянець-Подільська вулиця
Кам’янець-Подільський провулок            	Камʼянець-Подільський провулок
Кам'янська вулиця                         	Камʼянська вулиця
Кам’янська вулиця                         	Камʼянська вулиця
Кар’єрна вулиця                           	Карʼєрна вулиця
Кар'єрний провулок                        	Карʼєрний провулок
Кожум’яцька вулиця                        	Кожумʼяцька вулиця
Куп’янська вулиця                         	Купʼянська вулиця
Куп’янський провулок                      	Купʼянський провулок
Лук’янівська вулиця                       	Лукʼянівська вулиця
Лук’янівська площа                        	Лукʼянівська площа
Лук’янівський провулок                    	Лукʼянівський провулок
МІжозерна вулиця                          	Міжозерна вулиця
М’ятна вулиця                             	Мʼятна вулиця
Над’ярна вулиця                           	Надʼярна вулиця
вулиця Пантелеймонівська                  	Пантелеймонівська вулиця
Фрунзе площа                              	площа Фрунзе
Приозерная улица                          	Приозерна вулиця
Прип’ятська вулиця                        	Припʼятська вулиця
Аскольдів провулок                        	провулок Аскольдів
Бабушкіна провулок                        	провулок Бабушкіна
Василя Кука провулок                      	провулок Василя Кука
Ватутіна провулок                         	провулок Ватутіна
Гористий провулок                         	провулок Гористий
