1 Махнівський провулок                                               	1-й Махнівський провулок
1-й Г.Морозової проїзд                                               	1-й проїзд Г. Морозової
1-й Генерала Арабея проїзд                                           	1-й проїзд Генерала Арабея
1-й Гетьмана Сагайдачного провулок                                   	1-й провулок Гетьмана Сагайдачного
1-й Глінки провулок                                                  	1-й провулок Глінки
1-й Гната Танцюри провулок                                           	1-й провулок Гната Танцюри
1-й Гната Юри проїзд                                                 	1-й проїзд Гната Юри
1-й Гніванське шосе провулок                                         	1-й провулок Гніванське Шосе
1-й Григорія Чупринки провулок                                       	1-й провулок Григорія Чупринки
1-й Громова провулок                                                 	1-й провулок Громова
1-й Данила Нечая провулок                                            	1-й провулок Данила Нечая
1-й Дзержинського провулок                                           	1-й провулок Дзержинського
1-й Дружби провулок                                                  	1-й провулок Дружби
1-й Дубініна провулок                                                	1-й провулок Дубініна
1-й Енергетиків проїзд                                               	1-й проїзд Енергетиків
1-й Журналістів проїзд                                               	1-й проїзд Журналістів
1-й Затонського провулок                                             	1-й провулок Затонського
1-й Зорге провулок                                                   	1-й провулок Зорге
1-й Карбишева провулок                                               	1-й провулок Карбишева
1-й Карбишева проїзд                                                 	1-й проїзд Карбишева
1-й Кар’єрний провулок                                               	1-й Карʼєрний провулок
1-й Кибальчича провулок                                              	1-й провулок Кибальчича
1-й Комарова провулок                                                	1-й провулок Комарова
1-й Константиновича провулок                                         	1-й провулок Константиновича
1-й Константиновича проїзд                                           	1-й проїзд Константиновича
1-й Корольова провулок                                               	1-й провулок Корольова
1-й Коцюбинського провулок                                           	1-й провулок Коцюбинського
1-й Кропоткіна провулок                                              	1-й провулок Кропоткіна
1-й Кушніра провулок                                                 	1-й провулок Кушніра
1-й Леонтовича провулок                                              	1-й провулок Леонтовича
1-й Леоніда Каденюка провулок                                        	1-й провулок Леоніда Каденюка
1-й Леоніда Мосендза провулок                                        	1-й провулок Леоніда Мосендза
1-й Лермонтова провулок                                              	1-й провулок Лермонтова
1-й Леся Курбаса провулок                                            	1-й провулок Леся Курбаса
1-й Литвиненка провулок                                              	1-й провулок Литвиненка
1-й Литвиненка тупик                                                 	1-й тупик Литвиненка
1-й Ломоносова провулок                                              	1-й провулок Ломоносова
1-й Макаренка провулок                                               	1-й провулок Макаренка
1-й Максима Шаповала провулок                                        	1-й провулок Максима Шаповала
1-й Максимовича проїзд                                               	1-й проїзд Максимовича
1-й Марії Литвиненко-Вольгемут провулок                              	1-й провулок Марії Литвиненко-Вольгемут
1-й Марії Литвиненко-Вольгемут тупик                                 	1-й тупик Марії Литвиненко-Вольгемут
1-й Матросова провулок                                               	1-й провулок Матросова
1-й Маяковського провулок                                            	1-й провулок Маяковського
1-й Механізаторів провулок                                           	1-й провулок Механізаторів
1-й Миколи Костомарова провулок                                      	1-й провулок Миколи Костомарова
1-й Миколи Леонтовича провулок                                       	1-й провулок Миколи Леонтовича
1-й Миколи Хвильового провулок                                       	1-й провулок Миколи Хвильового
1-й Мирослава Скорика провулок                                       	1-й провулок Мирослава Скорика
1-й Миру провулок                                                    	1-й провулок Миру
1-й Москвіна провулок                                                	1-й провулок Москвіна
1-й Насті Присяжнюк провулок                                         	1-й провулок Насті Присяжнюк
1-й Нахімова провулок                                                	1-й провулок Нахімова
1-й Нахімова тупик                                                   	1-й тупик Нахімова
1-й Немирівське шосе провулок                                        	1-й провулок Немирівське Шосе
1-й Олександра Лотоцького провулок                                   	1-й провулок Олександра Лотоцького
1-й Олексія Миргородського провулок                                  	1-й провулок Олексія Миргородського
1-й Олексія Миргородського проїзд                                    	1-й проїзд Олексія Миргородського
1-й Омеляна Грабця провулок                                          	1-й провулок Омеляна Грабця
1-й Павленка провулок                                                	1-й провулок Павленка
1-й Пестеля провулок                                                 	1-й провулок Пестеля
1-й Петра Волинця провулок                                           	1-й провулок Петра Волинця
1-й Петровського провулок                                            	1-й провулок Петровського
1-й Пилипа Орлика провулок                                           	1-й провулок Пилипа Орлика
1-й Пирогова провулок                                                	1-й провулок Пирогова
1-й Полубудкіна провулок                                             	1-й провулок Полубудкіна
1-й Постишева провулок                                               	1-й провулок Постишева
1-й Постишева проїзд                                                 	1-й проїзд Постишева
1-й Праведників світу проїзд                                         	1-й проїзд Праведників Світу
1-й Рилєєва провулок                                                 	1-й провулок Рилєєва
1-й Романа Балаби провулок                                           	1-й провулок Романа Балаби
1-й Руданського провулок                                             	1-й провулок Руданського
1-й Сагайдачного провулок                                            	1-й провулок Сагайдачного
1-й Софії Русової провулок                                           	1-й провулок Софії Русової
1-й Стеценка провулок                                                	1-й провулок Стеценка
1-й Тараса Шевченка провулок                                         	1-й провулок Тараса Шевченка
1-й Тетяни Яблонської провулок                                       	1-й провулок Тетяни Яблонської
1-й Топольського провулок                                            	1-й провулок Топольського
1-й Тропініна провулок                                               	1-й провулок Тропініна
1-й Трублаїні провулок                                               	1-й провулок Трублаїні
1-й Тухачевського провулок                                           	1-й провулок Тухачевського
1-й Франка провулок                                                  	1-й провулок Франка
1-й Харчовиків проїзд                                                	1-й проїзд Харчовиків
1-й Хмельницького шосе провулок                                      	1-й провулок Хмельницького Шосе
1-й Хіміків проїзд                                                   	1-й проїзд Хіміків
1-й Цукровиків проїзд                                                	1-й проїзд Цукровиків
1-й Черняховського провулок                                          	1-й провулок Черняховського
1-й Черняховського проїзд                                            	1-й проїзд Черняховського
1-й Шевченка провулок                                                	1-й провулок Шевченка
1-й Юності провулок                                                  	1-й провулок Юності
1-й Юрія Левади проїзд                                               	1-й проїзд Юрія Левади
10-а вулиця                                                          	10-та вулиця
11-а вулиця                                                          	11-та вулиця
12-а вулиця                                                          	12-та вулиця
12-го Грудня вулиця                                                  	вулиця 12 Грудня
13-а вулиця                                                          	13-та вулиця
14-а вулиця                                                          	14-та вулиця
15-а вулиця                                                          	15-та вулиця
15-ї Стрілецької Дивізії вулиця                                      	вулиця 15-ї Стрілецької Дивізії
16-а вулиця                                                          	16-та вулиця
18-ї Армії вулиця                                                    	вулиця 18-ї Армії
19 Березня вулиця                                                    	вулиця 19 Березня
1905 року вулиця                                                     	вулиця 1905 року
1905 року провулок                                                   	провулок 1905 року
2 Махнівський провулок                                               	2-й Махнівський провулок
2-а Вінницька вулиця                                                 	2-га Вінницька вулиця
2-а Садова вулиця                                                    	2-га Садова вулиця
2-а вулиця                                                           	2-га вулиця
2-й 12-го Грудня провулок                                            	2-й провулок 12 Грудня
2-й Євгена Чикаленка провулок                                        	2-й провулок Євгена Чикаленка
2-й Івана Пулюя проїзд                                               	2-й проїзд Івана Пулюя
2-й Івана Хоменка провулок                                           	2-й провулок Івана Хоменка
2-й Ігоря Костецького провулок                                       	2-й провулок Ігоря Костецького
2-й Автомобілістів проїзд                                            	2-й проїзд Автомобілістів
2-й Академіка Вернадського проїзд                                    	2-й проїзд Академіка Вернадського
2-й Антона Турчановича провулок                                      	2-й провулок Антона Турчановича
2-й Аріадни Стебельської провулок                                    	2-й провулок Аріадни Стебельської
2-й Бестужева провулок                                               	2-й провулок Бестужева
2-й Блюхера провулок                                                 	2-й провулок Блюхера
2-й Бориса Гмирі провулок                                            	2-й провулок Бориса Гмирі
2-й Бориса Грінченка провулок                                        	2-й провулок Бориса Грінченка
2-й Бориса Шкляра провулок                                           	2-й провулок Бориса Шкляра
2-й Василя Сліпака провулок                                          	2-й провулок Василя Сліпака
2-й Ватутіна провулок                                                	2-й провулок Ватутіна
2-й Вишневського провулок                                            	2-й провулок Вишневського
2-й Володимира Івасюка провулок                                      	2-й провулок Володимира Івасюка
2-й Володимира Свідзінського провулок                                	2-й провулок Володимира Свідзінського
2-й Віктора Блащука проїзд                                           	2-й проїзд Віктора Блащука
2-й Г.Морозової провулок                                             	2-й провулок Г. Морозової
2-й Генерала Арабея проїзд                                           	2-й проїзд Генерала Арабея
2-й Глінки провулок                                                  	2-й провулок Глінки
2-й Гната Танцюри провулок                                           	2-й провулок Гната Танцюри
2-й Гната Юри проїзд                                                 	2-й проїзд Гната Юри
2-й Гніванське шосе провулок                                         	2-й провулок Гніванське Шосе
2-й Григорія Чупринки провулок                                       	2-й провулок Григорія Чупринки
2-й Громова провулок                                                 	2-й провулок Громова
2-й Данила Нечая провулок                                            	2-й провулок Данила Нечая
2-й Дружби провулок                                                  	2-й провулок Дружби
2-й Дубініна провулок                                                	2-й провулок Дубініна
2-й Енгельса провулок                                                	2-й провулок Енгельса
2-й Енергетиків проїзд                                               	2-й проїзд Енергетиків
2-й Журналістів проїзд                                               	2-й проїзд Журналістів
2-й Зорге провулок                                                   	2-й провулок Зорге
2-й Карбишева провулок                                               	2-й провулок Карбишева
2-й Карбишева проїзд                                                 	2-й проїзд Карбишева
2-й Кар’єрний провулок                                               	2-й Карʼєрний провулок
2-й Комарова провулок                                                	2-й провулок Комарова
2-й Корольова провулок                                               	2-й провулок Корольова
2-й Коцюбинського провулок                                           	2-й провулок Коцюбинського
2-й Леоніда Каденюка провулок                                        	2-й провулок Леоніда Каденюка
2-й Леоніда Мосендза провулок                                        	2-й провулок Леоніда Мосендза
2-й Лермонтова провулок                                              	2-й провулок Лермонтова
2-й Ломоносова провулок                                              	2-й провулок Ломоносова
2-й Макаренка провулок                                               	2-й провулок Макаренка
2-й Максима Шаповала провулок                                        	2-й провулок Максима Шаповала
2-й Максимовича проїзд                                               	2-й проїзд Максимовича
2-й Марії Литвиненко-Вольгемут провулок                              	2-й провулок Марії Литвиненко-Вольгемут
2-й Матросова провулок                                               	2-й провулок Матросова
2-й Маяковського провулок                                            	2-й провулок Маяковського
2-й Механізаторів провулок                                           	2-й провулок Механізаторів
2-й Миколи Костомарова провулок                                      	2-й провулок Миколи Костомарова
2-й Миколи Хвильового провулок                                       	2-й провулок Миколи Хвильового
2-й Мирослава Скорика провулок                                       	2-й провулок Мирослава Скорика
2-й Москвіна провулок                                                	2-й провулок Москвіна
2-й Насті Присяжнюк провулок                                         	2-й провулок Насті Присяжнюк
2-й Нахімова провулок                                                	2-й провулок Нахімова
2-й Нахімова тупик                                                   	2-й тупик Нахімова
2-й Незалежності провулок                                            	2-й провулок Незалежності
2-й Олександра Лотоцького провулок                                   	2-й провулок Олександра Лотоцького
2-й Олексія Миргородського провулок                                  	2-й провулок Олексія Миргородського
2-й Олексія Миргородського проїзд                                    	2-й проїзд Олексія Миргородського
2-й Омеляна Грабця провулок                                          	2-й провулок Омеляна Грабця
2-й Павленка проїзд                                                  	2-й проїзд Павленка
2-й Пестеля провулок                                                 	2-й провулок Пестеля
2-й Петровського провулок                                            	2-й провулок Петровського
2-й Пилипа Орлика провулок                                           	2-й провулок Пилипа Орлика
2-й Пирогова провулок                                                	2-й провулок Пирогова
2-й Полубудкіна провулок                                             	2-й провулок Полубудкіна
2-й Постишева провулок                                               	2-й провулок Постишева
2-й Постишева проїзд                                                 	2-й проїзд Постишева
2-й Праведників світу проїзд                                         	2-й проїзд Праведників Світу
2-й Рилєєва провулок                                                 	2-й провулок Рилєєва
2-й Романа Балаби провулок                                           	2-й провулок Романа Балаби
2-й Сагайдачного провулок                                            	2-й провулок Сагайдачного
2-й Северина Наливайка провулок                                      	2-й провулок Северина Наливайка
2-й Софії Русової провулок                                           	2-й провулок Софії Русової
2-й Стеценка провулок                                                	2-й провулок Стеценка
2-й Тараса Шевченка провулок                                         	2-й провулок Тараса Шевченка
2-й Тетяни Яблонської провулок                                       	2-й провулок Тетяни Яблонської
2-й Топольського провулок                                            	2-й провулок Топольського
2-й Тропініна провулок                                               	2-й провулок Тропініна
2-й Трублаїні провулок                                               	2-й провулок Трублаїні
2-й Тухачевського провулок                                           	2-й провулок Тухачевського
2-й Франка провулок                                                  	2-й провулок Франка
2-й Харчовиків проїзд                                                	2-й проїзд Харчовиків
2-й Хмельницького шосе провулок                                      	2-й провулок Хмельницького Шосе
2-й Хіміків проїзд                                                   	2-й проїзд Хіміків
2-й Цукровиків проїзд                                                	2-й проїзд Цукровиків
2-й Чайковського провулок                                            	2-й провулок Чайковського
2-й Черняховського провулок                                          	2-й провулок Черняховського
2-й Черняховського проїзд                                            	2-й проїзд Черняховського
2-й Шевченка провулок                                                	2-й провулок Шевченка
2-й Ширшова провулок                                                 	2-й провулок Ширшова
2-й Юності провулок                                                  	2-й провулок Юності
2-й Юрія Левади проїзд                                               	2-й проїзд Юрія Левади
20-го Березня вулиця                                                 	вулиця 20 Березня
22 Січня вулиця                                                      	вулиця 22 Січня
25 років Жовтня вулиця                                               	вулиця 25 років Жовтня
276-ї Стрілецької Дивізії вулиця                                     	вулиця 276-ї Стрілецької Дивізії
28 Червня вулиця                                                     	вулиця 28 Червня
28-го Червня вулиця                                                  	вулиця 28 Червня
3 Махнівський провулок                                               	3-й Махнівський провулок
3-й Євгена Чикаленка провулок                                        	3-й провулок Євгена Чикаленка
3-й Івана Пулюя проїзд                                               	3-й проїзд Івана Пулюя
3-й Автомобілістів проїзд                                            	3-й проїзд Автомобілістів
3-й Антона Турчановича провулок                                      	3-й провулок Антона Турчановича
3-й Аріадни Стебельської провулок                                    	3-й провулок Аріадни Стебельської
3-й Блюхера провулок                                                 	3-й провулок Блюхера
3-й Бориса Гмирі провулок                                            	3-й провулок Бориса Гмирі
3-й Василя Стефаника провулок                                        	3-й провулок Василя Стефаника
3-й Вишневського провулок                                            	3-й провулок Вишневського
3-й Володимира Свідзінського провулок                                	3-й провулок Володимира Свідзінського
3-й Г.Морозової провулок                                             	3-й провулок Г. Морозової
3-й Генерала Арабея проїзд                                           	3-й проїзд Генерала Арабея
3-й Глінки провулок                                                  	3-й провулок Глінки
3-й Гніванське шосе провулок                                         	3-й провулок Гніванське Шосе
3-й Григорія Чупринки провулок                                       	3-й провулок Григорія Чупринки
3-й Данила Нечая провулок                                            	3-й провулок Данила Нечая
3-й Енгельса провулок                                                	3-й провулок Енгельса
3-й Карбишева провулок                                               	3-й провулок Карбишева
3-й Карбишева проїзд                                                 	3-й проїзд Карбишева
3-й Комарова провулок                                                	3-й провулок Комарова
3-й Леоніда Каденюка провулок                                        	3-й провулок Леоніда Каденюка
3-й Лермонтова провулок                                              	3-й провулок Лермонтова
3-й Лікаря Маєвського провулок                                       	3-й провулок Лікаря Маєвського
3-й Максима Шаповала провулок                                        	3-й провулок Максима Шаповала
3-й Максимовича проїзд                                               	3-й проїзд Максимовича
3-й Насті Присяжнюк провулок                                         	3-й провулок Насті Присяжнюк
3-й Нахімова провулок                                                	3-й провулок Нахімова
3-й Незалежності провулок                                            	3-й провулок Незалежності
3-й Олександра Лотоцького провулок                                   	3-й провулок Олександра Лотоцького
3-й Олексія Миргородського проїзд                                    	3-й проїзд Олексія Миргородського
3-й Пестеля провулок                                                 	3-й провулок Пестеля
3-й Постишева провулок                                               	3-й провулок Постишева
3-й Праведників світу проїзд                                         	3-й проїзд Праведників Світу
3-й Руданського провулок                                             	3-й провулок Руданського
3-й Сагайдачного провулок                                            	3-й провулок Сагайдачного
3-й Тухачевського провулок                                           	3-й провулок Тухачевського
3-й Харчовиків проїзд                                                	3-й проїзд Харчовиків
3-й Хіміків проїзд                                                   	3-й проїзд Хіміків
3-й Цукровиків проїзд                                                	3-й проїзд Цукровиків
3-й Черняховського проїзд                                            	3-й проїзд Черняховського
3-й Шевченка провулок                                                	3-й провулок Шевченка
3-й Ширшова провулок                                                 	3-й провулок Ширшова
3-й Юрія Левади проїзд                                               	3-й проїзд Юрія Левади
3-я Садова вулиця                                                    	3-тя Садова вулиця
3-я вулиця                                                           	3-тя вулиця
30 років Перемоги вулиця                                             	вулиця 30 років Перемоги
30-річчя Перемоги вулиця                                             	вулиця 30-річчя Перемоги
35 Років Перемоги вулиця                                             	вулиця 35 років Перемоги
39 років Перемоги вулиця                                             	вулиця 39 років Перемоги
4-а Садова вулиця                                                    	4-та Садова вулиця
4-а вулиця                                                           	4-та вулиця
4-й Євгена Чикаленка провулок                                        	4-й провулок Євгена Чикаленка
4-й Автомобілістів проїзд                                            	4-й проїзд Автомобілістів
4-й Аріадни Стебельської провулок                                    	4-й провулок Аріадни Стебельської
4-й Бориса Гмирі провулок                                            	4-й провулок Бориса Гмирі
4-й Василя Стефаника провулок                                        	4-й провулок Василя Стефаника
4-й Генерала Арабея проїзд                                           	4-й проїзд Генерала Арабея
4-й Гніванське шосе провулок                                         	4-й провулок Гніванське Шосе
4-й Григорія Чупринки провулок                                       	4-й провулок Григорія Чупринки
4-й Енергетиків проїзд                                               	4-й проїзд Енергетиків
4-й Комарова провулок                                                	4-й провулок Комарова
4-й Леоніда Каденюка провулок                                        	4-й провулок Леоніда Каденюка
4-й Максима Шаповала провулок                                        	4-й провулок Максима Шаповала
4-й Руданського провулок                                             	4-й провулок Руданського
4-й Цукровиків проїзд                                                	4-й проїзд Цукровиків
4-й Черняховського проїзд                                            	4-й проїзд Черняховського
4-й Юрія Левади проїзд                                               	4-й проїзд Юрія Левади
40 років Перемоги вулиця                                             	вулиця 40 років Перемоги
40-річчя Перемоги вулиця                                             	вулиця 40-річчя Перемоги
40-річчя Перемоги провулок                                           	провулок 40-річчя Перемоги
5-а вулиця                                                           	5-та вулиця
5-й Євгена Чикаленка провулок                                        	5-й провулок Євгена Чикаленка
5-й Автомобілістів проїзд                                            	5-й проїзд Автомобілістів
5-й Бориса Гмирі провулок                                            	5-й провулок Бориса Гмирі
5-й Василя Стефаника провулок                                        	5-й провулок Василя Стефаника
5-й Генерала Арабея проїзд                                           	5-й проїзд Генерала Арабея
5-й Гніванське шосе провулок                                         	5-й провулок Гніванське Шосе
5-й Григорія Чупринки провулок                                       	5-й провулок Григорія Чупринки
5-й Комарова провулок                                                	5-й провулок Комарова
5-й Леоніда Каденюка провулок                                        	5-й провулок Леоніда Каденюка
5-й Максима Шаповала провулок                                        	5-й провулок Максима Шаповала
5-й Черняховського проїзд                                            	5-й проїзд Черняховського
5-й Юрія Левади проїзд                                               	5-й проїзд Юрія Левади
50 Років Жовтня вулиця                                               	вулиця 50 років Жовтня
50 років ВЛКСМ вулиця                                                	вулиця 50 років ВЛКСМ
50 років Жовтня вулиця                                               	вулиця 50 років Жовтня
50 років СРСР вулиця                                                 	вулиця 50 років СРСР
50 років СССР вулиця                                                 	вулиця 50 років СРСР
50-річчя Жовтня вулиця                                               	вулиця 50-річчя Жовтня
50-річчя Колгоспу вулиця                                             	вулиця 50-річчя Колгоспу
50-річчя Перемоги вулиця                                             	вулиця 50-річчя Перемоги
50-річчя Перемоги провулок                                           	провулок 50-річчя Перемоги
