Підгаєцький-1 провулок                                                                        	1-й Підгаєцький провулок
Бориса Шведа вулиця                                                                           	вулиця Бориса Шведа
Боричевського вулиця                                                                          	вулиця Боричевського
Борового вулиця                                                                               	вулиця Борового
Боровця вулиця                                                                                	вулиця Боровця
Бородіна вулиця                                                                               	вулиця Бородіна
Боярка вулиця                                                                                 	вулиця Боярка
Братеничі вулиця                                                                              	вулиця Братеничі
Братів Конончуків вулиця                                                                      	вулиця Братів Конончуків
Братів Лясковців вулиця                                                                       	вулиця Братів Лясковців
Братів Якимчуків вулиця                                                                       	вулиця Братів Якимчуків
Брюллова вулиця                                                                               	вулиця Брюллова
Будівельників вулиця                                                                          	вулиця Будівельників
Будьоного вулиця                                                                              	вулиця Будьоного
Бульби-Боровця вулиця                                                                         	вулиця Бульби-Боровця
Бурки вулиця                                                                                  	вулиця Бурки
Буховича вулиця                                                                               	вулиця Буховича
В.Жука вулиця                                                                                 	вулиця В. Жука
В. Прищепи вулиця                                                                             	вулиця В. Прищепи
В. Сильмана вулиця                                                                            	вулиця В. Сильмана
Вавілова вулиця                                                                               	вулиця Вавілова
Вавренюка вулиця                                                                              	вулиця Вавренюка
Валерія Лобановського вулиця                                                                  	вулиця Валерія Лобановського
Валерія Опанасюка вулиця                                                                      	вулиця Валерія Опанасюка
Валер’яна Поліщука вулиця                                                                     	вулиця Валерʼяна Поліщука
Валі Котика вулиця                                                                            	вулиця Валі Котика
Ванди Василевської вулиця                                                                     	вулиця Ванди Василевської
Василевського вулиця                                                                          	вулиця Василевського
Василя Авраменка вулиця                                                                       	вулиця Василя Авраменка
Василя Гелети вулиця                                                                          	вулиця Василя Гелети
Василя Кука вулиця                                                                            	вулиця Василя Кука
Василя Симоненка вулиця                                                                       	вулиця Василя Симоненка
Василя Сліпака вулиця                                                                         	вулиця Василя Сліпака
Василя Стефаника вулиця                                                                       	вулиця Василя Стефаника
Василя Стуса вулиця                                                                           	вулиця Василя Стуса
Василя Сухомлинського вулиця                                                                  	вулиця Василя Сухомлинського
Василя Червонія вулиця                                                                        	вулиця Василя Червонія
Ватутіна вулиця                                                                               	вулиця Ватутіна
Веделя вулиця                                                                                 	вулиця Веделя
Велика Гряда вулиця                                                                           	вулиця Велика Гряда
Велика Слобідка вулиця                                                                        	вулиця Велика Слобідка
Вербицького вулиця                                                                            	вулиця Вербицького
Вербська Софіївка вулиця                                                                      	вулиця Вербська Софіївка
Веремчука вулиця                                                                              	вулиця Веремчука
Верещагіна вулиця                                                                             	вулиця Верещагіна
Вигін вулиця                                                                                  	вулиця Вигін
Вигнанка вулиця                                                                               	вулиця Вигнанка
Вигон вулиця                                                                                  	вулиця Вигон
Видумка вулиця                                                                                	вулиця Видумка
Винниченка вулиця                                                                             	вулиця Винниченка
Виноградова вулиця                                                                            	вулиця Виноградова
Вишенського вулиця                                                                            	вулиця Вишенського
Вишиванка вулиця                                                                              	вулиця Вишиванка
Відродження вулиця                                                                            	вулиця Відродження
Віктора Головка вулиця                                                                        	вулиця Віктора Головка
Віталія Галія вулиця                                                                          	вулиця Віталія Галія
Віталія Камінського вулиця                                                                    	вулиця Віталія Камінського
Воз’єднання вулиця                                                                            	вулиця Воззʼєднання
Вознюка вулиця                                                                                	вулиця Вознюка
Воїнів інтернаціоналістів вулиця                                                              	вулиця Воїнів Інтернаціоналістів
Воїнів України вулиця                                                                         	вулиця Воїнів України
Воїнів-Афганців вулиця                                                                        	вулиця Воїнів-Афганців
Воїнів-Інтернаціоналістів вулиця                                                              	вулиця Воїнів-Інтернаціоналістів
Волгіна вулиця                                                                                	вулиця Волгіна
Волинських Чехів вулиця                                                                       	вулиця Волинських Чехів
Волинської Дивізії вулиця                                                                     	вулиця Волинської Дивізії
Волиця вулиця                                                                                 	вулиця Волиця
Волі вулиця                                                                                   	вулиця Волі
Волковенка вулиця                                                                             	вулиця Волковенка
Володимира Бобровницького вулиця                                                              	вулиця Володимира Бобровницького
Володимира Винниченка вулиця                                                                  	вулиця Володимира Винниченка
Затонського Володимира вулиця                                                                 	вулиця Володимира Затонського
Володимира Івасюка вулиця                                                                     	вулиця Володимира Івасюка
Володимира Короленка вулиця                                                                   	вулиця Володимира Короленка
Володимира Мономаха вулиця                                                                    	вулиця Володимира Мономаха
Володимира Сальського вулиця                                                                  	вулиця Володимира Сальського
Володимира Стельмаха вулиця                                                                   	вулиця Володимира Стельмаха
Володимира Стельмаха вулиця-Курчатова вулиця                                                  	вулиця Володимира Стельмаха
Володимира Ступака вулиця                                                                     	вулиця Володимира Ступака
Воля вулиця                                                                                   	вулиця Воля
Вороного вулиця                                                                               	вулиця Вороного
Ворошилова вулиця                                                                             	вулиця Ворошилова
Вротновських вулиця                                                                           	вулиця Вротновських
В’ячеслава Липинського вулиця                                                                 	вулиця Вʼячеслава Липинського
В'ячеслава Чорновола вулиця                                                                   	вулиця Вʼячеслава Чорновола
В’ячеслава Чорновола вулиця                                                                   	вулиця Вʼячеслава Чорновола
вулиця В'ячеслава Чорновола                                                                   	вулиця Вʼячеслава Чорновола
Гагаріна вулиця                                                                               	вулиця Гагаріна
Гайдара вулиця                                                                                	вулиця Гайдара
Гайдуків вулиця                                                                               	вулиця Гайдуків
Гайок вулиця                                                                                  	вулиця Гайок
Галана вулиця                                                                                 	вулиця Галана
Гордасевич Галини вулиця                                                                      	вулиця Галини Гордасевич
Галини Журби вулиця                                                                           	вулиця Галини Журби
Гальшки Острозької вулиця                                                                     	вулиця Гальшки Острозької
Ганни Дмитришиної вулиця                                                                      	вулиця Ганни Дмитришиної
Гармонії вулиця                                                                               	вулиця Гармонії
Гастелло вулиця                                                                               	вулиця Гастелло
Георгія Арутюняна вулиця                                                                      	вулиця Георгія Арутюняна
Георгія Косміаді вулиця                                                                       	вулиця Георгія Косміаді
Георгія Шарпака вулиця                                                                        	вулиця Георгія Шарпака
Герасима Смотрицького вулиця                                                                  	вулиця Герасима Смотрицького
Героїв вулиця                                                                                 	вулиця Героїв
Героїв Берестечка вулиця                                                                      	вулиця Героїв Берестечка
Героїв Гурб вулиця                                                                            	вулиця Героїв Гурб
Героїв ЗСУ вулиця                                                                             	вулиця Героїв ЗСУ
Героїв Майдану вулиця                                                                         	вулиця Героїв Майдану
Героїв Маріуполя вулиця                                                                       	вулиця Героїв Маріуполя
Героїв Небесної Сотні вулиця                                                                  	вулиця Героїв Небесної Сотні
Героїв Поліції вулиця                                                                         	вулиця Героїв Поліції
Героїв України вулиця                                                                         	вулиця Героїв України
Героїв УПА вулиця                                                                             	вулиця Героїв УПА
Героїв-Рятувальників вулиця                                                                   	вулиця Героїв-Рятувальників
Герцена вулиця                                                                                	вулиця Герцена
Гетьмана Богдана Хмельницького вулиця                                                         	вулиця Гетьмана Богдана Хмельницького
Гетьмана Виговського вулиця                                                                   	вулиця Гетьмана Виговського
Гетьмана Івана Мазепи вулиця                                                                  	вулиця Гетьмана Івана Мазепи
Гетьмана Полуботка вулиця                                                                     	вулиця Гетьмана Полуботка
Гетьмана Сагайдачного вулиця                                                                  	вулиця Гетьмана Сагайдачного
Глінки вулиця                                                                                 	вулиця Глінки
Гната Хоткевича вулиця                                                                        	вулиця Гната Хоткевича
Гоголя вулиця                                                                                 	вулиця Гоголя
Гойської вулиця                                                                               	вулиця Гойської
Головка вулиця                                                                                	вулиця Головка
Гончара вулиця                                                                                	вулиця Гончара
Гончариха вулиця                                                                              	вулиця Гончариха
Гора вулиця                                                                                   	вулиця Гора
Горбачевського вулиця                                                                         	вулиця Горбачевського
Городище вулиця                                                                               	вулиця Городище
Горького вулиця                                                                               	вулиця Горького
Грабівець вулиця                                                                              	вулиця Грабівець
Грабник вулиця                                                                                	вулиця Грабник
Грабовець вулиця                                                                              	вулиця Грабовець
Грабовського вулиця                                                                           	вулиця Грабовського
Гребля вулиця                                                                                 	вулиця Гребля
Григоренка вулиця                                                                             	вулиця Григоренка
Григорія Квітки-Основ’яненка вулиця                                                           	вулиця Григорія Квітки-Основʼяненка
Григорія Сковороди вулиця                                                                     	вулиця Григорія Сковороди
Григорія Чубая вулиця                                                                         	вулиця Григорія Чубая
Григрія Чубая вулиця                                                                          	вулиця Григрія Чубая
Грицька Чубая вулиця                                                                          	вулиця Грицька Чубая
Громової вулиця                                                                               	вулиця Громової
Грушевського вулиця                                                                           	вулиця Грушевського
Грязнова вулиця                                                                               	вулиця Грязнова
Гудкова вулиця                                                                                	вулиця Гудкова
Гулаї вулиця                                                                                  	вулиця Гулаї
Гурія Бухала вулиця                                                                           	вулиця Гурія Бухала
Гур’єва вулиця                                                                                	вулиця Гурʼєва
Д. Галицького вулиця                                                                          	вулиця Д. Галицького
Д. Нечая вулиця                                                                               	вулиця Д. Нечая
Данила Галицького вулиця                                                                      	вулиця Данила Галицького
Дарвіна вулиця                                                                                	вулиця Дарвіна
Декабристів вулиця                                                                            	вулиця Декабристів
Демидової вулиця                                                                              	вулиця Демидової
Демьохіна вулиця                                                                              	вулиця Демьохіна
Джека Лондона вулиця                                                                          	вулиця Джека Лондона
Джона Ріда вулиця                                                                             	вулиця Джона Ріда
Джохара Дудаєва вулиця                                                                        	вулиця Джохара Дудаєва
Директорії вулиця                                                                             	вулиця Директорії
Діонісія Міклера вулиця                                                                       	вулиця Діонісія Міклера
Дмитра Багалія вулиця                                                                         	вулиця Дмитра Багалія
Дмитра Васильчука вулиця                                                                      	вулиця Дмитра Васильчука
Дмитра Вишневецького вулиця                                                                   	вулиця Дмитра Вишневецького
Дмитра Козачонка вулиця                                                                       	вулиця Дмитра Козачонка
Дмитра Момотюка вулиця                                                                        	вулиця Дмитра Момотюка
Дмитра Яворницького вулиця                                                                    	вулиця Дмитра Яворницького
Добролюбова вулиця                                                                            	вулиця Добролюбова
Довбуша вулиця                                                                                	вулиця Довбуша
Довженка вулиця                                                                               	вулиця Довженка
Дорошенка вулиця                                                                              	вулиця Дорошенка
Дослідна станція вулиця                                                                       	вулиця Дослідна Станція
Достоєвського вулиця                                                                          	вулиця Достоєвського
Драганчука вулиця                                                                             	вулиця Драганчука
Драгоманова вулиця                                                                            	вулиця Драгоманова
Драй-Хмари вулиця                                                                             	вулиця Драй-Хмари
Дровальова вулиця                                                                             	вулиця Дровальова
Дружби вулиця                                                                                 	вулиця Дружби
Дубенщина вулиця                                                                              	вулиця Дубенщина
Дубинецького вулиця                                                                           	вулиця Дубинецького
Дубовий куток вулиця                                                                          	вулиця Дубовий Куток
Дубок вулиця                                                                                  	вулиця Дубок
Дудаєва вулиця                                                                                	вулиця Дудаєва
Дулібів вулиця                                                                                	вулиця Дулібів
Енергетиків вулиця                                                                            	вулиця Енергетиків
Євгена Гребінки вулиця                                                                        	вулиця Євгена Гребінки
Євгена Коновальця вулиця                                                                      	вулиця Євгена Коновальця
Євгена Плужника вулиця                                                                        	вулиця Євгена Плужника
Євгенія Маланюка вулиця                                                                       	вулиця Євгенія Маланюка
Єднання вулиця                                                                                	вулиця Єднання
Єдності вулиця                                                                                	вулиця Єдності
Єршова вулиця                                                                                 	вулиця Єршова
Єсеніна вулиця                                                                                	вулиця Єсеніна
Єфремова вулиця                                                                               	вулиця Єфремова
Жоліо Кюрі вулиця                                                                             	вулиця Жоліо Кюрі
Жукова вулиця                                                                                 	вулиця Жукова
Жуковського вулиця                                                                            	вулиця Жуковського
Забрама вулиця                                                                                	вулиця Забрама
Загребля вулиця                                                                               	вулиця Загребля
Заїкіна вулиця                                                                                	вулиця Заїкіна
Займиськова вулиця                                                                            	вулиця Займиськова
Закорчма вулиця                                                                               	вулиця Закорчма
Залесья вулиця                                                                                	вулиця Залесья
Залізняка вулиця                                                                              	вулиця Залізняка
Залоги вулиця                                                                                 	вулиця Залоги
Заньковецької вулиця                                                                          	вулиця Заньковецької
Заокіп вулиця                                                                                 	вулиця Заокіп
Заріччя вулиця                                                                                	вулиця Заріччя
Зарогатка вулиця                                                                              	вулиця Зарогатка
Засаддя вулиця                                                                                	вулиця Засаддя
Застав'я вулиця                                                                               	вулиця Заставʼя
Захисників Маріуполя вулиця                                                                   	вулиця Захисників Маріуполя
Захисників України вулиця                                                                     	вулиця Захисників України
Зацерква вулиця                                                                               	вулиця Зацерква
Зацерків'я вулиця                                                                             	вулиця Зацерківʼя
Зацерків’я вулиця                                                                             	вулиця Зацерківʼя
Заяна вулиця                                                                                  	вулиця Заян
Згоди вулиця                                                                                  	вулиця Згоди
Зерова вулиця                                                                                 	вулиця Зерова
Злагоди вулиця                                                                                	вулиця Злагоди
Зої Гайдай вулиця                                                                             	вулиця Зої Гайдай
Золотаренка вулиця                                                                            	вулиця Золотаренка
Зофоре вулиця                                                                                 	вулиця Зофоре
І. Вишенського вулиця                                                                         	вулиця І. Вишенського
І.Їжакевича вулиця                                                                            	вулиця І. Їжакевича
І. Мазепи вулиця                                                                              	вулиця І. Мазепи
І. Франка вулиця                                                                              	вулиця І. Франка
І.Франка вулиця                                                                               	вулиця І. Франка
Івана Багряного вулиця                                                                        	вулиця Івана Багряного
Івана Богуна вулиця                                                                           	вулиця Івана Богуна
Івана Виговського вулиця                                                                      	вулиця Івана Виговського
Івана Вишенського вулиця                                                                      	вулиця Івана Вишенського
Івана Гонти вулиця                                                                            	вулиця Івана Гонти
Івана Гузоватого вулиця                                                                       	вулиця Івана Гузоватого
Іvana Гузоватого вулиця                                                                       	вулиця Івана Гузоватого
Івана Дзюби вулиця                                                                            	вулиця Івана Дзюби
Івана Карпенка-Карого вулиця                                                                  	вулиця Івана Карпенка-Карого
Івана Корицького вулиця                                                                       	вулиця Івана Корицького
Івана Ле вулиця                                                                               	вулиця Івана Ле
Івана Литвиненка вулиця                                                                       	вулиця Івана Литвиненка
Івана Мазепи вулиця                                                                           	вулиця Івана Мазепи
Івана Нечуя-Левицького вулиця                                                                 	вулиця Івана Нечуя-Левицького
Івана Носаля вулиця                                                                           	вулиця Івана Носаля
Івана Огієнка вулиця                                                                          	вулиця Івана Огієнка
Ивана Подковы улица                                                                           	вулиця Івана Підкови
Івана Підкови вулиця                                                                          	вулиця Івана Підкови
Івана Пулюя вулиця                                                                            	вулиця Івана Пулюя
Івана Сірка вулиця                                                                            	вулиця Івана Сірка
Івана Трифонова вулиця                                                                        	вулиця Івана Трифонова
Івана Федорова вулиця                                                                         	вулиця Івана Федорова
Івана Франка вулиця                                                                           	вулиця Івана Франка
Іванова вулиця                                                                                	вулиця Іванова
Івасюка вулиця                                                                                	вулиця Івасюка
Ігоря Сікорського вулиця                                                                      	вулиця Ігоря Сікорського
Іллі Рєпіна вулиця                                                                            	вулиця Іллі Рєпіна
Інтернаціоналістів вулиця                                                                     	вулиця Інтернаціоналістів
Їжакевича вулиця                                                                              	вулиця Їжакевича
Йосипа Новицького вулиця                                                                      	вулиця Йосипа Новицького
Йосипа Петлюка вулиця                                                                         	вулиця Йосипа Петлюка
Казимира Дубровського вулиця                                                                  	вулиця Казимира Дубровського
Казимира Любомирського вулиця                                                                 	вулиця Казимира Любомирського
Казьонщина вулиця                                                                             	вулиця Казьонщина
Калнишевського вулиця                                                                         	вулиця Калнишевського
Каменярів вулиця                                                                              	вулиця Каменярів
Карбишева вулиця                                                                              	вулиця Карбишева
Кармелюка вулиця                                                                              	вулиця Кармелюка
Карпати вулиця                                                                                	вулиця Карпати
Карпінського вулиця                                                                           	вулиця Карпінського
Кастуся Калиновського вулиця                                                                  	вулиця Кастуся Калиновського
Катерини Ступницької вулиця                                                                   	вулиця Катерини Ступницької
Квітки-Основ’яненка вулиця                                                                    	вулиця Квітки-Основʼяненка
Кемпа вулиця                                                                                  	вулиця Кемпа
Кирила і Мефодія вулиця                                                                       	вулиця Кирила і Мефодія
Кирила Лукаріса вулиця                                                                        	вулиця Кирила Лукаріса
Кирилова вулиця                                                                               	вулиця Кирилова
Кібенка вулиця                                                                                	вулиця Кібенка
Кідри вулиця                                                                                  	вулиця Кідри
Кіквідзе вулиця                                                                               	вулиця Кіквідзе
Кірова вулиця                                                                                 	вулиця Кірова
Клешканя вулиця                                                                               	вулиця Клешканя
Клима Савура вулиця                                                                           	вулиця Клима Савура
Клима Савури вулиця                                                                           	вулиця Клима Савури
Климака вулиця                                                                                	вулиця Климака
Климчука вулиця                                                                               	вулиця Климчука
Княгиницького вулиця                                                                          	вулиця Княгиницького
Княгині Ольги вулиця                                                                          	вулиця Княгині Ольги
Княжни Гальшки вулиця                                                                         	вулиця Княжни Гальшки
Князів острозьких вулиця                                                                      	вулиця Князів Острозьких
Князів Острозьких вулиця                                                                      	вулиця Князів Острозьких
Князя Володимира вулиця                                                                       	вулиця Князя Володимира
Князя Гліба Дубровицького вулиця                                                              	вулиця Князя Гліба Дубровицького
Князя Ігоря вулиця                                                                            	вулиця Князя Ігоря
Князя Острозького вулиця                                                                      	вулиця Князя Острозького
Князя Романа вулиця                                                                           	вулиця Князя Романа
Ковалі вулиця                                                                                 	вулиця Ковалі
Ковпака вулиця                                                                                	вулиця Ковпака
Козацький шлях вулиця                                                                         	вулиця Козацький Шлях
Козацької Слави вулиця                                                                        	вулиця Козацької Слави
Козинці вулиця                                                                                	вулиця Козинці
Козланюка вулиця                                                                              	вулиця Козланюка
Комарова вулиця                                                                               	вулиця Комарова
Комарова вулмця                                                                               	вулиця Комарова
Кондратьєва вулиця                                                                            	вулиця Кондратьєва
Кондратюка вулиця                                                                             	вулиця Кондратюка
Коник вулиця                                                                                  	вулиця Коник
Кононенка вулиця                                                                              	вулиця Кононенка
Конотопської битви вулиця                                                                     	вулиця Конотопської Битви
Конституції вулиця                                                                            	вулиця Конституції
Коперника вулиця                                                                              	вулиця Коперника
Коперніка вулиця                                                                              	вулиця Коперніка
Корнійчука вулиця                                                                             	вулиця Корнійчука
Короленка вулиця                                                                              	вулиця Короленка
Корольова вулиця                                                                              	вулиця Корольова
Космонавтів вулиця                                                                            	вулиця Космонавтів
Костомарова вулиця                                                                            	вулиця Костомарова
Костюка вулиця                                                                                	вулиця Костюка
Костюшка вулиця                                                                               	вулиця Костюшка
Костянтина Ціолковського вулиця                                                               	вулиця Костянтина Ціолковського
Котляревського вулиця                                                                         	вулиця Котляревського
Коцюбинского вулиця                                                                           	вулиця Коцюбинского
Коцюбинського вулиця                                                                          	вулиця Коцюбинського
Кошового вулиця                                                                               	вулиця Кошового
Кравчука вулиця                                                                               	вулиця Кравчука
Краєзнавців вулиця                                                                            	вулиця Краєзнавців
Красильникова вулиця                                                                          	вулиця Красильникова
Красна Гора вулиця                                                                            	вулиця Красна Гора
Красностав вулиця                                                                             	вулиця Красностав
Кривоноса вулиця                                                                              	вулиця Кривоноса
Крип’якевича вулиця                                                                           	вулиця Крипʼякевича
Кропивницького вулиця                                                                         	вулиця Кропивницького
Круглик вулиця                                                                                	вулиця Круглик
Кубіка вулиця                                                                                 	вулиця Кубіка
---Кузнецова вулиця                                                                           	вулиця Кузнецова
Кузнецова вулиця                                                                              	вулиця Кузнецова
Кузнецова вулиця;Кузнєцова вулиця                                                             	вулиця Кузнецова;вулиця Кузнєцова
Кузнєцова вулиця ;Кузнецова улица                                                             	вулиця Кузнецова;вулиця Кузнєцова
Кузнєцова вулиця;Кузнецова вулиця                                                             	вулиця Кузнецова;вулиця Кузнєцова
Кузнєцова вулиця                                                                              	вулиця Кузнєцова
Кулика і Гудачека вулиця                                                                      	вулиця Кулика і Гудачека
Купріна вулиця                                                                                	вулиця Купріна
Курбаса вулиця                                                                                	вулиця Курбаса
Курчатова вулиця                                                                              	вулиця Курчатова
Курчатова вулиця;Kurchatova Street;Курчатова улица                                            	вулиця Курчатова
Кустов'є вулиця                                                                               	вулиця Кустовʼє
Кут вулиця                                                                                    	вулиця Кут
Куток вулиця                                                                                  	вулиця Куток
Кутузова вулиця                                                                               	вулиця Кутузова
Л. Коляди вулиця                                                                              	вулиця Л. Коляди
Толстого Л. вулиця                                                                            	вулиця Л. Толстого
Лагуткіна вулиця ; Лагуткина улица                                                            	вулиця Лагуткіна
Леваневського вулиця                                                                          	вулиця Леваневського
Левицького вулиця                                                                             	вулиця Левицького
