1 Ірпіньський провулок                                          	1-й Ірпінський провулок
3-й Тараса Шевченка провулок                                    	3-й провулок Тараса Шевченка
3-й Якова Степового провулок                                    	3-й провулок Якова Степового
3-й Ярослава Мудрого провулок                                   	3-й провулок Ярослава Мудрого
3-тий Сагайдачного провулок                                     	3-й провулок Сагайдачного
3-я Приміська вулиця                                            	3-тя Приміська вулиця
30 років Перемоги вулиця                                        	вулиця 30 років Перемоги
30-рріччя Перемоги вулиця                                       	вулиця 30-річчя Перемоги
4-а Приміська вулиця                                            	4-та Приміська вулиця
4-й Тараса Шевченка провулок                                    	4-й провулок Тараса Шевченка
4-тий Сагайдачного провулок                                     	4-й провулок Сагайдачного
40 Років Перемоги вулиця                                        	вулиця 40 років Перемоги
40-річчя Перемоги вулиця                                        	вулиця 40-річчя Перемоги
40-річчя Перемоги провулок                                      	провулок 40-річчя Перемоги
400-річчя Заставни вулиця                                       	вулиця 400-річчя Заставни
5-а Приміська вулиця                                            	5-та Приміська вулиця
50-річчя Перемоги вулиця                                        	вулиця 50-річчя Перемоги
550-річчя вулиця                                                	вулиця 550-річчя
6-а Приміська вулиця                                            	6-та Приміська вулиця
6-й Лукіяновича провулок                                        	6-й провулок Лукіяновича
7-а Приміська вулиця                                            	7-ма Приміська вулиця
70 років Жовтня вулиця                                          	вулиця 70 років Жовтня
8 Березня вулиця                                                	вулиця 8 Березня
8-го Березня вулиця                                             	вулиця 8 Березня
8-й квартал вулиця                                              	вулиця 8-й Квартал
9 Травня вулиця                                                 	вулиця 9 Травня
9-го Травня вулиця                                              	вулиця 9 Травня
А. Цветкова вулиця                                              	вулиця А. Цветкова
Автомобілістів вулиця                                           	вулиця Автомобілістів
Адама Міцкевича вулиця                                          	вулиця Адама Міцкевича
Адама Міцкевича провулок                                        	провулок Адама Міцкевича
Адмірала Петра Нахімова вулиця                                  	вулиця Адмірала Петра Нахімова
Адмірала Федора Ушакова вулиця                                  	вулиця Адмірала Федора Ушакова
Академіка Амосова вулиця                                        	вулиця Академіка Амосова
Академіка Вавілова вулиця                                       	вулиця Академіка Вавілова
Академіка Вернадського вулиця                                   	вулиця Академіка Вернадського
Академіка Володимира Філатова вулиця                            	вулиця Академіка Володимира Філатова
Академіка Корольова вулиця                                      	вулиця Академіка Корольова
Академіка Патона вулиця                                         	вулиця Академіка Патона
Акацій вулиця                                                   	вулиця Акацій
Александру Чел Бун вулиця                                       	вулиця Александру Чел Бун
Алекулова вулиця                                                	вулиця Алекулова
Алєєксєєва вулиця                                               	вулиця Алєєксєєва
Алєксєєва вулиця                                                	вулиця Алєксєєва
Алмазова вулиця                                                 	вулиця Алмазова
Анатолія Добрянського вулиця                                    	вулиця Анатолія Добрянського
Анатолія Полянського провулок                                   	провулок Анатолія Полянського
Анатолія Серова провулок                                        	провулок Анатолія Серова
Андрея Шептицького вулиця                                       	вулиця Андрея Шептицького
Андрія Борулі вулиця                                            	вулиця Андрія Борулі
Андрія Кузьменка вулиця                                         	вулиця Андрія Кузьменка
Андрія Кушніренка вулиця                                        	вулиця Андрія Кушніренка
Андрія Сахарова вулиця                                          	вулиця Андрія Сахарова
Андрія Шептицького вулиця                                       	вулиця Андрія Шептицького
Анни Ярославни вулиця                                           	вулиця Анни Ярославни
Анрі Барбюса вулиця                                             	вулиця Анрі Барбюса
Антіна Кравса вулиця                                            	вулиця Антіна Кравса
Антона Кохановського вулиця                                     	вулиця Антона Кохановського
Антона Макаренка вулиця                                         	вулиця Антона Макаренка
Антона Чехова вулиця                                            	вулиця Антона Чехова
Аркадія Гайдара вулиця                                          	вулиця Аркадія Гайдара
Аркадія Жуковського вулиця                                      	вулиця Аркадія Жуковського
Арона Пумнула вулиця                                            	вулиця Арона Пумнула
Артема вулиця                                                   	вулиця Артема
Аурела Ончула вулиця                                            	вулиця Аурела Ончула
Б. Струмінського вулиця                                         	вулиця Б. Струмінського
Б. Хмельницького вулиця                                         	вулиця Б. Хмельницького
Б.Хмельницького вулиця                                          	вулиця Б. Хмельницького
Бажанського вулиця                                              	вулиця Бажанського
Базилєєва вулиця                                                	вулиця Базилєєва
Байди-Вишневецького вулиця                                      	вулиця Байди-Вишневецького
Бандери вулиця                                                  	вулиця Бандери
Бельського вулиця                                               	вулиця Бельського
Бєлінського вулиця                                              	вулиця Бєлінського
Бірюкової вулиця                                                	вулиця Бірюкової
Богдана Крижанівського вулиця                                   	вулиця Богдана Крижанівського
Богдана Лепкого вулиця                                          	вулиця Богдана Лепкого
Богдана Хмельницького вулиця                                    	вулиця Богдана Хмельницького
Богдана Хмельницького завулок                                   	завулок Богдана Хмельницького
Богдана Хмельницького провулок                                  	провулок Богдана Хмельницького
Богуна вулиця                                                   	вулиця Богуна
Божанського вулиця                                              	вулиця Божанського
Боженка вулиця                                                  	вулиця Боженка
Боженка провулок                                                	провулок Боженка
Боженко вулиця                                                  	вулиця Боженко
Боженко провулок                                                	провулок Боженко
Бойка вулиця                                                    	вулиця Бойка
Бондаренко вулиця                                               	вулиця Бондаренко
Борчі вулиця                                                    	вулиця Борчі
Боцька вулиця                                                   	вулиця Боцька
Боцька провулок                                                 	провулок Боцька
Братерства вулиця                                               	вулиця Братерства
Братів Руснаків вулиця                                          	вулиця Братів Руснаків
Будівельників вулиця                                            	вулиця Будівельників
Буковинського Віче вулиця                                       	вулиця Буковинського Віче
Букшованого Осипа вулиця                                        	вулиця Осипа Букшованого
Бурга вулиця                                                    	вулиця Бурга
В. Винниченка вулиця                                            	вулиця В. Винниченка
В. Гнатчука вулиця                                              	вулиця В. Гнатчука
В. Івасюка вулиця                                               	вулиця В. Івасюка
В. Маковейчука вулиця                                           	вулиця В. Маковейчука
В. Михайловського вулиця                                        	вулиця В. Михайловського
В. Райського вулиця                                             	вулиця В. Райського
В. Стуса вулиця                                                 	вулиця В. Стуса
В. Терешкової вулиця                                            	вулиця В. Терешкової
В. Чорновола вулиця                                             	вулиця В. Чорновола
В'ячеслава Чорновола вулиця                                     	вулиця Вʼячеслава Чорновола
В’ячеслава Куреньова вулиця                                     	вулиця Вʼячеслава Куреньова
В’ячеслава Чорновола вулиця                                     	вулиця Вʼячеслава Чорновола
Валентини Терешкової вулиця                                     	вулиця Валентини Терешкової
Валявського Іллі вулиця                                         	вулиця Іллі Валявського
Ванди Василевської вулиця                                       	вулиця Ванди Василевської
Васильєва вулиця                                                	вулиця Васильєва
Васильченка вулиця                                              	вулиця Васильченка
Василя Аксенина вулиця                                          	вулиця Василя Аксенина
Василя Білоусова вулиця                                         	вулиця Василя Білоусова
Василя Вишиваного вулиця                                        	вулиця Василя Вишиваного
Василя Девдюка вулиця                                           	вулиця Василя Девдюка
Василя Лелека вулиця                                            	вулиця Василя Лелека
Василя Лесина вулиця                                            	вулиця Василя Лесина
Василя Мельника вулиця                                          	вулиця Василя Мельника
Василя Попези вулиця                                            	вулиця Василя Попези
Василя Симоненка вулиця                                         	вулиця Василя Симоненка
Василя Сімовича вулиця                                          	вулиця Василя Сімовича
Василя Стефаника вулиця                                         	вулиця Василя Стефаника
Василя Стуса вулиця                                             	вулиця Василя Стуса
Василя Стуса провулок                                           	провулок Василя Стуса
Василя Чапаєва вулиця                                           	вулиця Василя Чапаєва
Васі Токаря вулиця                                              	вулиця Васі Токаря
Васіле Александрі вулиця                                        	вулиця Васіле Александрі
Васіле Александрі провулок                                      	провулок Васіле Александрі
Ватутіна вулиця                                                 	вулиця Ватутіна
Ватутіна провулок                                               	провулок Ватутіна
Велика Виженка вулиця                                           	вулиця Велика Виженка
Веніаміна Іліуци вулиця                                         	вулиця Веніаміна Іліуци
Веніаміна Іліуци провулок                                       	провулок Веніаміна Іліуци
Вероне вулиця                                                   	вулиця Вероне
Весни вулиця                                                    	вулиця Весни
Ветеранів вулиця                                                	вулиця Ветеранів
Виговського вулиця                                              	вулиця Виговського
Видинівського вулиця                                            	вулиця Видинівського
Вишнівського вулиця                                             	вулиця Вишнівського
Віктора Ліліяка вулиця                                          	вулиця Віктора Ліліяка
Віктора Редькина вулиця                                         	вулиця Віктора Редькина
Віри Бірюкової вулиця                                           	вулиця Віри Бірюкової
Владислава Кліщука вулиця                                       	вулиця Владислава Кліщука
Владислава Трепка вулиця                                        	вулиця Владислава Трепка
Возз'єднання вулиця                                             	вулиця Воззʼєднання
Возз'єднання провулок                                           	провулок Воззʼєднання
Воїнів Визволителів вулиця                                      	вулиця Воїнів-Визволителів
Володимира Великого вулиця                                      	вулиця Володимира Великого
Володимира Вернадського вулиця                                  	вулиця Володимира Вернадського
Володимира Вернадського провулок                                	провулок Володимира Вернадського
Володимира Винниченка вулиця                                    	вулиця Володимира Винниченка
Володимира Гаврилюка вулиця                                     	вулиця Володимира Гаврилюка
Володимира Івасюка вулиця                                       	вулиця Володимира Івасюка
Володимира Маяковського вулиця                                  	вулиця Володимира Маяковського
Володимира Сосюри вулиця                                        	вулиця Володимира Сосюри
Володимира Чорновола вулиця                                     	вулиця Володимира Чорновола
Волошина вулиця                                                 	вулиця Волошина
Вольфганга Амадея Моцарта вулиця                                	вулиця Вольфганга Амадея Моцарта
Воробкевича вулиця                                              	вулиця Воробкевича
Воронянського вулиця                                            	вулиця Воронянського
Ворошилова провулок                                             	провулок Ворошилова
вул. Дністровська                                               	Дністровська вулиця
вул. Шевченка                                                   	вулиця Шевченка
Вулиця 28 червня                                                	вулиця 28 Червня
вулиця 8-го Березня                                             	вулиця 8 Березня
вулиця Ангеліної П.                                             	вулиця П. Ангеліної
вулиця Базарна                                                  	Базарна вулиця
Вулиця Боженка                                                  	вулиця Боженка
вулиця В. Стуса                                                 	вулиця В. Стуса
вулиця В. Фокшука                                               	вулиця В. Фокшука
вулиця Виноградна                                               	Виноградна вулиця
вулиця Вишнева                                                  	Вишнева вулиця
вулиця Головна                                                  	Головна вулиця
вулиця Джерельна                                                	Джерельна вулиця
вулиця Дружби народів                                           	вулиця Дружби Народів
вулиця Дубковецька                                              	Дубковецька вулиця
вулиця Жовтнева                                                 	Жовтнева вулиця
вулиця Запотічна                                                	Запотічна вулиця
вулиця Затишна                                                  	Затишна вулиця
вулиця Зелена                                                   	Зелена вулиця
вулиця І. Миколайчука                                           	вулиця І. Миколайчука
вулиця І. Франка                                                	вулиця І. Франка
вулиця К.Галкіна                                                	вулиця К. Галкіна
вулиця Калинова                                                 	Калинова вулиця
вулиця Клішковецька                                             	Клішковецька вулиця
вулиця Кобилянської О.                                          	вулиця О. Кобилянської
вулиця Ковалевської С.                                          	вулиця С. Ковалевської
вулиця Козацька                                                 	Козацька вулиця
вулиця Колгоспна                                                	Колгоспна вулиця
вулиця Комунальна                                               	Комунальна вулиця
вулиця Кооперативна                                             	Кооперативна вулиця
вулиця Космодемянської З.                                       	вулиця З. Космодемʼянської
вулиця Котика В.                                                	вулиця В. Котика
вулиця Кошевого О.                                              	вулиця О. Кошевого
вулиця Л. Толстого                                              	вулиця Л. Толстого
вулиця Лісна                                                    	Лісна вулиця
вулиця М. Козака                                                	вулиця М. Козака
вулиця М. Торези                                                	вулиця М. Торези
вулиця Мирного П.                                               	вулиця П. Мирного
вулиця Молодіжна                                                	Молодіжна вулиця
вулиця Н. Яремчука                                              	вулиця Н. Яремчука
вулиця Нагірна                                                  	Нагірна вулиця
вулиця Новоселицька                                             	Новоселицька вулиця
вулиця Перелісна                                                	Перелісна вулиця
вулиця Першотравнева                                            	Першотравнева вулиця
вулиця С. Побережника                                           	вулиця С. Побережника
вулиця С. Руданського                                           	вулиця С. Руданського
вулиця Свято-Дмитріївська                                       	Свято-Дмитріївська вулиця
вулиця Свято-Михайлівська                                       	Свято-Михайлівська вулиця
вулиця Солонецька                                               	Солонецька вулиця
вулиця Спортивна                                                	Спортивна вулиця
вулиця Степанової О.                                            	вулиця О. Степанової
вулиця Франка І.                                                	вулиця І. Франка
вулиця Шировецька                                               	Шировецька вулиця
вулиця Шкільна                                                  	Шкільна вулиця
вулиця Яблунева                                                 	Яблунева вулиця
Г. Романюка вулиця                                              	вулиця Г. Романюка
Габи вулиця                                                     	вулиця Габи
Гагаріна вулиця                                                 	вулиця Гагаріна
Гагаріна провулок                                               	провулок Гагаріна
Газети Правда вулиця                                            	вулиця Газети «Правда»
Гайдара провулок                                                	провулок Гайдара
Галана вулиця                                                   	вулиця Галана
Галицький Шлях вулиця                                           	вулиця Галицький Шлях
Галкіна вулиця                                                  	вулиця Галкіна
Ганни Барвінок вулиця                                           	вулиця Ганни Барвінок
Ганни Янушевич вулиця                                           	вулиця Ганни Янушевич
Гараса вулиця                                                   	вулиця Гараса
Гастелло вулиця                                                 	вулиця Гастелло
Гевліча вулиця                                                  	вулиця Гевліча
Гейне вулиця                                                    	вулиця Гейне
Генерала Андрея Гетмана вулиця                                  	вулиця Генерала Андрея Гетмана
Генерала Федора Боброва вулиця                                  	вулиця Генерала Федора Боброва
Георгія Гараса вулиця                                           	вулиця Георгія Гараса
Георгія Гонгадзе вулиця                                         	вулиця Георгія Гонгадзе
Георгія Гонгадзе провулок                                       	провулок Георгія Гонгадзе
Георгія Димитрова вулиця                                        	вулиця Георгія Димитрова
Георгія Жукова вулиця                                           	вулиця Георгія Жукова
Героїв вулиця                                                   	вулиця Героїв
Героїв Крут бульвар                                             	бульвар Героїв Крут
Героїв Крут вулиця                                              	вулиця Героїв Крут
Героїв Майдану вулиця                                           	вулиця Героїв Майдану
Героїв Небесної Сотні вулиця                                    	вулиця Героїв Небесної Сотні
Героїв Панфіловців вулиця                                       	вулиця Героїв Панфіловців
Героїв Сталінграду бульвар                                      	бульвар Героїв Сталінграду
Героїв України вулиця                                           	вулиця Героїв України
Гетьмана Дорошенка вулиця                                       	вулиця Гетьмана Дорошенка
Гетьмана Сагайдачного вулиця                                    	вулиця Гетьмана Сагайдачного
Гешка вулиця                                                    	вулиця Гешка
Глебова вулиця                                                  	вулиця Глебова
Глібова вулиця                                                  	вулиця Глібова
Глінки вулиця                                                   	вулиця Глінки
Гната Хоткевича вулиця                                          	вулиця Гната Хоткевича
Гоголя вулиця                                                   	вулиця Гоголя
Гоголя провулок                                                 	провулок Гоголя
Головачука вулиця                                               	вулиця Головачука
Гончара вулиця                                                  	вулиця Гончара
Горького вулиця                                                 	вулиця Горького
Горького провулок                                               	провулок Горького
Гостинець вулиця                                                	вулиця Гостинець
Гречаного вулиця                                                	вулиця Гречаного
Грибоєдова вулиця                                               	вулиця Грибоєдова
Григорія Бурденюка вулиця                                       	вулиця Григорія Бурденюка
Григорія Петровського вулиця                                    	вулиця Григорія Петровського
Григорія Сковороди вулиця                                       	вулиця Григорія Сковороди
Григорія Сковороди провулок                                     	провулок Григорія Сковороди
Григоряка вулиця                                                	вулиця Григоряка
Грушевського вулиця                                             	вулиця Грушевського
Грушевського провулок                                           	провулок Грушевського
Гудими вулиця                                                   	вулиця Гудими
Гулака Артемовського вулиця                                     	вулиця Гулака-Артемовського
Гусаковського вулиця                                            	вулиця Гусаковського
Гусаковського провулок                                          	провулок Гусаковського
Ґеорґе Асакі вулиця                                             	вулиця Ґеорґе Асакі
Д. Галицького вулиця                                            	вулиця Д. Галицького
Д. Каравацького вулиця                                          	вулиця Д. Каравацького
Д. Каравацького провулок                                        	провулок Д. Каравацького
Д. Чабана вулиця                                                	вулиця Д. Чабана
Давида Гурамішвілі вулиця                                       	вулиця Давида Гурамішвілі
Давиденко вулиця                                                	вулиця Давиденко
Данила Галицького вулиця                                        	вулиця Данила Галицького
Декабристів вулиця                                              	вулиця Декабристів
Деманта вулиця                                                  	вулиця Деманта
Дениса Квітковського вулиця                                     	вулиця Дениса Квітковського
Дениса Лук’яновича вулиця                                       	вулиця Дениса Лукʼяновича
Джамбула Джабаєва вулиця                                        	вулиця Джамбула Джабаєва
Джона Ріда вулиця                                               	вулиця Джона Ріда
Дзюби вулиця                                                    	вулиця Дзюби
Діденка вулиця                                                  	вулиця Діденка
Дмитра Благоєва вулиця                                          	вулиця Дмитра Благоєва
Дмитра Вишневецького вулиця                                     	вулиця Дмитра Вишневецького
Дмитра Загула вулиця                                            	вулиця Дмитра Загула
Дмитра Загула провулок                                          	провулок Дмитра Загула
Дмитра Загули вулиця                                            	вулиця Дмитра Загули
Дмитра Пожарського вулиця                                       	вулиця Дмитра Пожарського
Дністровська Набережна вулиця                                   	вулиця Дністровська Набережна
Довбуша вулиця                                                  	вулиця Довбуша
Довженка вулиця                                                 	вулиця Довженка
Долинка провулок                                                	провулок Долинка
Дорошенка вулиця                                                	вулиця Дорошенка
Драгоманова вулиця                                              	вулиця Драгоманова
Дружби вулиця                                                   	вулиця Дружби
Дружби народів вулиця                                           	вулиця Дружби Народів
Дружби Народів вулиця                                           	вулиця Дружби Народів
Дружби провулок                                                 	провулок Дружби
Дудніченка вулиця                                               	вулиця Дудніченка
Дунаєвського вулиця                                             	вулиця Дунаєвського
Душинського вулиця                                              	вулиця Душинського
Едуарда Райса вулиця                                            	вулиця Едуарда Райса
Еліезера Штейнбарга вулиця                                      	вулиця Еліезера Штейнбарга
Емінеску вулиця                                                 	вулиця Емінеску
Емінеску провулок                                               	провулок Емінеску
Енгельса вулиця                                                 	вулиця Енгельса
Енергетиків вулиця                                              	вулиця Енергетиків
Ентузіастів вулиця                                              	вулиця Ентузіастів
Ентузіастів провулок                                            	провулок Ентузіастів
Ерліха вулиця                                                   	вулиця Ерліха
Євгена Гребінки вулиця                                          	вулиця Євгена Гребінки
Євгена Коновальця вулиця                                        	вулиця Євгена Коновальця
Євгена Максимовича вулиця                                       	вулиця Євгена Максимовича
Євгена Стеф’юка вулиця                                          	вулиця Євгена Стефʼюка
Євгенії Ярошинської вулиця                                      	вулиця Євгенії Ярошинської
Євдокименка вулиця                                              	вулиця Євдокименка
Єдності вулиця                                                  	вулиця Єдності
Єсеніна вулиця                                                  	вулиця Єсеніна
Жалібки вулиця                                                  	вулиця Жалібки
Жизнєвського вулиця                                             	вулиця Жизнєвського
Жукова вулиця                                                   	вулиця Жукова
Жукова провулок                                                 	провулок Жукова
Журавлину вулиця                                                	вулиця Журавлину
Загиблих Героїв вулиця                                          	вулиця Загиблих Героїв
Загребельного вулиця                                            	вулиця Загребельного
Заїнчківського вулиця                                           	вулиця Заїнчківського
Залозецького вулиця                                             	вулиця Залозецького
Залозецького провулок                                           	провулок Залозецького
Зародової вулиця                                                	вулиця Зародової
Захисників України вулиця                                       	вулиця Захисників України
Здоров’я вулиця                                                 	вулиця Здоровʼя
Зелений Клин вулиця                                             	вулиця Зелений Клин
Зерова вулиця                                                   	вулиця Зерова
Зерова Миколи вулиця                                            	вулиця Миколи Зерова
Зіновії Канюк вулиця                                            	вулиця Зіновії Канюк
Злагоди вулиця                                                  	вулиця Злагоди
Зої Космодем'янської вулиця                                     	вулиця Зої Космодемʼянської
Зої Космодем’янської вулиця                                     	вулиця Зої Космодемʼянської
І провулок 30-ччя Перемоги                                      	1-й провулок 30-річчя Перемоги
І провулок Горького                                             	1-й провулок Горького
І провулок Надрічної                                            	1-й провулок Надрічної
І. Бажанського вулиця                                           	вулиця І. Бажанського
І. Богуна вулиця                                                	вулиця І. Богуна
І. Вільде вулиця                                                	вулиця І. Вільде
І. Гончарова вулиця                                             	вулиця І. Гончарова
І. Гончарова провулок                                           	провулок І. Гончарова
І. Миколайчука вулиця                                           	вулиця І. Миколайчука
І. Миколайчука провулок                                         	провулок І. Миколайчука
І. Мічуріна вулиця                                              	вулиця І. Мічуріна
І. Панфілова вулиця                                             	вулиця І. Панфілова
І. Франка вулиця                                                	вулиця І. Франка
І. Черняховського вулиця                                        	вулиця І. Черняховського
Івана Богуна вулиця                                             	вулиця Івана Богуна
Івана Болотникова вулиця                                        	вулиця Івана Болотникова
Івана Виговського вулиця                                        	вулиця Івана Виговського
Івана Гая вулиця                                                	вулиця Івана Гая
Івана Гонти вулиця                                              	вулиця Івана Гонти
Івана Гончарова вулиця                                          	вулиця Івана Гончарова
Івана Гончарова провулок                                        	провулок Івана Гончарова
Івана Дудича вулиця                                             	вулиця Івана Дудича
Івана Кожедуба вулиця                                           	вулиця Івана Кожедуба
Івана Козачука вулиця                                           	вулиця Івана Козачука
Івана Котляревського вулиця                                     	вулиця Івана Котляревського
Івана Крилова вулиця                                            	вулиця Івана Крилова
Івана Мазепи вулиця                                             	вулиця Івана Мазепи
Івана Мазепи провулок                                           	провулок Івана Мазепи
Івана Миколайчука вулиця                                        	вулиця Івана Миколайчука
Івана Пігуляка вулиця                                           	вулиця Івана Пігуляка
Івана Підкови вулиця                                            	вулиця Івана Підкови
Івана Северина вулиця                                           	вулиця Івана Северина
Івана Синюка вулиця                                             	вулиця Івана Синюка
Івана Сірка провулок                                            	провулок Івана Сірка
Івана Стасюка вулиця                                            	вулиця Івана Стасюка
Івана Тащука вулиця                                             	вулиця Івана Тащука
Івана Тобілевича вулиця                                         	вулиця Івана Тобілевича
Івана Труша вулиця                                              	вулиця Івана Труша
Івана Тургенєва вулиця                                          	вулиця Івана Тургенєва
Івана Франка вулиця                                             	вулиця Івана Франка
Івана Франка провулок                                           	провулок Івана Франка
Іванова вулиця                                                  	вулиця Іванова
Івасюка вулиця                                                  	вулиця Івасюка
Івасюка провулок                                                	провулок Івасюка
ІІ провулок Горького                                            	2-й провулок Горького
ІІІ провулок Горького                                           	3-й провулок Горького
Іларія Карбулицького вулиця                                     	вулиця Іларія Карбулицького
Ілащука вулиця                                                  	вулиця Ілащука
Іллі Гараса вулиця                                              	вулиця Іллі Гараса
Іллі Рєпіна вулиця                                              	вулиця Іллі Рєпіна
Іллі Рєпіна провулок                                            	провулок Іллі Рєпіна
Ім. К. Г. Алексєєва вулиця                                      	вулиця імені К. Г. Алексєєва
Ім. М. Щербини вулиця                                           	вулиця імені М. Щербини
Іона Кілару вулиця                                              	вулиця Іона Кілару
Іона Cбієри вулиця                                              	вулиця Іона Сбієри
Ірини Вільде вулиця                                             	вулиця Ірини Вільде
Й. Кліща вулиця                                                 	вулиця Й. Кліща
Йоганна Вольфганга фон Гете вулиця                              	вулиця Йоганна Вольфганга фон Гете
Йозефа Главки вулиця                                            	вулиця Йозефа Главки
Йозефа Ляйцнера вулиця                                          	вулиця Йозефа Ляйцнера
Йосипа Кліща вулиця                                             	вулиця Йосипа Кліща
Йосифа Бурга вулиця                                             	вулиця Йосифа Бурга
К. Галкіна вулиця                                               	вулиця К. Галкіна
К. Галкіна провулок                                             	провулок К. Галкіна
Каденюка вулиця                                                 	вулиця Каденюка
Кайндля Раймунда Фрідріха вулиця                                	вулиця Кайндля Раймунда Фрідріха
Кам'янець-Подільська вулиця                                     	Камʼянець-Подільська вулиця
Кандиби вулиця                                                  	вулиця Кандиби
Капітана Зоти вулиця                                            	вулиця Капітана Зоти
