1 Грудня вулиця                                                                      	вулиця 1 Грудня
50 років Перемоги вулиця                                                             	вулиця 50 років Перемоги
50-річчя Жовтня вулиця                                                               	вулиця 50-річчя Жовтня
50-річчя Перемоги вулиця                                                             	вулиця 50-річчя Перемоги
500-річчя Віньковець вулиця                                                          	вулиця 500-річчя Віньковець
6-а Садова вулиця                                                                    	6-та Садова вулиця
6-й Верейського проїзд                                                               	6-й проїзд Верейського
6-й Мрії проїзд                                                                      	6-й проїзд Мрії
60-річчя Жовтня вулиця                                                               	вулиця 60-річчя Жовтня
600-Річчя Ярмолинець площа                                                           	площа 600-річчя Ярмолинців
600-річчя Ярмолинців площа                                                           	площа 600-річчя Ярмолинців
7-а Садова вулиця                                                                    	7-ма Садова вулиця
7-й Верейського проїзд                                                               	7-й проїзд Верейського
7-й Мрії проїзд                                                                      	7-й проїзд Мрії
70-річчя Жовтня вулиця                                                               	вулиця 70-річчя Жовтня
8 Березня вулиця                                                                     	вулиця 8 Березня
8 Березня провулок                                                                   	провулок 8 Березня
8 Травня вулиця                                                                      	вулиця 8 Травня
8 березня вулиця                                                                     	вулиця 8 Березня
8-а Садова вулиця                                                                    	8-ма Садова вулиця
8-го Березня вулиця                                                                  	вулиця 8 Березня
8-й Верейського проїзд                                                               	8-й проїзд Верейського
8-й Мрії проїзд                                                                      	8-й проїзд Мрії
9 Травня вулиця                                                                      	вулиця 9 Травня
9-а Садова вулиця                                                                    	9-та Садова вулиця
9-го Березня провулок                                                                	провулок 9 Березня
9-го Травня вулиця                                                                   	вулиця 9 Травня
9-й Верейського проїзд                                                               	9-й проїзд Верейського
9-й Мрії проїзд                                                                      	9-й проїзд Мрії
Iвана Франка вулиця                                                                  	вулиця Івана Франка
Євгена Коновальця вулиця                                                             	вулиця Євгена Коновальця
Євгена Коновальця провулок                                                           	провулок Євгена Коновальця
Євгена Маланюка вулиця                                                               	вулиця Євгена Маланюка
Євгена Маланюка провулок                                                             	провулок Євгена Маланюка
Євгена Плужника вулиця                                                               	вулиця Євгена Плужника
Євгена Чикаленка вулиця                                                              	вулиця Євгена Чикаленка
Єдності вулиця                                                                       	вулиця Єдності
Єрмакова вулиця                                                                      	вулиця Єрмакова
І. Люльки вулиця                                                                     	вулиця І. Люльки
І. Франка вулиця                                                                     	вулиця І. Франка
І.Мазепи вулиця                                                                      	вулиця І. Мазепи
І.Мазепи провулок                                                                    	провулок І. Мазепи
І.Огієнка вулиця                                                                     	вулиця І. Огієнка
І.Ф.Кузьмука вулиця                                                                  	вулиця І. Ф. Кузьмука
Івана Багряного вулиця                                                               	вулиця Івана Багряного
Івана Багряного провулок                                                             	провулок Івана Багряного
Івана Богуна вулиця                                                                  	вулиця Івана Богуна
Івана Богуна провулок                                                                	провулок Івана Богуна
Івана Виговського вулиця                                                             	вулиця Івана Виговського
Івана Ганджі вулиця                                                                  	вулиця Івана Ганджі
Івана Гонти вулиця                                                                   	вулиця Івана Гонти
Івана Драча вулиця                                                                   	вулиця Івана Драча
Івана Жулкевського вулиця                                                            	вулиця Івана Жулкевського
Івана Зубкова вулиця                                                                 	вулиця Івана Зубкова
Івана Кожедуба вулиця                                                                	вулиця Івана Кожедуба
Івана Котляревського вулиця                                                          	вулиця Івана Котляревського
Івана Мазепи вулиця                                                                  	вулиця Івана Мазепи
Івана Мальченка вулиця                                                               	вулиця Івана Мальченка
Івана Миколайчука вулиця                                                             	вулиця Івана Миколайчука
Івана Миколайчука провулок                                                           	провулок Івана Миколайчука
Івана Мічуріна вулиця                                                                	вулиця Івана Мічуріна
Івана Мічуріна провулок                                                              	провулок Івана Мічуріна
Івана Огієнка вулиця                                                                 	вулиця Івана Огієнка
Івана Павла ІІ вулиця                                                                	вулиця Івана Павла II
Івана Пулюя вулиця                                                                   	вулиця Івана Пулюя
Івана Піддубного вулиця                                                              	вулиця Івана Піддубного
Івана Підкови вулиця                                                                 	вулиця Івана Підкови
Івана Світличного провулок                                                           	провулок Івана Світличного
Івана Сірка вулиця                                                                   	вулиця Івана Сірка
Івана Ткачука вулиця                                                                 	вулиця Івана Ткачука
Івана Тоткайла вулиця                                                                	вулиця Івана Тоткайла
Івана Тургенєва вулиця                                                               	вулиця Івана Тургенєва
Івана Федорова вулиця                                                                	вулиця Івана Федорова
Івана Франка вулиця                                                                  	вулиця Івана Франка
Івана Франка провулок                                                                	провулок Івана Франка
Івана Фрвнка вулиця                                                                  	вулиця Івана Фрвнка
Івасюка вулиця                                                                       	вулиця Івасюка
Ігора Балди провулок                                                                 	провулок Ігора Балди
Ігора Ляшенка провулок                                                               	провулок Ігора Ляшенка
Ігора Сікорського провулок                                                           	провулок Ігора Сікорського
Ігоря Балди провулок                                                                 	провулок Ігоря Балди
Ігоря Бедзая вулиця                                                                  	вулиця Ігоря Бедзая
Ігоря Брановицького вулиця                                                           	вулиця Ігоря Брановицького
Ігоря Ляшенка вулиця                                                                 	вулиця Ігоря Ляшенка
Ігоря Ляшенка провулок                                                               	провулок Ігоря Ляшенка
Ігоря Сікорського вулиця                                                             	вулиця Ігоря Сікорського
Ігоря Сікорського провулок                                                           	провулок Ігоря Сікорського
Інтернаціоналістів вулиця                                                            	вулиця Інтернаціоналістів
Іоанна Павла Ⅱ вулиця                                                                	вулиця Іоанна Павла II
Іова вулиця                                                                          	вулиця Іова
Ісайї Камʼянчанина вулиця                                                            	вулиця Ісайї Камʼянчанина
Іскри вулиця                                                                         	вулиця Іскри
А. Слюсаря вулиця                                                                    	вулиця А. Слюсаря
А. Стрілка вулиця                                                                    	вулиця А. Стрілка
А.Кухара вулиця                                                                      	вулиця А. Кухара
А.Шептицького вулиця                                                                 	вулиця А. Шептицького
Августина Волошина вулиця                                                            	вулиця Августина Волошина
Аврори провулок                                                                      	провулок Аврори
Авіаторів вулиця                                                                     	вулиця Авіаторів
Адама Яхієва вулиця                                                                  	вулиця Адама Яхієва
Адріана Баранецького вулиця                                                          	вулиця Адріана Баранецького
Аедромна вулиця                                                                      	Аеродромна вулиця
Академіка Герасимчука вулиця                                                         	вулиця Академіка Герасимчука
Академіка Герасимчука провулок                                                       	провулок Академіка Герасимчука
Академіка Заболотного вулиця                                                         	вулиця Академіка Заболотного
Академіка Заболотного провулок                                                       	провулок Академіка Заболотного
Академіка Кримського вулиця                                                          	вулиця Академіка Кримського
Академіка Курчатова вулиця                                                           	вулиця Академіка Курчатова
Амосова вулиця                                                                       	вулиця Амосова
Анатолія Кушніра вулиця                                                              	вулиця Анатолія Кушніра
Анатолія Луначарського вулиця                                                        	вулиця Анатолія Луначарського
Анатолія Романчука вулиця                                                            	вулиця Анатолія Романчука
Анджея Стельмаховського вулиця                                                       	вулиця Анджея Стельмаховського
Андрея Шептицького вулиця                                                            	вулиця Андрея Шептицького
Андрея Шептицького провулок                                                          	провулок Андрея Шептицького
Андріюка Євгена вулиця                                                               	вулиця Євгена Андріюка
Андрія Височинського вулиця                                                          	вулиця Андрія Височинського
Андрія Молодики вулиця                                                               	вулиця Андрія Молодики
Андрія Молодики провулок                                                             	провулок Андрія Молодики
Анни Нісензон вулиця                                                                 	вулиця Анни Нісензон
Антона Гевака вулиця                                                                 	вулиця Антона Гевака
Антона Соколи вулиця                                                                 	вулиця Антона Соколи
Антона Чехова вулиця                                                                 	вулиця Антона Чехова
Антоненка-Давидовича вулиця                                                          	вулиця Антоненка-Давидовича
Антонова вулиця                                                                      	вулиця Антонова
Антонова провулок                                                                    	провулок Антонова
Антоновича вулиця                                                                    	вулиця Антоновича
Антонової вулиця                                                                     	вулиця Антонової
Ані Сошенської вулиця                                                                	вулиця Ані Сошенської
Аркадія Гайдара провулок                                                             	провулок Аркадія Гайдара
Арсенія Сатанівського вулиця                                                         	вулиця Арсенія Сатанівського
Артема вулиця                                                                        	вулиця Артема
Артема провулок                                                                      	провулок Артема
Артемовського вулиця                                                                 	вулиця Артемовського
Атамана вулиця                                                                       	вулиця Атамана
Атерлея провулок                                                                     	провулок Атерлея
Афанасія Коляновського вулиця                                                        	вулиця Афанасія Коляновського
Афоніна вулиця                                                                       	вулиця Афоніна
Б'єжика вулиця                                                                       	вулиця Бʼєжика
Б. Хмельницького вулиця                                                              	вулиця Б. Хмельницького
Б.Пожарських вулиця                                                                  	вулиця Б. Пожарських
Б.Хмельницького вулиця                                                               	вулиця Б. Хмельницького
Баал-Шем-Това вулиця                                                                 	вулиця Баал-Шем-Това
Багряного вулиця                                                                     	вулиця Багряного
Багряного провулок                                                                   	провулок Багряного
Бажана вулиця                                                                        	вулиця Бажана
Базарна Площа вулиця                                                                 	вулиця Базарна Площа
Байдукова вулиця                                                                     	вулиця Байдукова
Балашова провулок                                                                    	провулок Балашова
Баранова вулиця                                                                      	вулиця Баранова
Барановича вулиця                                                                    	вулиця Барановича
Барнича Ярослава вулиця                                                              	вулиця Ярослава Барнича
Барського вулиця                                                                     	вулиця Барського
Батурко вулиця                                                                       	вулиця Батурко
Батьківщина вулиця                                                                   	вулиця Батьківщина
Батіг вулиця                                                                         	вулиця Батіг
Баумана вулиця                                                                       	вулиця Баумана
Бачинського вулиця                                                                   	вулиця Бачинського
Баюка вулиця                                                                         	вулиця Баюка
Бегми вулиця                                                                         	вулиця Бегми
Бежика вулиця                                                                        	вулиця Бежика
Белавіна вулиця                                                                      	вулиця Белавіна
Беляєва вулиця                                                                       	вулиця Беляєва
Белінського вулиця                                                                   	вулиця Белінського
Белінського провулок                                                                 	провулок Белінського
Берегового вулиця                                                                    	вулиця Берегового
Березина вулиця                                                                      	вулиця Березина
Березина провулок                                                                    	провулок Березина
Беркути вулиця                                                                       	вулиця Беркути
Биковського вулиця                                                                   	вулиця Биковського
Богдана Ліщинського вулиця                                                           	вулиця Богдана Ліщинського
Богдана Хмельницького вулиця                                                         	вулиця Богдана Хмельницького
Богдана Хмельницького провулок                                                       	провулок Богдана Хмельницького
Богуна Івана вулиця                                                                  	вулиця Івана Богуна
Богуна Івана провулок                                                                	провулок Івана Богуна
Богуна вулиця                                                                        	вулиця Богуна
Богуслаєва вулиця                                                                    	вулиця Богуслаєва
Богінського провулок                                                                 	провулок Богінського
Боженка вулиця                                                                       	вулиця Боженка
Боженка провулок                                                                     	провулок Боженка
Бойчука вулиця                                                                       	вулиця Бойчука
Бокова вулиця                                                                        	вулиця Бокова
Болбочана вулиця                                                                     	вулиця Болбочана
Болбочана провулок                                                                   	провулок Болбочана
Болеслава Войтовича вулиця                                                           	вулиця Болеслава Войтовича
Болеслава Войтовича провулок                                                         	провулок Болеслава Войтовича
Бондарчука вулиця                                                                    	вулиця Бондарчука
Бондарчука провулок                                                                  	провулок Бондарчука
Бориса Оріха вулиця                                                                  	вулиця Бориса Оріха
Борлуцького провулок                                                                 	провулок Борлуцького
Бортника вулиця                                                                      	вулиця Бортника
Бортнянського Дмитра провулок                                                        	провулок Дмитра Бортнянського
Бортнянського вулиця                                                                 	вулиця Бортнянського
Бортнянського провулок                                                               	провулок Бортнянського
Братів Івасюків вулиця                                                               	вулиця Братів Івасюків
Братів Ковеневих вулиця                                                              	вулиця Братів Ковеневих
Братів Рудяків вулиця                                                                	вулиця Братів Рудяків
Братів Сварників вулиця                                                              	вулиця Братів Сварників
Будьонного вулиця                                                                    	вулиця Будьонного
Будівельників вулиця                                                                 	вулиця Будівельників
Будівельників провулок                                                               	провулок Будівельників
Булаєнка вулиця                                                                      	вулиця Булаєнка
Бурачека вулиця                                                                      	вулиця Бурачека
Бурлуцького вулиця                                                                   	вулиця Бурлуцького
Бурлуцького провулок                                                                 	провулок Бурлуцького
Бєгоулєва вулиця                                                                     	вулиця Бєгоулєва
Бєляєва вулиця                                                                       	вулиця Бєляєва
Бєлінського провулок                                                                 	провулок Бєлінського
Біланівська Набережна вулиця                                                         	вулиця Біланівська Набережна
Білаша вулиця                                                                        	вулиця Білаша
Білі кринички вулиця                                                                 	вулиця Білі Кринички
В'ячесдава Слободяна вулиця                                                          	вулиця Вʼячеслава Слободяна
В'ячеслава Чорновола вулиця                                                          	вулиця Вʼячеслава Чорновола
В. Володарського вулиця                                                              	вулиця В. Володарського
В. Котика вулиця                                                                     	вулиця В. Котика
В. Чорновола вулиця                                                                  	вулиця В. Чорновола
В.Кириченко вулиця                                                                   	вулиця В. Кириченко
Вавилова вулиця                                                                      	вулиця Вавилова
Вайсера вулиця                                                                       	вулиця Вайсера
Вакарів вулиця                                                                       	вулиця Вакарів
Валентина Драчука вулиця                                                             	вулиця Валентина Драчука
Валентина Драчука провулок                                                           	провулок Валентина Драчука
Валеріана Куйбишева вулиця                                                           	вулиця Валеріана Куйбишева
Валерія Лобановського вулиця                                                         	вулиця Валерія Лобановського
Валерія Чкалова вулиця                                                               	вулиця Валерія Чкалова
Валерія Чкалова провулок                                                             	провулок Валерія Чкалова
Вали вулиця                                                                          	вулиця Вали
Валі Котик вулиця                                                                    	вулиця Валі Котик
Валі Котика вулиця                                                                   	вулиця Валі Котика
Валі Котика провулок                                                                 	провулок Валі Котика
Ванагса вулиця                                                                       	вулиця Ванагса
Васильєва Дмитра вулиця                                                              	вулиця Дмитра Васильєва
Васильєва вулиця                                                                     	вулиця Васильєва
Василя Вишиваного вулиця                                                             	вулиця Василя Вишиваного
