700-річчя Перегінська вулиця	вулиця 700-річчя Перегінська
Бабинського вулиця	вулиця Бабинського
Бабія вулиця	вулиця Бабія
Багряного вулиця	вулиця Багряного
Бажана вулиця	вулиця Бажана
Байди-Вишневецького вулиця	вулиця Байди-Вишневецького
Бандери вулиця	вулиця Бандери
Барабашів вулиця	вулиця Барабашів
Бариш вулиця	вулиця Бариш
Барнича вулиця	вулиця Барнича
Бачинського вулиця	вулиця Бачинського
Башта вулиця	вулиця Башта
Бащенка вулиця	вулиця Бащенка
Бебеля вулиця	вулиця Бебеля
Беляєва вулиця	вулиця Беляєва
Бенцаля вулиця	вулиця Бенцаля
Берегового вулиця	вулиця Берегового
Бережницького вулиця	вулиця Бережницького
Березена вулиця	вулиця Березена
Березовського вулиця	вулиця Березовського
Беринди вулиця	вулиця Беринди
Біласа і Данилишина вулиця	вулиця Біласа і Данилишина
Білозіра вулиця	вулиця Білозіра
Білозора вулиця	вулиця Білозора
Білоуса вулиця	вулиця Білоуса
Блавацького вулиця	вулиця Блавацького
Блонського вулиця	вулиця Блонського
Бобикевича вулиця	вулиця Бобикевича
Бобинського вулиця	вулиця Бобинського
Богдана Лепкого вулиця	вулиця Богдана Лепкого
Богдана Пелеха вулиця	вулиця Богдана Пелеха
Богдана Хмельницького вулиця	вулиця Богдана Хмельницького
Богдана Хмельницького провулок	провулок Богдана Хмельницького
Богдана-Ігора Антонича вулиця	вулиця Богдана-Ігора Антонича
Богуна вулиця	вулиця Богуна
Боднарука вулиця	вулиця Боднарука
Боднарчука вулиця	вулиця Боднарчука
Бойківчанка вулиця	вулиця Бойківчанка
Бойчука вулиця	вулиця Бойчука
Бори вулиця	вулиця Бори
Бориса Грінченка вулиця	вулиця Бориса Грінченка
Бориса Кудрика вулиця	вулиця Бориса Кудрика
Бортнянського вулиця	вулиця Бортнянського
Борців вулиця	вулиця Борців
Братів Білоусів вулиця	вулиця Братів Білоусів
Братів Бойчуків вулиця	вулиця Братів Бойчуків
Братів Василиків вулиця	вулиця Братів Василиків
Братів Гайдичуків вулиця	вулиця Братів Гайдичуків
Братів Довганюків вулиця	вулиця Братів Довганюків
Братів Дяченків вулиця	вулиця Братів Дяченків
Братів Козаків вулиця	вулиця Братів Козаків
Братів Курилюків вулиця	вулиця Братів Курилюків
Братів Лепких вулиця	вулиця Братів Лепких
Братів Микитюків вулиця	вулиця Братів Микитюків
Братів Михайлининих вулиця	вулиця Братів Михайлининих
Братів Морозевичів вулиця	вулиця Братів Морозевичів
Братів Окуневських вулиця	вулиця Братів Окуневських
Братів Пнівчуків вулиця	вулиця Братів Пнівчуків
Братів Приймаків вулиця	вулиця Братів Приймаків
Братів Фільчинських вулиця	вулиця Братів Фільчинських
Бринського вулиця	вулиця Бринського
Бугая вулиця	вулиця Бугая
Будівельників вулиця	вулиця Будівельників
Будьоного вулиця	вулиця Будьоного
Букатчука вулиця	вулиця Букатчука
В'ячеслава Чорновола вулиця	вулиця Вʼячеслава Чорновола
В'ячеслава Чорновола проспект	проспект Вʼячеслава Чорновола
В’ячеслава Липинського вулиця	вулиця Вʼячеслава Липинського
В’ячеслава Розвадовського вулиця	вулиця Вʼячеслава Розвадовського
В’ячеслава Чорновола вулиця	вулиця Вʼячеслава Чорновола
В’ячеслава Чорновола проспект	проспект Вʼячеслава Чорновола
Вавілова вулиця	вулиця Вавілова
Вагилевича вулиця	вулиця Вагилевича
Вайгеля вулиця	вулиця Вайгеля
Валентини Терешкової вулиця	вулиця Валентини Терешкової
Василіянок вулиця	вулиця Василіянок
Василя Авраменка вулиця	вулиця Василя Авраменка
Василя Андрійчука вулиця	вулиця Василя Андрійчука
Василя Атаманюка вулиця	вулиця Василя Атаманюка
Василя Барвінського вулиця	вулиця Василя Барвінського
Василя Верховинця вулиця	вулиця Василя Верховинця
Василя Вишиваного вулиця	вулиця Василя Вишиваного
Василя Дядинюка вулиця	вулиця Василя Дядинюка
Василя Івасюка вулиця	вулиця Василя Івасюка
Василя Кархута вулиця	вулиця Василя Кархута
Василя Касіяна вулиця	вулиця Василя Касіяна
Василя Костащука вулиця	вулиця Василя Костащука
Василя Матієка вулиця	вулиця Василя Матієка
Василя Міліянчука вулиця	вулиця Василя Міліянчука
Василя Нагірного вулиця	вулиця Василя Нагірного
Василя Петрука вулиця	вулиця Василя Петрука
Василя Симоненка вулиця	вулиця Василя Симоненка
Василя Симчича вулиця	вулиця Василя Симчича
Василя Січка вулиця	вулиця Василя Січка
Василя Сліпака вулиця	вулиця Василя Сліпака
Василя Стефаника вулиця	вулиця Василя Стефаника
Василя Стефаника набережна	набережна Василя Стефаника
Василя Стуса вулиця	вулиця Василя Стуса
Василя Стуса провулок	провулок Василя Стуса
Васкула вулиця	вулиця Васкула
Ватутіна вулиця	вулиця Ватутіна
Веделя вулиця	вулиця Веделя
Ведмежий вулиця	вулиця Ведмежий
Велика Царинка вулиця	вулиця Велика Царинка
Великий Берег вулиця	вулиця Великий Берег
Величковича вулиця	вулиця Величковича
Венгриновича вулиця	вулиця Венгриновича
Вербицького вулиця	вулиця Вербицького
Верещинського вулиця	вулиця Верещинського
Верховинця вулиця	вулиця Верховинця
Верховної Ради вулиця	вулиця Верховної Ради
Веселова вулиця	вулиця Веселова
Веселовського вулиця	вулиця Веселовського
Вигін вулиця	вулиця Вигін
Виговського вулиця	вулиця Виговського
Визволення вулиця	вулиця Визволення
Виксюка вулиця	вулиця Виксюка
Винниця вулиця	вулиця Винниця
Винниченка вулиця	вулиця Винниченка
Височана вулиця	вулиця Височана
Височанка вулиця	вулиця Височанка
Височина вулиця	вулиця Височина
Витвицького вулиця	вулиця Витвицького
Вишенського вулиця	вулиця Вишенського
Відоняка вулиця	вулиця Відоняка
Відродження вулиця	вулиця Відродження
Відродження площа	площа Відродження
Військових Ветеранів вулиця	вулиця Військових Ветеранів
Військових Хірургів вулиця	вулиця Військових Хірургів
Вільна Україна вулиця	вулиця Вільна Україна
Віри Левицької вулиця	вулиця Віри Левицької
Вісконта вулиця	вулиця Вісконта
Віталія Кулінича вулиця	вулиця Віталія Кулінича
Віталія Носкевича вулиця	вулиця Віталія Носкевича
Вітовського вулиця	вулиця Вітовського
Вітовського провулок	провулок Вітовського
Вічевий Майдан вулиця	вулиця Вічевий Майдан
Вічевий Майдан площа	площа Вічевий Майдан
Воєводи Коснятина вулиця	вулиця Воєводи Коснятина
Возз’єднання вулиця	вулиця Воззʼєднання
Воїнів УПА вулиця	вулиця Воїнів УПА
Воїнів-Інтернаціоналістів вулиця	вулиця Воїнів-Інтернаціоналістів
Войтул вулиця	вулиця Войтул
Волі площа	площа Волі
Володимира Антоновича вулиця	вулиця Володимира Антоновича
Володимира Блавацького вулиця	вулиця Володимира Блавацького
Володимира Великого вулиця	вулиця Володимира Великого
Володимира Великого провулок	провулок Володимира Великого
Володимира Вернадського вулиця	вулиця Володимира Вернадського
Володимира Винниченка вулиця	вулиця Володимира Винниченка
Володимира Вінниченка вулиця	вулиця Володимира Вінниченка
Володимира Войцюка вулиця	вулиця Володимира Войцюка
Володимира вулиця	вулиця Володимира
Володимира Гнатюка вулиця	вулиця Володимира Гнатюка
Володимира Івасюка вулиця	вулиця Володимира Івасюка
Володимира Кубійовича вулиця	вулиця Володимира Кубійовича
Володимира Маланюка вулиця	вулиця Володимира Маланюка
Володимира Малкоша вулиця	вулиця Володимира Малкоша
Володимира Манюха вулиця	вулиця Володимира Манюха
Володимира Павлусевича вулиця	вулиця Володимира Павлусевича
Володимира Самійленка вулиця	вулиця Володимира Самійленка
Володимира Сосюри вулиця	вулиця Володимира Сосюри
Володимира Тисовського вулиця	вулиця Володимира Тисовського
Володимира Хроновича вулиця	вулиця Володимира Хроновича
Володимира Яновича вулиця	вулиця Володимира Яновича
Воробкевича вулиця	вулиця Воробкевича
Вороного вулиця	вулиця Вороного
Ворошилова вулиця	вулиця Ворошилова
Вояків УПА вулиця	вулиця Вояків УПА
Врубеля вулиця	вулиця Врубеля
вулиця В'ячеслава Чорновола	вулиця Вʼячеслава Чорновола
Вчительска вулиця	Вчительська вулиця
Вячеслава Чорновола вулиця	вулиця Вʼячеслава Чорновола
Вʼячеслава Чорновола вулиця	вулиця Вʼячеслава Чорновола
Гаврилюка вулиця	вулиця Гаврилюка
Гавуки вулиця	вулиця Гавуки
Гагаріна вулиця	вулиця Гагаріна
Газовиків вулиця	вулиця Газовиків
Гай вулиця	вулиця Гай
Гайдамаків вулиця	вулиця Гайдамаків
Гайдея вулиця	вулиця Гайдея
Гайдея провулок	провулок Гайдея
Гайок вулиця	вулиця Гайок
Галагана вулиця	вулиця Галагана
Галагана провулок	провулок Галагана
Галана вулиця	вулиця Галана
Галечко вулиця	вулиця Галечко
Галицького вулиця	вулиця Галицького
Гамалії вулиця	вулиця Гамалії
Ганни Дерев'янко вулиця	вулиця Ганни Деревʼянко
Ганущака вулиця	вулиця Ганущака
Гарасимова вулиця	вулиця Гарасимова
Гаркуші вулиця	вулиця Гаркуші
Гелевана вулиця	вулиця Гелевана
Генерала Григоренка вулиця	вулиця Генерала Григоренка
Генерала Черняховського вулиця	вулиця Генерала Черняховського
Героїв Бреста вулиця	вулиця Героїв Бреста
Героїв Волновахи вулиця	вулиця Героїв Волновахи
Героїв вулиця	вулиця Героїв
Героїв Євромайдану вулиця	вулиця Героїв Євромайдану
Героїв Києва вулиця	вулиця Героїв Києва
Героїв Крут вулиця	вулиця Героїв Крут
Героїв Майдану вулиця	вулиця Героїв Майдану
Героїв Майдану площа	площа Героїв Майдану
Героїв Маріуполя вулиця	вулиця Героїв Маріуполя
Героїв Миколаєва вулиця	вулиця Героїв Миколаєва
Героїв Небесної Сотні вулиця	вулиця Героїв Небесної Сотні
Героїв ОУН вулиця	вулиця Героїв ОУН
Героїв Охтирки вулиця	вулиця Героїв Охтирки
Героїв площа	площа Героїв
Героїв Попасної вулиця	вулиця Героїв Попасної
Героїв України вулиця	вулиця Героїв України
Героїв УПА вулиця	вулиця Героїв УПА
Героїв Харкова вулиця	вулиця Героїв Харкова
Героїв Херсона вулиця	вулиця Героїв Херсона
Героїв Чернігова вулиця	вулиця Героїв Чернігова
Героїв-Пожежників вулиця	вулиця Героїв-Пожежників
Герцена вулиця	вулиця Герцена
Гетьмана Івана Мазепи вулиця	вулиця Гетьмана Івана Мазепи
Гетьмана Кирила Розумовського вулиця	вулиця Гетьмана Кирила Розумовського
Гетьмана Мазепи вулиця	вулиця Гетьмана Мазепи
Гетьмана Павла Полуботка вулиця	вулиця Гетьмана Павла Полуботка
Гетьмана Петра Дорошенка вулиця	вулиця Гетьмана Петра Дорошенка
Гетьмана Петра Сагайдачного вулиця	вулиця Гетьмана Петра Сагайдачного
Гетьмана Сагайдачного вулиця	вулиця Гетьмана Сагайдачного
Глибокий Кінець вулиця	вулиця Глибокий Кінець
Глинського вулиця	вулиця Глинського
Глібова вулиця	вулиця Глібова
Глінки вулиця	вулиця Глінки
Гната Ковцуняка вулиця	вулиця Гната Ковцуняка
Гната Мартинця вулиця	вулиця Гната Мартинця
Гната Стефаніва вулиця	вулиця Гната Стефаніва
Гната Хоткевича вулиця	вулиця Гната Хоткевича
Гнатюка вулиця	вулиця Гнатюка
Гоголя вулиця	вулиця Гоголя
Голинського вулиця	вулиця Голинського
Головацького вулиця	вулиця Головацького
Голуба вулиця	вулиця Голуба
Гонти вулиця	вулиця Гонти
Гончара вулиця	вулиця Гончара
Гончарівка вулиця	вулиця Гончарівка
Гора вулиця	вулиця Гора
Горбаля вулиця	вулиця Горбаля
Горбачевського вулиця	вулиця Горбачевського
Горби Пролісок вулиця	вулиця Горби Пролісок
Горбок вулиця	вулиця Горбок
Гори вулиця	вулиця Гори
Горішнянка вулиця	вулиця Горішнянка
Городецького вулиця	вулиця Городецького
Городище вулиця	вулиця Городище
Горького вулиця	вулиця Горького
Гостинець вулиця	вулиця Гостинець
Грабівського вулиця	вулиця Грабівського
Грабовського вулиця	вулиця Грабовського
Григора Коссака вулиця	вулиця Григора Коссака
Григора Крука вулиця	вулиця Григора Крука
Григорашівка вулиця	вулиця Григорашівка
Григорія Ількевича вулиця	вулиця Григорія Ількевича
Григорія Коссака вулиця	вулиця Григорія Коссака
Григорія Сковороди вулиця	вулиця Григорія Сковороди
Григорія Ступаря вулиця	вулиця Григорія Ступаря
Григорія Тютюнника вулиця	вулиця Григорія Тютюнника
Грималюк вулиця	вулиця Грималюк
Грималюка вулиця	вулиця Грималюка
Гриневичів вулиця	вулиця Гриневичів
Гринчишина вулиця	вулиця Гринчишина
Гринюка вулиця	вулиця Гринюка
Грицишина вулиця	вулиця Грицишина
Грицулівка вулиця	вулиця Грицулівка
Грицюка вулиця	вулиця Грицюка
Грінченка вулиця	вулиця Грінченка
Грома вулиця	вулиця Грома
Грушевського вулиця	вулиця Грушевського
Груші вулиця	вулиця Груші
Гулака вулиця	вулиця Гулака
Гулака-Артемовського вулиця	вулиця Гулака-Артемовського
Гуменівка вулиця	вулиця Гуменівка
Гуцульського повстання вулиця	вулиця Гуцульського Повстання
Давидюка вулиця	вулиця Давидюка
Далибогова вулиця	вулиця Далибогова
Данила галицького вулиця	вулиця Данила Галицького
Данила Галицького вулиця	вулиця Данила Галицького
Данила Галицького площа	площа Данила Галицького
Данила Нечая вулиця	вулиця Данила Нечая
Данилевського вулиця	вулиця Данилевського
Данилюка вулиця	вулиця Данилюка
Данкевича вулиця	вулиця Данкевича
Дарвіна вулиця	вулиця Дарвіна
Дарії Цвєк вулиця	вулиця Дарії Цвєк
Двір вулиця	вулиця Двір
Двір площа	площа Двір
Дебенка вулиця	вулиця Дебенка
Девдюка вулиця	вулиця Девдюка
Дем’янів Лаз вулиця	вулиця Демʼянів Лаз
Дем’янчука вулиця	вулиця Демʼянчука
Демка вулиця	вулиця Демка
Демчука вулиця	вулиця Демчука
Дениса Січинського вулиця	вулиця Дениса Січинського
Денисівка вулиця	вулиця Денисівка
Джохара Дудаєва вулиця	вулиця Джохара Дудаєва
Дзівінського вулиця	вулиця Дзівінського
Дмитра Бортнянського вулиця	вулиця Дмитра Бортнянського
Дмитра Вітовського вулиця	вулиця Дмитра Вітовського
Дмитра Донцова вулиця	вулиця Дмитра Донцова
Дмитра Николишина вулиця	вулиця Дмитра Николишина
Дмитра Рудика вулиця	вулиця Дмитра Рудика
Дмитра Синяка вулиця	вулиця Дмитра Синяка
Дмитра Циганкова вулиця	вулиця Дмитра Циганкова
Дмитра Яворницького вулиця	вулиця Дмитра Яворницького
Дмитрова вулиця	вулиця Дмитрова
Добролюбова вулиця	вулиця Добролюбова
Довбуша вулиця	вулиця Довбуша
Довбуша провулок	провулок Довбуша
Довбуша Сотенного вулиця	вулиця Довбуша Сотенного
Довганюка вулиця	вулиця Довганюка
Довженка вулиця	вулиця Довженка
Довжинець вулиця	вулиця Довжинець
Доктора Володимира Білозора вулиця	вулиця Доктора Володимира Білозора
Доктора Олександра Козакевича вулиця	вулиця Доктора Олександра Козакевича
Доктора Пирогова вулиця	вулиця Доктора Пирогова
Докучаєва вулиця	вулиця Докучаєва
Долішнянка вулиця	вулиця Долішнянка
Дорошенка вулиця	вулиця Дорошенка
Достоєвського вулиця	вулиця Достоєвського
Драгоманова вулиця	вулиця Драгоманова
Дрогобича вулиця	вулиця Дрогобича
Друга церковна вулиця	2-га Церковна вулиця
Дружби вулиця	вулиця Дружби
Дубина вулиця	вулиця Дубина
Дубовецького вулиця	вулиця Дубовецького
Дубовиця вулиця	вулиця Дубовиця
Дубок вулиця	вулиця Дубок
Дурбака вулиця	вулиця Дурбака
Дучимінської вулиця	вулиця Дучимінської
Дядинюка вулиця	вулиця Дядинюка
Едельвейсів вулиця	вулиця Едельвейсів
Енергетиків вулиця	вулиця Енергетиків
Євгена Гребінки вулиця	вулиця Євгена Гребінки
Євгена Коновальця вулиця	вулиця Євгена Коновальця
Євгена Мельничука вулиця	вулиця Євгена Мельничука
Євгена Озаркевича вулиця	вулиця Євгена Озаркевича
Євгена Петрушевича вулиця	вулиця Євгена Петрушевича
Євгенія Петрушевича вулиця	вулиця Євгенія Петрушевича
Євстахія Джанджаласа вулиця	вулиця Євстахія Джанджаласа
Євшана вулиця	вулиця Євшана
Єдності площа	площа Єдності
Єсеніна вулиця	вулиця Єсеніна
Єфремова вулиця	вулиця Єфремова
Жаб’євська вулиця	Жабʼєвська вулиця
Жаб’євський Потік вулиця	вулиця Жабʼєвський Потік
Желехівського вулиця	вулиця Желехівського
Жибчина вулиця	вулиця Жибчина
Жолоби вулиця	вулиця Жолоби
За городами вулиця	вулиця За Городами
За Городами вулиця	вулиця За Городами
За двором вулиця	вулиця За Двором
За Парканом урочище	урочище За Парканом
Заболотного вулиця	вулиця Заболотного
Заболоття вулиця	вулиця Заболоття
Завода вулиця	вулиця Завода
Заговда вулиця	вулиця Заговда
Загороднього вулиця	вулиця Загороднього
Загребельки вулиця	вулиця Загребельки
Загребля вулиця	вулиця Загребля
Заклинських вулиця	вулиця Заклинських
Залізняка вулиця	вулиця Залізняка
Замлинівка вулиця	вулиця Замлинівка
Замлинських вулиця	вулиця Замлинських
Замори вулиця	вулиця Замори
Занковецької вулиця	вулиця Занковецької
Заньковецької вулиця	вулиця Заньковецької
Заокіп вулиця	вулиця Заокіп
Зарінок вулиця	вулиця Зарінок
Зачорного вулиця	вулиця Зачорного
Зашкапії вулиця	вулиця Зашкапії
Зв’язкова вулиця	Звʼязкова вулиця
Згари вулиця	вулиця Згари
Здоров'я вулиця	вулиця Здоровʼя
Зелена Долина вулиця	вулиця Зелена Долина
Зеновія Красівського вулиця	вулиця Зеновія Красівського
Зеновія Човгана вулиця	вулиця Зеновія Човгана
Зіньковецької вулиця	вулиця Зіньковецької
Злуки вулиця	вулиця Злуки
Зузука вулиця	вулиця Зузука
Івана Богуна вулиця	вулиця Івана Богуна
Івана Богуна провулок	провулок Івана Богуна
Івана Бодруга вулиця	вулиця Івана Бодруга
Івана Борковського вулиця	вулиця Івана Борковського
Івана Вавшківа вулиця	вулиця Івана Вавшківа
Івана Вагилевича вулиця	вулиця Івана Вагилевича
Івана Виговського вулиця	вулиця Івана Виговського
Івана Вишенського вулиця	вулиця Івана Вишенського
Івана Гонти вулиця	вулиця Івана Гонти
Івана Гонти провулок	провулок Івана Гонти
Івана Демушки вулиця	вулиця Івана Демушки
Івана Драча вулиця	вулиця Івана Драча
Івана Іскри вулиця	вулиця Івана Іскри
Івана Карпенка-Карого вулиця	вулиця Івана Карпенка-Карого
Івана Котлярвського вулиця	вулиця Івана Котляревського
Івана Котляревського вулиця	вулиця Івана Котляревського
Івана Кривого вулиця	вулиця Івана Кривого
Івана Крип’якевича вулиця	вулиця Івана Крипʼякевича
Івана Куровця вулиця	вулиця Івана Куровця
Івана Левинського вулиця	вулиця Івана Левинського
Івана Мазепи вулиця	вулиця Івана Мазепи
Івана Мазепи провулок	провулок Івана Мазепи
Івана Майданського вулиця	вулиця Івана Майданського
Івана Макуха вулиця	вулиця Івана Макуха
Івана Матлюка вулиця	вулиця Івана Матлюка
Івана Миколайчука вулиця	вулиця Івана Миколайчука
Івана Мирона вулиця	вулиця Івана Мирона
Івана Мічуріна вулиця	вулиця Івана Мічуріна
Івана Мухи вулиця	вулиця Івана Мухи
Івана Нечуя-Левицького вулиця	вулиця Івана Нечуя-Левицького
Івана Новодворського вулиця	вулиця Івана Новодворського
Івана Огієнка вулиця	вулиця Івана Огієнка
Івана Озаркевича вулиця	вулиця Івана Озаркевича
Івана Ощипка вулиця	вулиця Івана Ощипка
Івана Павла II вулиця	вулиця Івана Павла II
Івана Паторжинського вулиця	вулиця Івана Паторжинського
Івана Петраша вулиця	вулиця Івана Петраша
Івана Підкови вулиця	вулиця Івана Підкови
Івана Підкови провулок	провулок Івана Підкови
Івана Пулюя вулиця	вулиця Івана Пулюя
Івана Рубчака вулиця	вулиця Івана Рубчака
Івана Сапіжака вулиця	вулиця Івана Сапіжака
Івана Сірка вулиця	вулиця Івана Сірка
Івана Ткачука вулиця	вулиця Івана Ткачука
Івана Труша вулиця	вулиця Івана Труша
Івана Федика вулиця	вулиця Івана Федика
Івана Франка вулиця	вулиця Івана Франка
Івана Франка площа	площа Івана Франка
Івана Франка провулок	провулок Івана Франка
Івана Чав’яка вулиця	вулиця Івана Чавʼяка
Івана Чупрея вулиця	вулиця Івана Чупрея
Івана Шарлая вулиця	вулиця Івана Шарлая
Іваника вулиця	вулиця Іваника
Іванцева вулиця	вулиця Іванцева
Іванціва вулиця	вулиця Іванціва
Івасюка вулиця	вулиця Івасюка
Ігора Білозіра вулиця	вулиця Ігора Білозіра
Ігоря Білозіра вулиця	вулиця Ігоря Білозіра
Іллі Рєпіна вулиця	вулиця Іллі Рєпіна
Ірини Вільде вулиця	вулиця Ірини Вільде
Ірчана вулиця	вулиця Ірчана
Ірчана провулок	провулок Ірчана
Йосафата Кобринського вулиця	вулиця Йосафата Кобринського
Йосипа Гірняка вулиця	вулиця Йосипа Гірняка
Йосипа Сліпого вулиця	вулиця Йосипа Сліпого
Йосипа Стадника вулиця	вулиця Йосипа Стадника
Йосифа Сліпого вулиця	вулиця Йосифа Сліпого
Каденюка вулиця	вулиця Каденюка
Калина вулиця	вулиця Калина
Калініна вулиця	вулиця Калініна
Калнишевського вулиця	вулиця Калнишевського
Калуське Шосе вулиця	вулиця Калуське Шосе
Кам'яниста вулиця	Камʼяниста вулиця
Кам'янка вулиця	вулиця Камʼянка
Кам’янецька вулиця	Камʼянецька вулиця
Кам’яниста вулиця	Камʼяниста вулиця
Кам’янка вулиця	вулиця Камʼянка
Кам’янка провулок	провулок Камʼянка
Каменець вулиця	вулиця Каменець
Каменярів вулиця	вулиця Каменярів
Каракая вулиця	вулиця Каракая
Кардашівка вулиця	вулиця Кардашівка
Кардинала Йосифа Сліпого вулиця	вулиця Кардинала Йосифа Сліпого
Кардинала Любачівського вулиця	вулиця Кардинала Любачівського
Кардинала Любомира Гузара вулиця	вулиця Кардинала Любомира Гузара
Карла Вишневського вулиця	вулиця Карла Вишневського
Кармалюка вулиця	вулиця Кармалюка
Карманського вулиця	вулиця Карманського
Кармелюка вулиця	вулиця Кармелюка
Карпатської Січі вулиця	вулиця Карпатської Січі
Карпенка-Карого вулиця	вулиця Карпенка-Карого
Карпенко-Карого вулиця	вулиця Карпенко-Карого
Кархута вулиця	вулиця Кархута
Касіяна вулиця	вулиця Касіяна
Катерини Зарицької вулиця	вулиця Катерини Зарицької
Каштанів вулиця	вулиця Каштанів
Квітки-Основ’яненка вулиця	вулиця Квітки-Основʼяненка
Керамиків вулиця	вулиця Керамиків
Кибальчича вулиця	вулиця Кибальчича
Кирила Блонського вулиця	вулиця Кирила Блонського
Кирила Стеценка вулиця	вулиця Кирила Стеценка
Кирила Трильовського вулиця	вулиця Кирила Трильовського
Кисилевської вулиця	вулиця Кисилевської
Кіндрата вулиця	вулиця Кіндрата
Климпуші вулиця	вулиця Климпуші
Княгинин вулиця	вулиця Княгинин
Княгиницького вулиця	вулиця Княгиницького
Княгині Ольги вулиця	вулиця Княгині Ольги
Князя Володимира вулиця	вулиця Князя Володимира
Князя Лева вулиця	вулиця Князя Лева
Князя Осьмомисла вулиця	вулиця Князя Осьмомисла
Князя Святослава вулиця	вулиця Князя Святослава
Кобзаря вулиця	вулиця Кобзаря
Кобиляка вулиця	вулиця Кобиляка
Кобилянського вулиця	вулиця Кобилянського
Кобилянської вулиця	вулиця Кобилянської
Кобринських вулиця	вулиця Кобринських
Кобринського вулиця	вулиця Кобринського
Кобринської вулиця	вулиця Кобринської
Ковалева вулиця	вулиця Ковалева
