1-а Бузкова вулиця	1-ша Бузкова вулиця
2-а Вітовська вулиця	2-га Вітовська вулиця
2-а Водоп’янова вулиця	2-га вулиця Водопʼянова
2-а Воєнна вулиця	2-га Воєнна вулиця
2-а Горіхова вулиця	2-га Горіхова вулиця
2-а Горська вулиця	2-га Горська вулиця
2-а Дамбова вулиця	2-га Дамбова вулиця
2-а Ентузіастів вулиця	2-га вулиця Ентузіастів
2-а Кальчик вулиця	2-га вулиця Кальчик
2-а Кордівка вулиця	2-га вулиця Кордівка
2-а Крейдова вулиця	2-га Крейдова вулиця
2-а Левада вулиця	2-га вулиця Левада
2-а лінія вулиця	вулиця 2-га Лінія
2-а Лінія вулиця	вулиця 2-га Лінія
2-а Лугова вулиця	2-га Лугова вулиця
2-а Мурейки вулиця	2-га вулиця Мурейки
2-а Нова вулиця	2-га Нова вулиця
2-а Новоселівка вулиця	2-га вулиця Новоселівка
2-а Олександрівка вулиця	2-га вулиця Олександрівка
2-а Паланська вулиця	2-га Паланська вулиця
2-а Переселенці вулиця	2-га вулиця Переселенці
2-а Повздовжня вулиця	2-га Повздовжня вулиця
2-а Промислова вулиця	2-га Промислова вулиця
2-а Річкова вулиця	2-га Річкова вулиця
2-а Склотарна вулиця	2-га Склотарна вулиця
2-а Сортовипробувальна вулиця	2-га Сортовипробувальна вулиця
2-а Степова вулиця	2-га Степова вулиця
2-а Товщ вулиця	2-га вулиця Товщ
20-а Лінія вулиця	вулиця 20-та Лінія
21-а Лінія вулиця	вулиця 21-ша Лінія
22-а Лінія вулиця	вулиця 22-га Лінія
23-а Лінія вулиця	вулиця 23-тя Лінія
24-а Лінія вулиця	вулиця 24-та Лінія
25-а Лінія вулиця	вулиця 25-та Лінія
26-а Лінія вулиця	вулиця 26-та Лінія
27-а Лінія вулиця	вулиця 27-ма Лінія
28-а Лінія вулиця	вулиця 28-ма Лінія
29-а лінія вулиця	вулиця 29-та Лінія
29-а Лінія вулиця	вулиця 29-та Лінія
3-а лінія вулиця	вулиця 3-тя Лінія
3-а Лінія вулиця	вулиця 3-тя Лінія
30-а лінія вулиця	вулиця 30-та Лінія
30-а Лінія вулиця	вулиця 30-та Лінія
31-а лінія вулиця	вулиця 31-ша Лінія
31-а Лінія вулиця	вулиця 31-ша Лінія
32-а лінія вулиця	вулиця 32-га Лінія
32-а Лінія вулиця	вулиця 32-га Лінія
34-а Лінія вулиця	вулиця 34-та Лінія
35-а Лінія вулиця	вулиця 35-та Лінія
36-а Лінія вулиця	вулиця 36-та Лінія
37-а Лінія вулиця	вулиця 37-ма Лінія
38-а Лінія вулиця	вулиця 38-ма Лінія
39-а Лінія вулиця	вулиця 39-та Лінія
4-а Алея вулиця	вулиця 4-та Алея
4-а Віли вулиця	4-та вулиця Віли
4-а Вірьовчина вулиця	4-та Вірьовчина вулиця
4-а Горіхова вулиця	4-та Горіхова вулиця
4-а Ентузіастів вулиця	4-та Ентузіастів вулиця
4-а лінія вулиця	4-та лінія вулиця
4-а Лінія вулиця	4-та Лінія вулиця
4-а Лугова вулиця	4-та Лугова вулиця
4-а Нова вулиця	4-та Нова вулиця
4-а Повздовжня вулиця	4-та Повздовжня вулиця
4-а Річкова вулиця	4-та Річкова вулиця
4-а Степова вулиця	4-та Степова вулиця
40-а Лінія вулиця	вулиця 40-ва Лінія
5-а Алея вулиця	вулиця 5-та Алея
5-а Віли вулиця	5-та вулиця Віли
5-а Вірьовчина вулиця	5-та Вірьовчина вулиця
5-а Вітовська вулиця	5-та Вітовська вулиця
5-а Воєнна вулиця	5-та Воєнна вулиця
5-а Ентузіастів вулиця	5-та вулиця Ентузіастів
5-а лінія вулиця	вулиця 5-та Лінія
5-а Лінія вулиця	вулиця 5-та Лінія
5-а Лінія провулок	провулок 5-та Лінія
5-а Лугова вулиця	5-та Лугова вулиця
5-а Олександрівка вулиця	5-та вулиця Олександрівка
5-а Річкова вулиця	5-та Річкова вулиця
5-а Січова вулиця	5-та Січова вулиця
5-а Степова вулиця	5-та Степова вулиця
6-а Віли вулиця	6-та вулиця Віли
6-а Вірьовчина вулиця	6-та Вірьовчина вулиця
6-а Вітовська вулиця	6-та Вітовська вулиця
6-а Воєнна вулиця	6-та Воєнна вулиця
6-а Ентузіастів вулиця	6-та вулиця Ентузіастів
6-а лінія вулиця	вулиця 6-та Лінія
6-а Лінія вулиця	вулиця 6-та Лінія
6-а Лугова вулиця	6-та Лугова вулиця
6-а Олександрівка вулиця	6-та вулиця Олександрівка
6-а Річкова вулиця	6-та Річкова вулиця
6-а Степова вулиця	6-та Степова вулиця
7-а Віли вулиця	7-ма вулиця Віли
7-а Вірьовчина вулиця	7-ма Вірьовчина вулиця
7-а Ентузіастів вулиця	7-ма вулиця Ентузіастів
7-а лінія вулиця	вулиця 7-ма Лінія
7-а Лінія вулиця	вулиця 7-ма Лінія
7-а Лугова вулиця	7-ма Лугова вулиця
7-а Олександрівка вулиця	7-ма вулиця Олександрівка
7-а Річкова вулиця	7-ма Річкова вулиця
7-а Степова вулиця	7-ма Степова вулиця
8-а Віли вулиця	8-ма вулиця Віли
8-а Вірьовчина вулиця	8-ма Вірьовчина вулиця
8-а Воєнна вулиця	8-ма Воєнна вулиця
8-а Ентузіастів вулиця	8-ма вулиця Ентузіастів
8-а лінія вулиця	8-ма вулиця Лінія
8-а Лінія вулиця	8-ма вулиця Лінія
8-а Лугова вулиця	8-ма Лугова вулиця
8-а Олександрівка вулиця	8-ма вулиця Олександрівка
8-а Річкова вулиця	8-ма Річкова вулиця
8-а Степова вулиця	8-ма Степова вулиця
9-а Воєнна вулиця	9-та Воєнна вулиця
9-а Ентузіастів вулиця	9-та вулиця Ентузіастів
9-а Лінія вулиця	вулиця 9-та Лінія
9-а Лугова вулиця	9-та Лугова вулиця
9-а Олександрівка вулиця	9-та вулиця Олександрівка
9-а Степова вулиця	9-та Степова вулиця
