1-а Матросова вулиця	1-ша Матросова вулиця
1-й Карбишева провулок	1-й Карбишева провулок
1-й Карбишева проїзд	1-й Карбишева проїзд
1-й Кармелюка провулок	1-й Кармелюка провулок
1-й Кибальчича провулок	1-й Кибальчича провулок
1-й Кірова провулок	1-й Кірова провулок
1-й Ковпака провулок	1-й Ковпака провулок
1-й Комарова провулок	1-й Комарова провулок
1-й Коновальця провулок	1-й Коновальця провулок
1-й Короленка провулок	1-й Короленка провулок
1-й Корольова провулок	1-й Корольова провулок
1-й Котляревського провулок	1-й Котляревського провулок
1-й Коцюбинського провулок	1-й Коцюбинського провулок
1-й Кривоноса провулок	1-й Кривоноса провулок
1-й Крилова в’їзд	1-й Крилова вʼїзд
1-й Крилова провулок	1-й Крилова провулок
1-й Кропоткіна провулок	1-й Кропоткіна провулок
1-й Купайла проїзд	1-й Купайла проїзд
1-й Кутузова провулок	1-й Кутузова провулок
1-й Кушніра провулок	1-й Кушніра провулок
1-й Леніна провулок	1-й Леніна провулок
1-й Леонтовича провулок	1-й Леонтовича провулок
1-й Лермонтова провулок	1-й Лермонтова провулок
1-й Лермонтова тупик	1-й Лермонтова тупик
1-й Лисенка провулок	1-й Лисенка провулок
1-й Литвиненка провулок	1-й Литвиненка провулок
1-й Литвиненка тупик	1-й Литвиненка тупик
1-й Ломоносова провулок	1-й Ломоносова провулок
1-й Мазепи провулок	1-й Мазепи провулок
1-й Макаренка провулок	1-й Макаренка провулок
1-й Макаренка проїзд	1-й Макаренка проїзд
1-й Максимовича проїзд	1-й Максимовича проїзд
1-й Малюги провулок	1-й Малюги провулок
1-й Мануїльського провулок	1-й Мануїльського провулок
1-й Матросова в'їзд	1-й Матросова вʼїзд
1-й Матросова провулок	1-й Матросова провулок
1-й Маяковського провулок	1-й Маяковського провулок
1-й Мирошниченка провулок	1-й Мирошниченка провулок
1-й Мічуріна в’їзд	1-й Мічуріна вʼїзд
1-й Мічуріна провулок	1-й Мічуріна провулок
1-й Мічуріна тупик	1-й Мічуріна тупик
1-й Міщенка провулок	1-й Міщенка провулок
1-й Москвіна провулок	1-й Москвіна провулок
1-й Нахімова провулок	1-й Нахімова провулок
1-й Нахімова тупик	1-й Нахімова тупик
1-й Некрасова в’їзд	1-й Некрасова вʼїзд
1-й Некрасова провулок	1-й Некрасова провулок
1-й Одоєвського тупик	1-й Одоєвського тупик
1-й Островського провулок	1-й Островського провулок
1-й Павленка провулок	1-й Павленка провулок
1-й Пархоменка провулок	1-й Пархоменка провулок
1-й Пестеля провулок	1-й Пестеля провулок
1-й Петровського в’їзд	1-й Петровського вʼїзд
1-й Петровського провулок	1-й Петровського провулок
1-й Пирогова провулок	1-й Пирогова провулок
1-й Піонтковського провулок	1-й Піонтковського провулок
1-й Покровського провулок	1-й Покровського провулок
1-й Поповича провулок	1-й Поповича провулок
1-й Постишева провулок	1-й Постишева провулок
1-й Постишева проїзд	1-й Постишева проїзд
1-й Пушкіна провулок	1-й Пушкіна провулок
1-й Радищева провулок	1-й Радищева провулок
1-й Рилєєва провулок	1-й Рилєєва провулок
1-й Руданського провулок	1-й Руданського провулок
1-й Сагайдачного провулок	1-й Сагайдачного провулок
1-й Свердлова провулок	1-й Свердлова провулок
1-й Серафимовича провулок	1-й Серафимовича провулок
1-й Сковороди провулок	1-й Сковороди провулок
1-й Степанюка провулок	1-й Степанюка провулок
1-й Стеценка провулок	1-й Стеценка провулок
1-й Суворова провулок	1-й Суворова провулок
1-й Сурикова провулок	1-й Сурикова провулок
1-й Тельмана провулок	1-й Тельмана провулок
1-й Тімірязєва провулок	1-й Тімірязєва провулок
1-й Толстого провулок	1-й Толстого провулок
1-й Толстого тупик	1-й Толстого тупик
1-й Тропініна провулок	1-й Тропініна провулок
1-й Тухачевського провулок	1-й Тухачевського провулок
1-й Ульянова провулок	1-й Ульянова провулок
1-й Ушакова провулок	1-й Ушакова провулок
1-й Ушинського провулок	1-й Ушинського провулок
1-й Франка провулок	1-й Франка провулок
1-й Фурманова провулок	1-й Фурманова провулок
1-й Чайковського провулок	1-й Чайковського провулок
1-й Чапаєва провулок	1-й Чапаєва провулок
1-й Чернишевського провулок	1-й Чернишевського провулок
1-й Черняховського провулок	1-й Черняховського провулок
1-й Черняховського проїзд	1-й Черняховського проїзд
1-й Чехова провулок	1-й Чехова провулок
1-й Чехова проїзд	1-й Чехова проїзд
1-й Чкалова провулок	1-й Чкалова провулок
1-й Чкалова тупик	1-й Чкалова тупик
1-й Шаумяна проїзд	1-й Шаумяна проїзд
1-й Шевченка провулок	1-й Шевченка провулок
1-й Шевченка проїзд	1-й Шевченка проїзд
1-й Шишкіна провулок	1-й Шишкіна провулок
1-й Щорса провулок	1-й Щорса провулок
1-й Щорса тупик	1-й Щорса тупик
1-й Ющенка провулок	1-й Ющенка провулок
10-а Абрикосова вулиця	10-а Абрикосова вулиця
11-а Абрикосова вулиця	11-а Абрикосова вулиця
12-а Абрикосова вулиця	12-а Абрикосова вулиця
2-а Абрикосова вулиця	2-а Абрикосова вулиця
2-а Бабушкіна вулиця	2-а Бабушкіна вулиця
2-а Коцюбинського вулиця	2-а Коцюбинського вулиця
2-а Матросова вулиця	2-а Матросова вулиця
2-а Міська вулиця	2-а Міська вулиця
2-а Новікова вулиця	2-а Новікова вулиця
2-а Ползунова вулиця	2-а Ползунова вулиця
2-а Русакова вулиця	2-а Русакова вулиця
2-а Свердлова вулиця	2-а Свердлова вулиця
2-га Пирогова вулиця	2-га Пирогова вулиця
2-й Айвазовського провулок	2-й Айвазовського провулок
2-й Амундсена провулок	2-й Амундсена провулок
2-й Байрона в’їзд	2-й Байрона вʼїзд
2-й Бестужева провулок	2-й Бестужева провулок
2-й Бєлінського провулок	2-й Бєлінського провулок
2-й Блюхера провулок	2-й Блюхера провулок
2-й Боженка провулок	2-й Боженка провулок
2-й Бойка провулок	2-й Бойка провулок
2-й Будьонного провулок	2-й Будьонного провулок
2-й Ватутіна провулок	2-й Ватутіна провулок
2-й Вишневського провулок	2-й Вишневського провулок
2-й Воровського провулок	2-й Воровського провулок
2-й Воронкова провулок	2-й Воронкова провулок
2-й Ворошилова провулок	2-й Ворошилова провулок
2-й Гагаріна провулок	2-й Гагаріна провулок
2-й Гайдара провулок	2-й Гайдара провулок
2-й Герцена провулок	2-й Герцена провулок
2-й Глазунова провулок	2-й Глазунова провулок
2-й Глінки провулок	2-й Глінки провулок
2-й Гоголя провулок	2-й Гоголя провулок
2-й Гонти провулок	2-й Гонти провулок
2-й Горького провулок	2-й Горького провулок
2-й Грибоєдова провулок	2-й Грибоєдова провулок
2-й Громова провулок	2-й Громова провулок
2-й Грушевського провулок	2-й Грушевського провулок
2-й Димитрова провулок	2-й Димитрова провулок
2-й Довженка провулок	2-й Довженка провулок
2-й Докучаєва проїзд	2-й Докучаєва проїзд
2-й Дубініна провулок	2-й Дубініна провулок
2-й Дунаєвського провулок	2-й Дунаєвського провулок
2-й Дундича провулок	2-й Дундича провулок
2-й Енгельса провулок	2-й Енгельса провулок
2-й Жукова провулок	2-й Жукова провулок
2-й Задніпровського провулок	2-й Задніпровського провулок
2-й Захарченка провулок	2-й Захарченка провулок
2-й Зелінського провулок	2-й Зелінського провулок
2-й Іванова провулок	2-й Іванова провулок
2-й Калініна провулок	2-й Калініна провулок
2-й Карбишева провулок	2-й Карбишева провулок
2-й Карбишева проїзд	2-й Карбишева проїзд
2-й Кармелюка провулок	2-й Кармелюка провулок
2-й Кірова провулок	2-й Кірова провулок
2-й Ковпака провулок	2-й Ковпака провулок
2-й Комарова провулок	2-й Комарова провулок
2-й Коновальця провулок	2-й Коновальця провулок
2-й Корнєва провулок	2-й Корнєва провулок
2-й Короленка провулок	2-й Короленка провулок
2-й Корольова провулок	2-й Корольова провулок
2-й Котляревського провулок	2-й Котляревського провулок
2-й Коцюбинського провулок	2-й Коцюбинського провулок
2-й Кривоноса провулок	2-й Кривоноса провулок
2-й Крилова в’їзд	2-й Крилова вʼїзд
2-й Крилова провулок	2-й Крилова провулок
2-й Купайла проїзд	2-й Купайла проїзд
2-й Кутузова провулок	2-й Кутузова провулок
2-й Леніна провулок	2-й Леніна провулок
2-й Лермонтова провулок	2-й Лермонтова провулок
2-й Лермонтова тупик	2-й Лермонтова тупик
2-й Лисенка провулок	2-й Лисенка провулок
2-й Лібкнехта провулок	2-й Лібкнехта провулок
2-й Ломоносова провулок	2-й Ломоносова провулок
2-й Мазепи провулок	2-й Мазепи провулок
2-й Макаренка провулок	2-й Макаренка провулок
2-й Макаренка проїзд	2-й Макаренка проїзд
2-й Максимовича проїзд	2-й Максимовича проїзд
2-й Мануїльського провулок	2-й Мануїльського провулок
2-й Матросова в'їзд	2-й Матросова вʼїзд
2-й Матросова провулок	2-й Матросова провулок
2-й Маяковського провулок	2-й Маяковського провулок
2-й Мічуріна в’їзд	2-й Мічуріна вʼїзд
2-й Мічуріна провулок	2-й Мічуріна провулок
2-й Мічуріна тупик	2-й Мічуріна тупик
2-й Москвіна провулок	2-й Москвіна провулок
2-й Нахімова провулок	2-й Нахімова провулок
2-й Нахімова тупик	2-й Нахімова тупик
2-й Некрасова провулок	2-й Некрасова провулок
2-й О.Теліги провулок	2-й О.Теліги провулок
2-й Одоєвського тупик	2-й Одоєвського тупик
2-й Островського провулок	2-й Островського провулок
2-й Павленка проїзд	2-й Павленка проїзд
2-й Пархоменка провулок	2-й Пархоменка провулок
2-й Пестеля провулок	2-й Пестеля провулок
2-й Петровського в’їзд	2-й Петровського вʼїзд
2-й Петровського провулок	2-й Петровського провулок
2-й Пирогова провулок	2-й Пирогова провулок
2-й Піонтковського провулок	2-й Піонтковського провулок
2-й Постишева провулок	2-й Постишева провулок
2-й Постишева проїзд	2-й Постишева проїзд
2-й Пушкіна провулок	2-й Пушкіна провулок
2-й Радищева провулок	2-й Радищева провулок
2-й Рєпіна провулок	2-й Рєпіна провулок
2-й Рилєєва провулок	2-й Рилєєва провулок
2-й Римського-Корсакова провулок	2-й Римського-Корсакова провулок
2-й Сагайдачного провулок	2-й Сагайдачного провулок
2-й Саєнка провулок	2-й Саєнка провулок
2-й Свердлова провулок	2-й Свердлова провулок
2-й Серафимовича провулок	2-й Серафимовича провулок
2-й Сковороди провулок	2-й Сковороди провулок
2-й Станіславського провулок	2-й Станіславського провулок
2-й Степанюка провулок	2-й Степанюка провулок
2-й Стеценка провулок	2-й Стеценка провулок
2-й Суворова провулок	2-й Суворова провулок
2-й Тельмана провулок	2-й Тельмана провулок
2-й Тімірязєва провулок	2-й Тімірязєва провулок
2-й Толстого провулок	2-й Толстого провулок
2-й Тропініна провулок	2-й Тропініна провулок
2-й Тухачевського провулок	2-й Тухачевського провулок
2-й Ульянова провулок	2-й Ульянова провулок
2-й Ушакова провулок	2-й Ушакова провулок
2-й Ушинського провулок	2-й Ушинського провулок
2-й Федьковича провулок	2-й Федьковича провулок
2-й Франка провулок	2-й Франка провулок
2-й Франка тупик	2-й Франка тупик
2-й Фурманова провулок	2-й Фурманова провулок
2-й Цюрупи провулок	2-й Цюрупи провулок
2-й Чайковського провулок	2-й Чайковського провулок
2-й Чапаєва провулок	2-й Чапаєва провулок
2-й Черняховського провулок	2-й Черняховського провулок
2-й Черняховського проїзд	2-й Черняховського проїзд
2-й Чехова провулок	2-й Чехова провулок
2-й Чехова проїзд	2-й Чехова проїзд
2-й Чкалова провулок	2-й Чкалова провулок
2-й Чкалова тупик	2-й Чкалова тупик
2-й Шаумяна проїзд	2-й Шаумяна проїзд
2-й Шевченка провулок	2-й Шевченка провулок
2-й Шишкіна провулок	2-й Шишкіна провулок
2-й Шолохова провулок	2-й Шолохова провулок
2-й Щорса провулок	2-й Щорса провулок
2-й Щорса тупик	2-й Щорса тупик
2-тий Сагайдачного провулок	2-тий Сагайдачного провулок
200-річчя Шевченка вулиця	200-річчя Шевченка вулиця
200-річчя Шевченка провулок	200-річчя Шевченка провулок
3-ая Пирогова вулиця	3-ая Пирогова вулиця
3-й Амундсена провулок	3-й Амундсена провулок
3-й Бєлінського провулок	3-й Бєлінського провулок
3-й Блюхера провулок	3-й Блюхера провулок
3-й Боженка провулок	3-й Боженка провулок
3-й Бойка провулок	3-й Бойка провулок
3-й Вишневського провулок	3-й Вишневського провулок
3-й Ворошилова провулок	3-й Ворошилова провулок
3-й Гагаріна провулок	3-й Гагаріна провулок
3-й Глінки провулок	3-й Глінки провулок
3-й Гоголя провулок	3-й Гоголя провулок
3-й Горького провулок	3-й Горького провулок
3-й Грушевського провулок	3-й Грушевського провулок
3-й Дунаєвського провулок	3-й Дунаєвського провулок
3-й Дундича провулок	3-й Дундича провулок
3-й Енгельса провулок	3-й Енгельса провулок
3-й Задніпровського провулок	3-й Задніпровського провулок
3-й Калініна провулок	3-й Калініна провулок
3-й Карбишева провулок	3-й Карбишева провулок
3-й Карбишева проїзд	3-й Карбишева проїзд
3-й Комарова провулок	3-й Комарова провулок
3-й Короленка провулок	3-й Короленка провулок
3-й Кривоноса провулок	3-й Кривоноса провулок
3-й Крилова провулок	3-й Крилова провулок
3-й Купайла проїзд	3-й Купайла проїзд
3-й Лермонтова провулок	3-й Лермонтова провулок
3-й Лермонтова тупик	3-й Лермонтова тупик
3-й Ломоносова провулок	3-й Ломоносова провулок
3-й Максимовича проїзд	3-й Максимовича проїзд
3-й Мануїльського провулок	3-й Мануїльського провулок
3-й Матросова провулок	3-й Матросова провулок
3-й Мічуріна в’їзд	3-й Мічуріна вʼїзд
3-й Мічуріна тупик	3-й Мічуріна тупик
3-й Нахімова провулок	3-й Нахімова провулок
3-й Некрасова провулок	3-й Некрасова провулок
3-й Одоєвського тупик	3-й Одоєвського тупик
3-й Пестеля провулок	3-й Пестеля провулок
3-й Пирогова провулок	3-й Пирогова провулок
3-й Постишева провулок	3-й Постишева провулок
3-й Пушкіна провулок	3-й Пушкіна провулок
3-й Руданського провулок	3-й Руданського провулок
3-й Сагайдачного провулок	3-й Сагайдачного провулок
3-й Серафимовича провулок	3-й Серафимовича провулок
3-й Сковороди провулок	3-й Сковороди провулок
3-й Тимірязєва провулок	3-й Тимірязєва провулок
3-й Тухачевського провулок	3-й Тухачевського провулок
3-й Фурманова провулок	3-й Фурманова провулок
3-й Ціолковського провулок	3-й Ціолковського провулок
3-й Чапаєва провулок	3-й Чапаєва провулок
3-й Черняховського проїзд	3-й Черняховського проїзд
3-й Чехова провулок	3-й Чехова провулок
3-й Чехова проїзд	3-й Чехова проїзд
3-й Чкалова провулок	3-й Чкалова провулок
3-й Чкалова тупик	3-й Чкалова тупик
3-й Шевченка провулок	3-й Шевченка провулок
3-й Шишкіна провулок	3-й Шишкіна провулок
3-й Щорса провулок	3-й Щорса провулок
3-тий Сагайдачного провулок	3-тий Сагайдачного провулок
4-а Абрикосова вулиця	4-а Абрикосова вулиця
4-ий Чкалова тупик	4-ий Чкалова тупик
4-й Бєлінського провулок	4-й Бєлінського провулок
4-й Богуна провулок	4-й Богуна провулок
4-й Бойка провулок	4-й Бойка провулок
4-й Гагаріна провулок	4-й Гагаріна провулок
4-й Гоголя провулок	4-й Гоголя провулок
4-й Козака провулок	4-й Козака провулок
4-й Комарова провулок	4-й Комарова провулок
4-й Лермонтова тупик	4-й Лермонтова тупик
4-й Мануїльського провулок	4-й Мануїльського провулок
4-й Пушкіна провулок	4-й Пушкіна провулок
4-й Руданського провулок	4-й Руданського провулок
4-й Сковороди провулок	4-й Сковороди провулок
4-й Тимірязєва провулок	4-й Тимірязєва провулок
4-й Чапаєва провулок	4-й Чапаєва провулок
4-й Черняховського проїзд	4-й Черняховського проїзд
4-й Чкалова провулок	4-й Чкалова провулок
4-й Щорса провулок	4-й Щорса провулок
4-тий Сагайдачного провулок	4-тий Сагайдачного провулок
5-а Абрикосова вулиця	5-а Абрикосова вулиця
5-й Богуна провулок	5-й Богуна провулок
5-й Гагаріна провулок	5-й Гагаріна провулок
5-й Гоголя провулок	5-й Гоголя провулок
5-й Довженка провулок	5-й Довженка провулок
5-й Комарова провулок	5-й Комарова провулок
5-й Лермонтова тупик	5-й Лермонтова тупик
5-й Тимірязєва провулок	5-й Тимірязєва провулок
5-й Черняховського проїзд	5-й Черняховського проїзд
5-й Щорса провулок	5-й Щорса провулок
6-а Абрикосова вулиця	6-а Абрикосова вулиця
6-й Богуна провулок	6-й Богуна провулок
6-й Гагаріна провулок	6-й Гагаріна провулок
6-й Довженка провулок	6-й Довженка провулок
6-й Черняховського проїзд	6-й Черняховського проїзд
6-й Щорса провулок	6-й Щорса провулок
7-а Абрикосова вулиця	7-а Абрикосова вулиця
7-й Козака провулок	7-й Козака провулок
700-річчя Львова площа	700-річчя Львова площа
750-річчя Горохова вулиця	750-річчя Горохова вулиця
8-а Абрикосова вулиця	8-а Абрикосова вулиця
9-а Абрикосова вулиця	9-а Абрикосова вулиця
900-річчя Буська площа	900-річчя Буська площа
