1 Махнівський провулок	1-й Махнівський провулок
2-й Малоомелянівський провулок	2-й Малоомелянівський провулок
2-й Маршовий провулок	2-й Маршовий провулок
2-й Матеріальний провулок	2-й Матеріальний провулок
2-й Мичуринский тупик	2-й Мичуринский тупик
2-й Налічний провулок	2-й Налічний провулок
2-й Немишлянський в’їзд	2-й Немишлянський вʼїзд
2-й Нижньогиївський в’їзд	2-й Нижньогиївський вʼїзд
2-й Нижньогиївський узвіз	2-й Нижньогиївський узвіз
2-й Нижньодністровський провулок	2-й Нижньодністровський провулок
2-й Нижньосадовий провулок	2-й Нижньосадовий провулок
2-й Низгірецький провулок	2-й Низгірецький провулок
2-й Новогоголівський провулок	2-й Новогоголівський провулок
2-й Новогоголівський проїзд	2-й Новогоголівський проїзд
2-й Новонерубайський провулок	2-й Новонерубайський провулок
2-й Новопівнічний провулок	2-й Новопівнічний провулок
2-й Озаринецький тупик	2-й Озаринецький тупик
2-й Петренківський в’їзд	2-й Петренківський вʼїзд
2-й Петренківський провулок	2-й Петренківський провулок
2-й Петренківський проїзд	2-й Петренківський проїзд
2-й Підгаєцький провулок	2-й Підгаєцький провулок
2-й Пічугінський провулок	2-й Пічугінський провулок
2-й Постниківський провулок	2-й Постниківський провулок
2-й Придунайський провулок	2-й Придунайський провулок
2-й Прирічковий провулок	2-й Прирічковий провулок
2-й проєктний провулок	2-й проєктний провулок
2-й Протипохилий провулок	2-й Протипохилий провулок
2-й Професійний провулок	2-й Професійний провулок
2-й Прудний провулок	2-й Прудний провулок
2-й Рембудівський проїзд	2-й Рембудівський проїзд
2-й Розумовський провулок	2-й Розумовський провулок
2-й Саговський провулок	2-й Саговський провулок
2-й Садово-проїзний провулок	2-й Садово-проїзний провулок
2-й Сирітський провулок	2-й Сирітський провулок
2-й Скляний провулок	2-й Скляний провулок
2-й Скнилівський провулок	2-й Скнилівський провулок
2-й Смоківський провулок	2-й Смоківський провулок
2-й Староверещаківський в’їзд	2-й Староверещаківський вʼїзд
2-й Староруднянський провулок	2-й Староруднянський провулок
2-й Суничний проїзд	2-й Суничний проїзд
2-й Таловий провулок	2-й Таловий провулок
2-й Тираспільський в’їзд	2-й Тираспільський вʼїзд
2-й Тіняковський провулок	2-й Тіняковський провулок
2-й Топорівький провулок	2-й Топорівький провулок
2-й Удайський провулок	2-й Удайський провулок
2-й Февральський провулок	2-й Февральський провулок
2-й Ходорівський провулок	2-й Ходорівський провулок
2-й Чагорський провулок	2-й Чагорський провулок
2-й Шаргородський провулок	2-й Шаргородський провулок
2-й Шатрищанський провулок	2-й Шатрищанський провулок
2-й Ялинівський провулок	2-й Ялинівський провулок
2-й Ярківський провулок	2-й Ярківський провулок
3-й Баглійський провулок	3-й Баглійський провулок
3-й Балтський провулок	3-й Балтський провулок
3-й Барський провулок	3-й Барський провулок
3-й Біробіджанський проїзд	3-й Біробіджанський проїзд
3-й Вапняковий провулок	3-й Вапняковий провулок
3-й Вижницький провулок	3-й Вижницький провулок
3-й Вільський провулок	3-й Вільський провулок
3-й Генетичний провулок	3-й Генетичний провулок
3-й Груньський провулок	3-й Груньський провулок
3-й Заорільський провулок	3-й Заорільський провулок
3-й Канатний провулок	3-й Канатний провулок
3-й Каракульний провулок	3-й Каракульний провулок
3-й Кипарисний провулок	3-й Кипарисний провулок
3-й Книжковецький проїзд	3-й Книжковецький проїзд
3-й Колісниченківський провулок	3-й Колісниченківський провулок
3-й Колонний провулок	3-й Колонний провулок
3-й Котеджний проїзд	3-й Котеджний проїзд
3-й Крошенський провулок	3-й Крошенський провулок
3-й Легпромівський провулок	3-й Легпромівський провулок
3-й Лелеківський провулок	3-й Лелеківський провулок
3-й Магазинний провулок	3-й Магазинний провулок
3-й Малоомелянівський провулок	3-й Малоомелянівський провулок
3-й Налічний провулок	3-й Налічний провулок
3-й Немишлянський в’їзд	3-й Немишлянський вʼїзд
3-й Нижньогиївський узвіз	3-й Нижньогиївський узвіз
3-й Нижньодністровський провулок	3-й Нижньодністровський провулок
3-й Новогоголівський провулок	3-й Новогоголівський провулок
3-й Новонерубайський провулок	3-й Новонерубайський провулок
3-й Петренківський проїзд	3-й Петренківський проїзд
3-й Похилий провулок	3-й Похилий провулок
3-й Придунайський провулок	3-й Придунайський провулок
3-й Прирічковий провулок	3-й Прирічковий провулок
3-й Проектуємий провулок	3-й Проектуємий провулок
3-й Рембудівський проїзд	3-й Рембудівський проїзд
3-й Садово-проїзний провулок	3-й Садово-проїзний провулок
3-й Садовопроїзний провулок	3-й Садовопроїзний провулок
3-й Скляний провулок	3-й Скляний провулок
3-й Скнилівський провулок	3-й Скнилівський провулок
3-й Смоківський проїзд	3-й Смоківський проїзд
3-й Східчастий провулок	3-й Східчастий провулок
3-й Тираспільський в’їзд	3-й Тираспільський вʼїзд
3-й Удайський провулок	3-й Удайський провулок
3-й Уляновський провулок	3-й Уляновський провулок
3-й Хаджибеєвський провулок	3-й Хаджибеєвський провулок
3-й Ходорівський провулок	3-й Ходорівський провулок
3-й Чагорський провулок	3-й Чагорський провулок
3-й Шаргородський провулок	3-й Шаргородський провулок
3-й Шатрищанський провулок	3-й Шатрищанський провулок
4-й Аеропортівський провулок	4-й Аеропортівський провулок
4-й Балтський провулок	4-й Балтський провулок
4-й Біробіджанський проїзд	4-й Біробіджанський проїзд
4-й Вільський провулок	4-й Вільський провулок
4-й Каракульний провулок	4-й Каракульний провулок
4-й Книжковецький проїзд	4-й Книжковецький проїзд
4-й Колеусівський провулок	4-й Колеусівський провулок
4-й Колонний провулок	4-й Колонний провулок
4-й Кошевий провулок	4-й Кошевий провулок
4-й Крошенський провулок	4-й Крошенський провулок
4-й Легпромівський провулок	4-й Легпромівський провулок
4-й Лутугінський проїзд	4-й Лутугінський проїзд
4-й Магазинний провулок	4-й Магазинний провулок
4-й Малоомелянівський провулок	4-й Малоомелянівський провулок
4-й Налічний провулок	4-й Налічний провулок
4-й Нижньогиївський узвіз	4-й Нижньогиївський узвіз
4-й Нижньогієвський спуск	4-й Нижньогієвський спуск
4-й Петренківський проїзд	4-й Петренківський проїзд
4-й Садово-проїзний провулок	4-й Садово-проїзний провулок
4-й Скнилівський провулок	4-й Скнилівський провулок
4-й Тираспільський в’їзд	4-й Тираспільський вʼїзд
4-й Ходорівський провулок	4-й Ходорівський провулок
5-й Аеропортівський провулок	5-й Аеропортівський провулок
5-й Балтський провулок	5-й Балтський провулок
5-й Книжковецький проїзд	5-й Книжковецький проїзд
5-й Колеусівський провулок	5-й Колеусівський провулок
5-й Лутугінський проїзд	5-й Лутугінський проїзд
5-й Магазинний провулок	5-й Магазинний провулок
5-й Малоомелянівський провулок	5-й Малоомелянівський провулок
5-й Налічний провулок	5-й Налічний провулок
5-й Немишлянський в’їзд	5-й Немишлянський вʼїзд
5-й Нижньогиївський узвіз	5-й Нижньогиївський узвіз
5-й Проектуємий провулок	5-й Проектуємий провулок
5-й Садовопроїзний провулок	5-й Садовопроїзний провулок
5-й Скнилівський провулок	5-й Скнилівський провулок
6-й Аеропортівський провулок	6-й Аеропортівський провулок
6-й Балтський провулок	6-й Балтський провулок
6-й Книжковецький проїзд	6-й Книжковецький проїзд
6-й Колеусівський провулок	6-й Колеусівський провулок
6-й Котеджний проїзд	6-й Котеджний проїзд
6-й Лутугінський проїзд	6-й Лутугінський проїзд
6-й Малоомелянівський провулок	6-й Малоомелянівський провулок
6-й Налічний провулок	6-й Налічний провулок
6-й Немишлянський в’їзд	6-й Немишлянський вʼїзд
6-й Нижньогиївський узвіз	6-й Нижньогиївський узвіз
6-й Скнилівський провулок	6-й Скнилівський провулок
7-й Котеджний проїзд	7-й Котеджний проїзд
7-й Лутугінський проїзд	7-й Лутугінський проїзд
7-й Малоомелянівський провулок	7-й Малоомелянівський провулок
7-й Налічний провулок	7-й Налічний провулок
7-й Скнилівський провулок	7-й Скнилівський провулок
8-й Балтський провулок	8-й Балтський провулок
8-й Малоомелянівський провулок	8-й Малоомелянівський провулок
8-й Скнилівський провулок	8-й Скнилівський провулок
9-й Скнилівський провулок	9-й Скнилівський провулок
