Автомобілістів вулиця	вулиця Автомобілістів
Гвардійців Родімцева вулиця	вулиця Гвардійців Родімцева
Гвардійців-Кантемирівців вулиця	вулиця Гвардійців-Кантемирівців
Гвардійців-Широнинців вулиця	вулиця Гвардійців-Широнинців
Гвардійців-Широнінців вулиця	вулиця Гвардійців-Широнінців
Героїв Афганців вулиця	вулиця Героїв Афганців
Героїв Майдану (Борців Революції) площа	площа Героїв Майдану (Борців Революції)
Героїв Панфіловців вулиця	вулиця Героїв Панфіловців
Героїв Танкістів вулиця	вулиця Героїв Танкістів
Героїв Танкістів провулок	провулок Героїв Танкістів
Героїв Холодноярців вулиця	вулиця Героїв Холодноярців
Героїв чорнобильців вулиця	вулиця Героїв Чорнобильців
Героїв-Афганців вулиця	вулиця Героїв-Афганців
Героїв-Афганців провулок	провулок Героїв-Афганців
Героїв-добровольців вулиця	вулиця Героїв-Добровольців
Героїв-партизанів вулиця	вулиця Героїв-Партизанів
Героїв-Танкістів вулиця	вулиця Героїв-Танкістів
Героїв-чорнобильців вулиця	вулиця Героїв-Чорнобильців
Героїв-Чорнобильців вулиця	вулиця Героїв-Чорнобильців
Гімназистів вулиця	вулиця Гімназистів
Гімназистів провулок	провулок Гімназистів
Декабристів в’їзд	вʼїзд Декабристів
Декабристів вул.	вулиця Декабристів
Декабристів вулиця	вулиця Декабристів
Декабристів площа	площа Декабристів
Декабристів провулок	провулок Декабристів
Декабристів тупик	тупик Декабристів
Добровільців провулок	провулок Добровільців
Добровольців вулиця	вулиця Добровольців
Добровольців провулок	провулок Добровольців
Енитузіастів вулиця	вулиця Ентузіастів
Ентузиастів вулиця	вулиця Ентузіастів
Ентузіастів вулиця	вулиця Ентузіастів
Ентузіастів провулок	провулок Ентузіастів
Ентузіастів проспект	проспект Ентузіастів
Ентузiастiв вулиця	вулиця Ентузіастів
Естонських Стрільців вулиця	вулиця Естонських Стрільців
Журналістів вулиця	вулиця Журналістів
Журналістів провулок	провулок Журналістів
Журналістів проспект	проспект Журналістів
Запорожців вулиця	вулиця Запорожців
Зв'язківців провулок	провулок Звʼязківців
Зв’язківців вулиця	вулиця Звʼязківців
Зв’язківців провулок	провулок Звʼязківців
Звʼязківців провулок	провулок Звʼязківців
Інтернаціоналістів вулиця	вулиця Інтернаціоналістів
Капранів провулок	провулок Капранів
Каштанів вулиця	вулиця Каштанів
Козаків-Богданівців вулиця	вулиця Козаків-Богданівців
Козацьких Гетьманів вулиця	вулиця Козацьких Гетьманів
Колективістів вулиця	вулиця Колективістів
Колективістів провулок	провулок Колективістів
Конотопських Партизанів вулиця	вулиця Конотопських Партизанів
Корчагінців вулиця	вулиця Корчагінців
Кравців вулиця	вулиця Кравців
Краєзнавців вулиця	вулиця Краєзнавців
Краснодонців вулиця	вулиця Краснодонців
Краснодонців провулок	провулок Краснодонців
Кузанів вулиця	вулиця Кузанів
Куруців вулиця	вулиця Куруців
Кутлінців вулиця	вулиця Кутлінців
Латиських Стрільців вулиця	вулиця Латиських Стрільців
Латиських Червоних Стрільців вулиця	вулиця Латиських Червоних Стрільців
Лисивців провулок	провулок Лисивців
Лицманів провулок	провулок Лицманів
Лоцманів Казанців провулок	провулок Лоцманів Казанців
Лунінців вулиця	вулиця Лунінців
Машиністів в’їзд	вʼїзд Машиністів
Машиністів вулиця	вулиця Машиністів
Машиністів провулок	провулок Машиністів
Металістів вулиця	вулиця Металістів
Металістів площа	площа Металістів
Металістів провулок	провулок Металістів
Миротворців вулиця	вулиця Миротворців
Миротворців провулок	провулок Миротворців
Мисливців вулиця	вулиця Мисливців
Мічурінців вулиця	вулиця Мічурінців
Молодогвардійців вулиця	вулиця Молодогвардійців
Молодогвардійців провулок	провулок Молодогвардійців
Мордовців тупик	тупик Мордовців
Народних Ополченців вулиця	вулиця Народних Ополченців
Народовольців вулиця	вулиця Народовольців
Народовольців провулок	провулок Народовольців
Натуралістів вулиця	вулиця Натуралістів
Ольшанців вулиця	вулиця Ольшанців
Ополченців провулок	провулок Ополченців
Оптимістів вулиця	вулиця Оптимістів
Орденоносців вулиця	вулиця Орденоносців
Орденоносців провулок	провулок Орденоносців
Отаманів Соколовських вулиця	вулиця Отаманів Соколовських
Отаманів Соколовських провулок	провулок Отаманів Соколовських
Панфіловців вулиця	вулиця Панфіловців
Панфіловців провулок	провулок Панфіловців
Папанінців вулиця	вулиця Папанінців
Папанінців провулок	провулок Папанінців
Парашутистів вулиця	вулиця Парашутистів
Партизанів вулиця	вулиця Партизанів
Партизанів Донбасу вулиця	вулиця Партизанів Донбасу
Переможців вулиця	вулиця Переможців
Переможців провулок	провулок Переможців
Переможців проспект	проспект Переможців
Переселенців вулиця	вулиця Переселенців
Першопрохідців вулиця	вулиця Першопрохідців
Першопрохідців провулок	провулок Першопрохідців
Підприємців вулиця	вулиця Підприємців
Площа Декабристів вулиця	вулиця Площа Декабристів
Повстанців вулиця	вулиця Повстанців
Повстанців УПА вулиця	вулиця Повстанців УПА
Погонців провулок	провулок Погонців
Поліграфістів проїзд	проїзд Поліграфістів
Політбійців вулиця	вулиця Політбійців
Радянських Танкістів вулиця	вулиця Радянських Танкістів
Родини Богомольців вулиця	вулиця Родини Богомольців
Святих Старців вулиця	вулиця Святих Старців
Сєдовців вулиця	вулиця Сєдовців
Сім’ї Шильманів вулиця	вулиця Сімʼї Шильманів
Січових Стільців вулиця	вулиця Січових Стрільців
Січових Стрілців вулиця	вулиця Січових Стрільців
Січових стрільців вулиця	вулиця Січових Стрільців
Січових Стрільців вулиця	вулиця Січових Стрільців
Січових Стрільців майдан	майдан Січових Стрільців
Січових Стрільців площа	площа Січових Стрільців
Січових стрільців провулок	провулок Січових стрільців
Січових Стрільців провулок	провулок Січових Стрільців
Слобожанів вулиця	вулиця Слобожанів
Соколовців вулиця	вулиця Соколовців
Спеціалістів вулиця	вулиця Спеціалістів
Спецiалiстiв вулиця	вулиця Спеціалістів
Страчених Націоналістів вулиця	вулиця Страчених Націоналістів
Танкистів вулиця	вулиця Танкістів
Танкістів вулиця	вулиця Танкістів
Танкістів Кантемирівців вулиця	вулиця Танкістів Кантемирівців
Танкістів площа	площа Танкістів
Танкістів Попових вулиця	вулиця Танкістів Попових
Танкістів провулок	провулок Танкістів
Танкістів-Кантемирівців вулиця	вулиця Танкістів-Кантемирівців
Тершаковців вулиця	вулиця Тершаковців
Тиверців вулиця	вулиця Тиверців
Тимурівців вулиця	вулиця Тимурівців
Тимуровців вулиця	вулиця Тимуровців
Трактористів вулиця	вулиця Трактористів
Трактористів провулок	провулок Трактористів
Туристів вулиця	вулиця Туристів
Туристів провулок	провулок Туристів
Тюльпанів вулиця	вулиця Тюльпанів
Тюльпанів провулок	провулок Тюльпанів
Українських Декабристів вулиця	вулиця Українських Декабристів
Українських Добровольців вулиця	вулиця Українських Добровольців
Українських Повстанців вулиця	вулиця Українських Повстанців
Українських Повстанців провулок	провулок Українських Повстанців
Українських Січових Стрільців вулиця	вулиця Українських Січових Стрільців
Умільців вулиця	вулиця Умільців
Фінансистів вулиця	вулиця Фінансистів
Холодноярців вулиця	вулиця Холодноярців
Хотинських Комсомольців вулиця	вулиця Хотинських Комсомольців
Чекистів вулиця	вулиця Чекистів
Чекістів вулиця	вулиця Чекістів
Чекістів провулок	провулок Чекістів
Челюскінців в’їзд	вʼїзд Челюскінців
Челюскінців вулиця	вулиця Челюскінців
Челюскінців ву́лиця	вулиця Челюскінців
Челюскінців провулок	провулок Челюскінців
Червоних Бійців вулиця	вулиця Червоних Бійців
Червоних партизанів вулиця	вулиця Червоних Партизанів
Червоних Партизанів вулиця	вулиця Червоних Партизанів
Чорних Запоріжців вулиця	вулиця Чорних Запоріжців
Чорних Запорожців вулиця	вулиця Чорних Запорожців
Чорних Запорожців провулок	провулок Чорних Запорожців
Чорнобильців вулиця	вулиця Чорнобильців
Чорноморців вулиця	вулиця Чорноморців
Широнінців вулиця	вулиця Широнінців
