Адмірала Холостякова вулиця	вулиця Адмірала Холостякова
Липовий Яр вулиця	вулиця Липовий Яр
Лікаря Горбурова вулиця	вулиця Лікаря Горбурова
Лісова Бічна вулиця	Бічна Лісова вулиця
Лісова поляна вулиця	вулиця Лісова Поляна
Лісова Просіка вулиця	вулиця Лісова Просіка
Мала Лісова вулиця	Мала Лісова вулиця
Мала Польова вулиця	Мала Польова вулиця
Мала Садова вулиця	Мала Садова вулиця
Малий Садовий провулок	Малий Садовий провулок
Мало Садова вулиця	Мало Садова вулиця
Мало Садовий провулок	Мало Садовий провулок
Мар’яна Каптованця вулиця	вулоиця Марʼяна Каптованця
Маршала жукова вулиця	вулиця Маршала Жукова
Маршала Чуйкова вулиця	вулиця Маршала Чуйкова
Межовий Бульвар вулиця	вулиця Межовий Бульвар
Міжлісовий хутір вулиця	вулиця Міжлісовий Хутір
Мостова бічна вулиця	Бічна Мостова вулиця
Нижній Береговий провулок	Нижній Береговий провулок
Нижня Берегова вулиця	Нижня Берегова вулиця
Нижня Нова вулиця	Нижня Нова вулиця
Нижня Садова вулиця	Нижня Садова вулиця
Нижня Трудова вулиця	Нижня Трудова вулиця
Нова бічна вулиця	Бічна Нова вулиця
Нова Воля вулиця	вулиця Нова Воля
Нова Воля провулок	провулок Нова Воля
Нова Гребля вулиця	вулиця Нова Гребля
Нова Займа вулиця	вулиця Нова Займа
Нова Залізнична вулиця	Нова Залізнична вулиця
Нова Зоря вулиця	вулиця Нова Зоря
Нова ІІ вулиця	2-га Нова вулиця
Нова Лугова вулиця	Нова Лугова вулиця
Нова Паркова вулиця	Нова Паркова вулиця
Нова Ріка вулиця	вулиця Нова Ріка
Нова Феофанія вулиця	вулиця Нова Феофанія
Нова Яблунева вулиця	Нова Яблунева вулиця
Новаторів Донбасу вулиця	вулиця Новаторів Донбасу
Новий Базар вулиця	вулиця Новий Базар
Новий Зубок вулиця	вулиця Новий Зубок
Новий мікрорайон вулиця	вулиця Новий Мікрорайон
Новий План вулиця	вулиця Новий План
Новий Побут вулиця	вулиця Новий Побут
Новий Побут провулок	провулок Новий Побут
Новий Посьолок вулиця	вулиця Новий Посьолок
Новий Світ Бічна вулиця	Бічна вулиця Новий Світ
Новий світ вулиця	вулиця Новий Світ
Новий Світ вулиця	вулиця Новий Світ
Новий Світ провулок	провулок Новий Світ
Новий шахтар вулиця	вулиця Новий Шахтар
Новий Шлях вулиця	вулиця Новий Шлях
Нурмагомеда Гаджимагомедова площа	площа Нурмагомеда Гаджимагомедова
Перша Виставкова вулиця	Перша Виставкова вулиця
провулок Лісовий І	1-й Лісовий провулок
провулок Лісовий ІІ	2-й Лісовий провулок
провулок Лісовий ІІІ	3-й Лісовий провулок
Промислова бічна вулиця	Бічна Промислова вулиця
проспект Генерала Острякова	проспект Генерала Острякова
проспект Героїв Харкова	проспект Героїв Харкова
Ранкова Зоря вулиця	вулиця Ранкова Зоря
Родини Коваленків вулиця	вулиця Родини Коваленків
Садова  вулиця	Садова вулиця
Садова бічна вулиця	Бічна Садова вулиця
Садова Бічна вулиця	Бічна Садова вулиця
Садовий Бульвар вулиця	вулиця Садовий Бульвар
Садовий Яр вулиця	вулиця Садовий Яр
Скульптора Ізмалкова вулиця	вулиця Скульптора Ізмалкова
Соснова поляна вулиця	вулиця Соснова Поляна
Сосновий бір вулиця	вулиця Сосновий Бір
Сосновий Бір вулиця	вулиця Сосновий Бір
Сосновий Гай вулиця	вулиця Сосновий Гай
Ставковий спуск вулиця	вулиця Ставковий Спуск
Степова друга вулиця	2-га Степова вулиця
Степова перша вулиця	1-ша Степова вулиця
Торгова Бічна вулиця	Бічна Торгова вулиця
Урочище Промисловий центр вулиця	урочище Промисловий Центр
Фруктова бічна вулиця	Бічна Фруктова вулиця
Хмельова друга вулиця	2-га Хмельова вулиця
Хмельова П’ята вулиця	5-та Хмельова вулиця
Хмельова перша вулиця	1-ша Хмельова вулиця
Хмельова третя вулиця	3-тя Хмельова вулиця
Хмельова четверта вулиця	4-та Хмельова вулиця
Художника Канцерова провулок	провулок Художника Канцерова
Хутір Садовий вулиця	вулиця Садовий Хутір
Царова гора вулиця	вулиця Царова Гора
Цукровий завод вулиця	вулиця Цукровий Завод
Червоний Камінь житловий масив	житловий масив Червоний Камінь
Чуйкова Маршала вулиця	вулиця Маршала Чуйкова
