1-й Благовіщенської вулиці провулок	1-й провулок Благовіщенської вулиці
2-й Роменської вулиці провулок	2-й провулок Роменської вулиці
2-й Семирічки вулиці провулок	2-й провулок Семирічки вулиці
2-й Тракторної вулиці провулок	2-й провулок Тракторної вулиці
2-й Троїцької вулиці провулок	2-й провулок Троїцької вулиці
2-й Центральної вулиці тупик	2-й тупик Центральної вулиці
2-й Чернишевського вулиці провулок	2-й провулок вулиці Чернишевського
2-й Шевченка вулиці провулок	2-й провулок Шевченка вулиці
3-й Вишневої вулиці провулок	3-й провулок Вишневої вулиці
3-й Жовтневої вулиці провулок	3-й провулок Жовтневої вулиці
3-й Залізничної вулиці провулок	3-й провулок Залізничної вулиці
3-й Кононівської вулиці провулок	3-й провулок Кононівської вулиці
3-й Полтавської вулиці провулок	3-й провулок Полтавської вулиці
3-й Професійної вулиці провулок	3-й провулок Професійної вулиці
3-й Роменської вулиці провулок	3-й провулок Роменської вулиці
4-й Кононівської вулиці провулок	4-й провулок Кононівської вулиці
4-й Полтавської вулиці провулок	4-й провулок Полтавської вулиці
4-й Роменської вулиці провулок	4-й провулок Роменської вулиці
4-й Семирічки вулиці провулок	4-й провулок вулиці Семирічки
4-й Тернівської вулиці провулок	4-й провулок Тернівської вулиці
4-й Троїцької вулиці провулок	4-й провулок Троїцької вулиці
5-й Ніжинської вулиці провулок	5-й провулок Ніжинської вулиці
Вулиці Західної 1-й тупик	1-й тупик Західної вулиці
Вулиці Західної 4-й тупик	4-й тупик Західної вулиці
Короленка вулиці 1-й провулок	1-й провулок вулиці Короленка
Короленка вулиці 3-й провулок	3-й провулок вулиці Короленка
Кремельницької вулиці 1-й тупик	1-й тупик Кремельницької вулиці
Куйбишевої вулиці 1-й провулок	1-й провулок Куйбишевої вулиці
провулок 1-й вулиці Чекістів	1-й провулок вулиці Чекістів
провулок 1-й Жовтневої вулиці	1-й провулок Жовтневої вулиці
провулок 1-й Леніна вулиці	1-й провулок вулиці Леніна
провулок 1-й Лугової вулиці	1-й провулок Лугової вулиці
провулок 1-й Молодіжної вулиці	1-й провулок Молодіжної вулиці
провулок 1-й Набережної вулиці	1-й провулок Набережної вулиці
провулок 1-й Роменської вулиці	1-й провулок Роменської вулиці
провулок 1-й Соборної вулиці	1-й провулок Соборної вулиці
провулок 1-й Травневої вулиці	1-й провулок Травневої вулиці
провулок 1-й Центральної вулиці	1-й провулок Центральної вулиці
провулок 2-й Берегової вулиці	2-й провулок Берегової вулиці
провулок 2-й вулиці Калнишевського	2-й провулок вулиці Калнишевського
провулок 2-й Леніна вулиці	2-й провулок вулиці Леніна
провулок 2-й Молодіжної вулиці	2-й провулок Молодіжної вулиці
провулок 2-й Роменської вулиці	2-й провулок Роменської вулиці
провулок 2-й Соборної вулиці	2-й провулок Соборної вулиці
провулок 2-й Центральної вулиці	2-й провулок Центральної вулиці
провулок 3-й Леніна вулиці	3-й провулок вулиці Леніна
провулок 3-й Соборної вулиці	3-й провулок Соборної вулиці
провулок 3-й Травневої вулиці	3-й провулок Травневої вулиці
провулок 3-й Центральної вулиці	3-й провулок Центральної вулиці
провулок 4-й Берегової вулиці	4-й провулок Берегової вулиці
провулок 4-й Травневої вулиці	4-й провулок Травневої вулиці
провулок 5-й Леніна вулиці	5-й провулок вулиці Леніна
провулок 5-й Соборної вулиці	5-й провулок Соборної вулиці
провулок 5-й Центральної вулиці	5-й провулок Центральної вулиці
Степової вулиці 1-й провулок	1-й провулок Степової вулиці
Степової вулиці 2-й провулок	2-й провулок Степової вулиці
Сумської вулиці 1-й провулок	1-й провулок Сумської вулиці
Сумської вулиці 2-й провулок	2-й провулок Сумської вулиці
Сумської вулиці 3-й провулок	3-й провулок Сумської вулиці
Сумської вулиці 4-й провулок	4-й провулок Сумської вулиці
Фабричної вулиці 2-й провулок	2-й провулок Фабричної вулиці
Фабричної вулиці 3-й провулок	3-й провулок Фабричної вулиці
Фабричної вулиці 4-й провулок	4-й провулок Фабричної вулиці
Фабричної вулиці 5-й провулок	5-й провулок Фабричної вулиці
