1-й Благовіщенської вулиці провулок	1-й провулок Благовіщенської вулиці
провулок 2-й вулиці Калнишевського	2-й провулок вулиці Калнишевського
провулок 2-й Леніна вулиці	2-й провулок вулиці Леніна
провулок 2-й Молодіжної вулиці	2-й провулок Молодіжної вулиці
провулок 2-й Роменської вулиці	2-й провулок Роменської вулиці
провулок 2-й Соборної вулиці	2-й провулок Соборної вулиці
провулок 2-й Центральної вулиці	2-й провулок Центральної вулиці
провулок 3-й Леніна вулиці	3-й провулок вулиці Леніна
провулок 3-й Соборної вулиці	3-й провулок Соборної вулиці
провулок 3-й Травневої вулиці	3-й провулок Травневої вулиці
провулок 3-й Центральної вулиці	3-й провулок Центральної вулиці
провулок 4-й Берегової вулиці	4-й провулок Берегової вулиці
провулок 4-й Травневої вулиці	4-й провулок Травневої вулиці
провулок 5-й Леніна вулиці	5-й провулок вулиці Леніна
провулок 5-й Соборної вулиці	5-й провулок Соборної вулиці
провулок 5-й Центральної вулиці	5-й провулок Центральної вулиці
Степової вулиці 1-й провулок	1-й провулок Степової вулиці
Степової вулиці 2-й провулок	2-й провулок Степової вулиці
Сумської вулиці 1-й провулок	1-й провулок Сумської вулиці
Сумської вулиці 2-й провулок	2-й провулок Сумської вулиці
Сумської вулиці 3-й провулок	3-й провулок Сумської вулиці
Сумської вулиці 4-й провулок	4-й провулок Сумської вулиці
Фабричної вулиці 2-й провулок	2-й провулок Фабричної вулиці
Фабричної вулиці 3-й провулок	3-й провулок Фабричної вулиці
Фабричної вулиці 4-й провулок	4-й провулок Фабричної вулиці
Фабричної вулиці 5-й провулок	5-й провулок Фабричної вулиці
