1-й Адмірала Лозівського провулок	1-й провулок Адмірала Лозівського
1-й Гетьмана Сагайдачного провулок	1-й провулок Гетьмана Сагайдачного
1-й Гетьмана Скоропадського провулок	1-й провулок Гетьмана Скоропадського
1-й Гната Танцюри провулок	1-й провулок Гната Танцюри
1-й Гната Юри проїзд	1-й проїзд Гната Юри
1-й Гніванське шосе провулок	1-й провулок Гніванське Шосе
1-й Григорія Чупринки провулок	1-й провулок Григорія Чупринки
1-й Данила Галицького провулок	1-й провулок Данила Галицького
1-й Данила Нечая провулок	1-й провулок Данила Нечая
1-й Дениса Квітковського провулок	1-й провулок Дениса Квітковського
1-й Другої П'ятирічки провулок	1-й провулок Другої Пʼятирічки
1-й Євгена Чикаленка провулок	1-й провулок Євгена Чикаленка
1-й Івана Богуна провулок	1-й провулок Івана Богуна
1-й Івана Виговського провулок	1-й провулок Івана Виговського
1-й Івана Липи провулок	1-й провулок Івана Липи
1-й Івана Мазепи провулок	1-й провулок Івана Мазепи
1-й Івана Підкови провулок	1-й провулок Івана Підкови
1-й Івана Пулюя проїзд	1-й проїзд Івана Пулюя
1-й Івана Франка провулок	1-й провулок Івана Франка
1-й Івана Хоменка провулок	1-й провулок Івана Хоменка
1-й Івана Чирки провулок	1-й провулок Івана Чирки
1-й Ігоря Костецького провулок	1-й провулок Ігоря Костецького
1-й Ігоря Муратова провулок	1-й провулок Ігоря Муратова
1-й Ігоря Сікорського провулок	1-й провулок Ігоря Сікорського
1-й Іларія Карбулицького провулок	1-й провулок Іларія Карбулицького
1-й Іллі Рєпіна в'їзд	1-й вʼїзд Іллі Рєпіна
1-й Карла Маркса провулок	1-й провулок Карла Маркса
1-й Каті Зеленко провулок	1-й провулок Каті Зеленко
1-й Козацької Слави провулок	1-й провулок Козацької Слави
1-й Кривий Брід провулок	1-й провулок Кривий Брід
1-й Левка Симиренка в’їзд	1-й вʼїзд Левка Симиренка
1-й Леоніда Каденюка провулок	1-й провулок Леоніда Каденюка
1-й Леоніда Мосендза провулок	1-й провулок Леоніда Мосендза
1-й Лесі Українки провулок	1-й провулок Лесі Українки
1-й Лесі УКраїнки провулок	1-й провулок Лесі Українки
1-й Леся Курбаса провулок	1-й провулок Леся Курбаса
1-й Лубенського Полку провулок	1-й провулок Лубенського Полку
1-й Луї Пастера в’їзд	1-й вʼїзд Луї Пастера
1-й Льва Толстого провулок	1-й провулок Льва Толстого
1-й Людмили Борисової провулок	1-й провулок Людмили Борисової
1-й Лялі Убийвовк провулок	1-й провулок Лялі Убийвовк
1-й Максима Рильського провулок	1-й провулок Максима Рильського
1-й Максима Шаповала провулок	1-й провулок Максима Шаповала
1-й Марії Литвиненко-Вольгемут провулок	1-й провулок Марії Литвиненко-Вольгемут
1-й Марії Примаченко провулок	1-й провулок Марії Примаченко
1-й Миколи Костомарова провулок	1-й провулок Миколи Костомарова
1-й Миколи Леонтовича провулок	1-й провулок Миколи Леонтовича
1-й Миколи Міхновського провулок	1-й провулок Миколи Міхновського
1-й Миколи Римського-Корсакова провулок	1-й провулок Миколи Римського-Корсакова
1-й Миколи Романенка провулок	1-й провулок Миколи Романенка
1-й Миколи Хвильового провулок	1-й провулок Миколи Хвильового
1-й Мирослава Скорика провулок	1-й провулок Мирослава Скорика
1-й Михайла Грищенка провулок	1-й провулок Михайла Грищенка
1-й Михайла Грушевського провулок	1-й провулок Михайла Грушевського
1-й Моріса Тореза провулок	1-й провулок Моріса Тореза
1-й Н. Сосніної провулок	1-й провулок Н. Сосніної
1-й Насті Присяжнюк провулок	1-й провулок Насті Присяжнюк
1-й Немирівське шосе провулок	1-й провулок Немирівське Шосе
1-й Нове Життя провулок	1-й провулок Нове Життя
1-й Овчаренка Дмитра в’їзд	1-й вʼїзд Дмитра Овчаренка
1-й Олександра Герцена провулок	1-й провулок Олександра Герцена
1-й Олександра Довженка в'їзд	1-й вʼїзд Олександра Довженка
1-й Олександра Лотоцького провулок	1-й провулок Олександра Лотоцького
1-й Олександра Невського провулок	1-й провулок Олександра Невського
1-й Олекси Десняка провулок	1-й провулок Олекси Десняка
1-й Олексія Алчевського провулок	1-й провулок Олексія Алчевського
1-й Олексія Миргородського провулок	1-й провулок Олексія Миргородського
1-й Олексія Миргородського проїзд	1-й проїзд Олексія Миргородського
1-й Олеся Гончара провулок	1-й провулок Олеся Гончара
1-й Омеляна Грабця провулок	1-й провулок Омеляна Грабця
1-й Опанаса Сластіона провулок	1-й провулок Опанаса Сластіона
1-й Петера Новотні провулок	1-й провулок Петера Новотні
1-й Петра Вовни провулок	1-й провулок Петра Вовни
1-й Петра Волинця провулок	1-й провулок Петра Волинця
1-й Петра Сагайдачного провулок	1-й провулок Петра Сагайдачного
1-й Пилипа Орлика провулок	1-й провулок Пилипа Орлика
1-й Польового Майдану проїзд	1-й проїзд Польового Майдану
1-й Праведників світу проїзд	1-й проїзд Праведників Світу
1-й провулок Битий Шлях	1-й провулок Битий Шлях
1-й провулок Карла Маркса	1-й провулок Карла Маркса
1-й провулок Олексія Дем'янюка	1-й провулок Олексія Демʼянюка
1-й проезд 21-го МЮДа	1-й проїзд 21-го МЮДу
1-й Професора Голуба провулок	1-й провулок Професора Голуба
1-й Рози Люксембург провулок	1-й провулок Рози Люксембург
1-й Романа Балаби провулок	1-й провулок Романа Балаби
1-й Садової вулици провулок	1-й провулок Садової вулиці
1-й Семена Галицького провулок	1-й провулок Семена Галицького
1-й Семена Гаркуші провулок	1-й провулок Семена Гаркуші
1-й Семена Палія провулок	1-й провулок Семена Палія
1-й Симона Петлюри провулок	1-й провулок Симона Петлюри
1-й Січових стрільців провулок	1-й провулок Січових Стрільців
1-й Січових Стрільців провулок	1-й провулок Січових Стрільців
1-й Софії Русової провулок	1-й провулок Софії Русової
1-й Старий Шлях провулок	1-й провулок Старий Шлях
1-й Тараса Шевченка провулок	1-й провулок Тараса Шевченка
1-й Тетяни Яблонської провулок	1-й провулок Тетяни Яблонської
1-й Устима Кармелюка провулок	1-й провулок Устима Кармелюка
1-й Хмельницького шосе провулок	1-й провулок Хмельницького Шосе
1-й Юрія Гагаріна провулок	1-й провулок Юрія Гагаріна
1-й Юрія Левади проїзд	1-й проїзд Юрія Левади
1-й Яблуневої вулици провулок	1-й провулок Яблуневої вулиці
1-й Якова Батюка провулок	1-й провулок Якова Батюка
1-й Якова Степового провулок	1-й провулок Якова Степового
1-й Ярослава Мудрого провулок	1-й провулок Ярослава Мудрого
2-й 30-ччя Перемоги провулок	2-й провулок 30-річчя Перемоги
2-й Академіка Вернадського проїзд	2-й проїзд Академіка Вернадського
2-й Академіка Корольова провулок	2-й провулок Академіка Корольова
2-й Академіка Пирогова провулок	2-й провулок Академіка Пирогова
2-й Алли Горської провулок	2-й провулок Алли Горської
2-й Антона Турчановича провулок	2-й провулок Антона Турчановича
2-й Аріадни Стебельської провулок	2-й провулок Аріадни Стебельської
2-й Б. Хмельницького провулок	2-й провулок Б. Хмельницького
2-й Богдана Хмельницького провулок	2-й провулок Богдана Хмельницького
2-й Бориса Гмирі провулок	2-й провулок Бориса Гмирі
2-й Бориса Грінченка провулок	2-й провулок Бориса Грінченка
2-й Бориса Шкляра провулок	2-й провулок Бориса Шкляра
2-й В’ячеслава Чорновола провулок	2-й провулок Вʼячеслава Чорновола
2-й Вадима Пузирьова провулок	2-й провулок Вадима Пузирьова
2-й Василенкове Поле провулок	2-й провулок Василенкове Поле
2-й Василя Кандинського провулок	2-й провулок Василя Кандинського
2-й Василя Сліпака провулок	2-й провулок Василя Сліпака
2-й Василя Стуса провулок	2-й провулок Василя Стуса
2-й Василя Чапаєва провулок	2-й провулок Василя Чапаєва
2-й Васіле Александрі провулок	2-й провулок Васіле Александрі
2-й Верхній Вокзальний провулок	2-й Верхній Вокзальний провулок
2-й Віктора Блащука проїзд	2-й проїзд Віктора Блащука
2-й Віктора Мирутенка провулок	2-й провулок Віктора Мирутенка
2-й Володимира Івасюка провулок	2-й провулок Володимира Івасюка
2-й Володимира Свідзінського провулок	2-й провулок Володимира Свідзінського
2-й Генерала Арабея проїзд	2-й проїзд Генерала Арабея
2-й Героїв Роменщини провулок	2-й провулок Героїв Роменщини
2-й Героїв України провулок	2-й провулок Героїв України
2-й Героїв Чорнобиля провулок	2-й провулок Героїв Чорнобиля
2-й Гетьмана Дорошенка провулок	2-й провулок Гетьмана Дорошенка
2-й Гетьмана Скоропадського провулок	2-й провулок Гетьмана Скоропадського
2-й Гната Танцюри провулок	2-й провулок Гната Танцюри
2-й Гната Юри проїзд	2-й проїзд Гната Юри
2-й Гніванське шосе провулок	2-й провулок Гніванське Шосе
2-й Григорія Чупринки провулок	2-й провулок Григорія Чупринки
2-й Данила Галицького провулок	2-й провулок Данила Галицького
2-й Данила Нечая провулок	2-й провулок Данила Нечая
2-й Дениса Квітковського провулок	2-й провулок Дениса Квітковського
2-й Другої П'ятирічки провулок	2-й провулок Другої Пʼятирічки
2-й Дубрівське шосе провулок	2-й провулок Дубрівське Шосе
2-й Євгена Чикаленка провулок	2-й провулок Євгена Чикаленка
2-й І. Франка провулок	2-й провулок І. Франка
2-й Івана Виговського провулок	2-й провулок Івана Виговського
2-й Івана Підкови провулок	2-й провулок Івана Підкови
2-й Івана Пулюя проїзд	2-й проїзд Івана Пулюя
2-й Івана Франка провулок	2-й провулок Івана Франка
2-й Івана Хоменка провулок	2-й провулок Івана Хоменка
2-й Ігоря Костецького провулок	2-й провулок Ігоря Костецького
2-й Ігоря Муратова провулок	2-й провулок Ігоря Муратова
2-й Ігоря Сікорського провулок	2-й провулок Ігоря Сікорського
2-й Іларія Карбулицького провулок	2-й провулок Іларія Карбулицького
2-й Іллі Рєпіна в'їзд	2-й вʼїзд Іллі Рєпіна
2-й Карла Маркса провулок	2-й провулок Карла Маркса
2-й Козацької Слави провулок	2-й провулок Козацької Слави
2-й Костянтина Калініна в’їзд	2-й вʼїзд Костянтина Калініна
2-й Кривий Брід провулок	2-й провулок Кривий Брід
2-й Левка Симиренка в’їзд	2-й вʼїзд Левка Симиренка
2-й Леоніда Каденюка провулок	2-й провулок Леоніда Каденюка
2-й Леоніда Мосендза провулок	2-й провулок Леоніда Мосендза
2-й Лесі Українки провулок	2-й провулок Лесі Українки
2-й Лесі УКраїнки провулок	2-й провулок Лесі УКраїнки
2-й Луї Пастера в’їзд	2-й вʼїзд Луї Пастера
2-й Льва Толстого провулок	2-й провулок Льва Толстого
2-й Людмили Борисової провулок	2-й провулок Людмили Борисової
2-й Лялі Убийвовк провулок	2-й провулок Лялі Убийвовк
2-й Максима Рильського провулок	2-й провулок Максима Рильського
2-й Максима Шаповала провулок	2-й провулок Максима Шаповала
2-й Марії Литвиненко-Вольгемут провулок	2-й провулок Марії Литвиненко-Вольгемут
2-й Марії Примаченко провулок	2-й провулок Марії Примаченко
2-й Миколи Костомарова провулок	2-й провулок Миколи Костомарова
2-й Миколи Міхновського провулок	2-й провулок Миколи Міхновського
2-й Миколи Романенка провулок	2-й провулок Миколи Романенка
2-й Миколи Хвильового провулок	2-й провулок Миколи Хвильового
2-й Мирослава Скорика провулок	2-й провулок Мирослава Скорика
2-й Михайла Грищенка провулок	2-й провулок Михайла Грищенка
2-й Михайла Грушевського провулок	2-й провулок Михайла Грушевського
2-й Михайла Кутузова провулок	2-й провулок Михайла Кутузова
2-й Михайла Ломоносова провулок	2-й провулок Михайла Ломоносова
2-й Міхала Чайковського провулок	2-й провулок Міхала Чайковського
2-й Моріса Тореза провулок	2-й провулок Моріса Тореза
2-й Н. Сосніної провулок	2-й провулок Н. Сосніної
2-й Насті Присяжнюк провулок	2-й провулок Насті Присяжнюк
2-й Нове Життя провулок	2-й провулок Нове Життя
2-й Овчаренка Дмитра в’їзд	2-й вʼїзд Дмитра Овчаренка
2-й Олександра Герцена провулок	2-й провулок Олександра Герцена
2-й Олександра Довженка в'їзд	2-й вʼїзд Олександра Довженка
2-й Олександра Довженка провулок	2-й провулок Олександра Довженка
2-й Олександра Лотоцького провулок	2-й провулок Олександра Лотоцького
2-й Олександра Матросова провулок	2-й провулок Олександра Матросова
2-й Олександра Можайського провулок	2-й провулок Олександра Можайського
2-й Олександра Невського провулок	2-й провулок Олександра Невського
2-й Олекси Десняка провулок	2-й провулок Олекси Десняка
2-й Олексія Алчевського провулок	2-й провулок Олексія Алчевського
2-й Олексія Миргородського провулок	2-й провулок Олексія Миргородського
2-й Олексія Миргородського проїзд	2-й проїзд Олексія Миргородського
2-й Олени Степанівни провулок	2-й провулок Олени Степанівни
2-й Омеляна Грабця провулок	2-й провулок Омеляна Грабця
2-й Опанаса Сластіона провулок	2-й провулок Опанаса Сластіона
2-й Отамана Сірка провулок	2-й провулок Отамана Сірка
2-й Петера Новотні провулок	2-й провулок Петера Новотні
2-й Петра Вовни провулок	2-й провулок Петра Вовни
2-й Петра Волиняка провулок	2-й провулок Петра Волиняка
2-й Петра Сагайдачного провулок	2-й провулок Петра Сагайдачного
2-й Пилипа Орлика провулок	2-й провулок Пилипа Орлика
2-й Покровського Узвозу провулок	2-й провулок Покровського Узвозу
2-й Польового Майдану проїзд	2-й проїзд Польового Майдану
2-й Праведників світу проїзд	2-й проїзд Праведників Світу
2-й провулок Битий Шлях	2-й провулок Битий Шлях
2-й провулок Карла Маркса	2-й провулок Карла Маркса
2-й провулок Олексія Дем'янюка	2-й провулок Олексія Демʼянюка
2-й Професора Голуба провулок	2-й провулок Професора Голуба
2-й Романа Балаби провулок	2-й провулок Романа Балаби
2-й Роменсько-Київської Дивізії провулок	2-й провулок Роменсько-Київської Дивізії
2-й Северина Наливайка провулок	2-й провулок Северина Наливайка
2-й Семена Галицького провулок	2-й провулок Семена Галицького
2-й Семена Палія провулок	2-й провулок Семена Палія
2-й Симона Петлюри провулок	2-й провулок Симона Петлюри
2-й Січових Стрільців провулок	2-й провулок Січових Стрільців
2-й Софії Русової провулок	2-й провулок Софії Русової
2-й Старий Шлях провулок	2-й провулок Старий Шлях
2-й Тараса Шевченка провулок	2-й провулок Тараса Шевченка
2-й Тетяни Яблонської провулок	2-й провулок Тетяни Яблонської
2-й Устима Кармелюка провулок	2-й провулок Устима Кармелюка
2-й Хмельницького шосе провулок	2-й провулок Хмельницького Шосе
2-й Юрія Гагаріна провулок	2-й провулок Юрія Гагаріна
2-й Юрія Левади проїзд	2-й проїзд Юрія Левади
2-й Якова Батюка провулок	2-й провулок Якова Батюка
2-й Якова Степового провулок	2-й провулок Якова Степового
2-й Ярослава Мудрого провулок	2-й провулок Ярослава Мудрого
3-й Адмірала Лозівського провулок	3-й провулок Адмірала Лозівського
3-й Академіка Корольова провулок	3-й провулок Академіка Корольова
3-й Академіка Пирогова провулок	3-й провулок Академіка Пирогова
3-й Антона Турчановича провулок	3-й провулок Антона Турчановича
3-й Аріадни Стебельської провулок	3-й провулок Аріадни Стебельської
3-й Б. Хмельницького провулок	3-й провулок Б. Хмельницького
3-й Богдана Хмельницького провулок	3-й провулок Богдана Хмельницького
3-й Бориса Гмирі провулок	3-й провулок Бориса Гмирі
3-й Василенкове Поле провулок	3-й провулок Василенкове Поле
3-й Василя Кандинського провулок	3-й провулок Василя Кандинського
3-й Василя Стефаника провулок	3-й провулок Василя Стефаника
3-й Василя Стуса провулок	3-й провулок Василя Стуса
3-й Верхній Вокзальний провулок	3-й Верхній Вокзальний провулок
3-й Володимира Свідзінського провулок	3-й провулок Володимира Свідзінського
3-й Генерала Арабея проїзд	3-й проїзд Генерала Арабея
3-й Героїв Роменщини провулок	3-й провулок Героїв Роменщини
3-й Героїв України провулок	3-й провулок Героїв України
3-й Гетьмана Дорошенка провулок	3-й провулок Гетьмана Дорошенка
3-й Гніванське шосе провулок	3-й провулок Гніванське Шосе
3-й Григорія Чупринки провулок	3-й провулок Григорія Чупринки
3-й Данила Нечая провулок	3-й провулок Данила Нечая
3-й Євгена Чикаленка провулок	3-й провулок Євгена Чикаленка
3-й Івана Липи провулок	3-й провулок Івана Липи
3-й Івана Пулюя проїзд	3-й проїзд Івана Пулюя
3-й Івана Франка провулок	3-й провулок Івана Франка
3-й Іларія Карбулицького провулок	3-й провулок Іларія Карбулицького
3-й Козацької Слави провулок	3-й провулок Козацької Слави
3-й Кривий Брід провулок	3-й провулок Кривий Брід
3-й Левка Симиренка в’їзд	3-й вʼїзд Левка Симиренка
3-й Леоніда Каденюка провулок	3-й провулок Леоніда Каденюка
3-й Лесі Українки провулок	3-й провулок Лесі Українки
3-й Лікаря Маєвського провулок	3-й провулок Лікаря Маєвського
3-й Луї Пастера в’їзд	3-й вʼїзд Луї Пастера
3-й Людмили Борисової провулок	3-й провулок Людмили Борисової
3-й Максима Шаповала провулок	3-й провулок Максима Шаповала
3-й Марії Примаченко провулок	3-й провулок Марії Примаченко
3-й Миколи Міхновського провулок	3-й провулок Миколи Міхновського
3-й Михайла Грушевського провулок	3-й провулок Михайла Грушевського
3-й Михайла Кутузова провулок	3-й провулок Михайла Кутузова
3-й Міхала Чайковського провулок	3-й провулок Міхала Чайковського
3-й Моріса Тореза провулок	3-й провулок Моріса Тореза
3-й Насті Присяжнюк провулок	3-й провулок Насті Присяжнюк
3-й Олександра Герцена провулок	3-й провулок Олександра Герцена
3-й Олександра Лотоцького провулок	3-й провулок Олександра Лотоцького
3-й Олекси Десняка провулок	3-й провулок Олекси Десняка
3-й Олексія Алчевського провулок	3-й провулок Олексія Алчевського
3-й Олексія Миргородського проїзд	3-й проїзд Олексія Миргородського
3-й Олени Степанівни провулок	3-й провулок Олени Степанівни
3-й Отамана Сірка провулок	3-й провулок Отамана Сірка
3-й Паризької Комуни в’їзд	3-й вʼїзд Паризької Комуни
3-й Петра Вовни провулок	3-й провулок Петра Вовни
3-й Петра Волиняка провулок	3-й провулок Петра Волиняка
3-й Праведників світу проїзд	3-й проїзд Праведників Світу
3-й Симона Петлюри провулок	3-й провулок Симона Петлюри
3-й Січових Стрільців провулок	3-й провулок Січових Стрільців
3-й Тараса Шевченка провулок	3-й провулок Тараса Шевченка
3-й Юрія Глухова провулок	3-й провулок Юрія Глухова
3-й Юрія Левади проїзд	3-й проїзд Юрія Левади
3-й Якова Степового провулок	3-й провулок Якова Степового
3-й Ярослава Мудрого провулок	3-й провулок Ярослава Мудрого
4-й Аріадни Стебельської провулок	4-й провулок Аріадни Стебельської
4-й Б. Хмельницького провулок	4-й провулок Б. Хмельницького
4-й Богдана Хмельницького провулок	4-й провулок Богдана Хмельницького
4-й Бориса Гмирі провулок	4-й провулок Бориса Гмирі
4-й Василенкове Поле провулок	4-й провулок Василенкове Поле
4-й Василя Кандинського провулок	4-й провулок Василя Кандинського
4-й Василя Стефаника провулок	4-й провулок Василя Стефаника
4-й Генерала Арабея проїзд	4-й проїзд Генерала Арабея
4-й Героїв Роменщини провулок	4-й провулок Героїв Роменщини
4-й Гетьмана Дорошенка провулок	4-й провулок Гетьмана Дорошенка
4-й Гніванське шосе провулок	4-й провулок Гніванське Шосе
4-й Григорія Чупринки провулок	4-й провулок Григорія Чупринки
4-й Євгена Чикаленка провулок	4-й провулок Євгена Чикаленка
4-й Івана Франка провулок	4-й провулок Івана Франка
4-й Кривий Брід провулок	4-й провулок Кривий Брід
4-й Леоніда Каденюка провулок	4-й провулок Леоніда Каденюка
4-й Луї Пастера в’їзд	4-й вʼїзд Луї Пастера
4-й Максима Шаповала провулок	4-й провулок Максима Шаповала
4-й Миколи Міхновського провулок	4-й провулок Миколи Міхновського
4-й Олексія Алчевського провулок	4-й провулок Олексія Алчевського
4-й Олени Степанівни провулок	4-й провулок Олени Степанівни
4-й проезд Восточной улицы	4-й проезд Восточной улицы
4-й Тараса Шевченка провулок	4-й провулок Тараса Шевченка
4-й Юрія Левади проїзд	4-й проїзд Юрія Левади
5-й Б. Хмельницького провулок	5-й провулок Б. Хмельницького
5-й Бориса Гмирі провулок	5-й провулок Бориса Гмирі
5-й Василя Кандинського провулок	5-й провулок Василя Кандинського
5-й Василя Стефаника провулок	5-й провулок Василя Стефаника
5-й Генерала Арабея проїзд	5-й проїзд Генерала Арабея
5-й Гніванське шосе провулок	5-й провулок Гніванське Шосе
5-й Григорія Чупринки провулок	5-й провулок Григорія Чупринки
5-й Євгена Чикаленка провулок	5-й провулок Євгена Чикаленка
5-й Івана Франка провулок	5-й провулок Івана Франка
5-й Кривий Брід провулок	5-й провулок Кривий Брід
5-й Леоніда Каденюка провулок	5-й провулок Леоніда Каденюка
5-й Максима Шаповала провулок	5-й провулок Максима Шаповала
5-й Олени Степанівни провулок	5-й провулок Олени Степанівни
5-й Юрія Левади проїзд	5-й проїзд Юрія Левади
6-й Б. Хмельницького провулок	6-й провулок Б. Хмельницького
6-й Бориса Гмирі провулок	6-й провулок Бориса Гмирі
6-й Генерала Арабея проїзд	6-й проїзд Генерала Арабея
6-й Григорія Чупринки провулок	6-й провулок Григорія Чупринки
6-й Дубрівське шосе провулок	6-й провулок Дубрівське Шосе
6-й Леоніда Каденюка провулок	6-й провулок Леоніда Каденюка
6-й Максима Шаповала провулок	6-й провулок Максима Шаповала
6-й Юрія Левади проїзд	6-й проїзд Юрія Левади
7-й Б. Хмельницького провулок	7-й провулок Б. Хмельницького
7-й Генерала Арабея проїзд	7-й проїзд Генерала Арабея
7-й Григорія Чупринки провулок	7-й провулок Григорія Чупринки
7-й Леоніда Каденюка провулок	7-й провулок Леоніда Каденюка
Гетьмана Мазепи проїзд 1-й	1-й проїзд Гетьмана Мазепи
Гетьмана Мазепи проїзд 2-й	2-й проїзд Гетьмана Мазепи
Гетьмана Мазепи проїзд 3-й	3-й проїзд Гетьмана Мазепи
Пожарского вулиця (1-й проїзд)	1-й проїзд вулиці Пожарського вулиці
провулок 1-й Тараса Шевченка	1-й провулок Тараса Шевченка
провулок 3-й Тараса Шевченка	3-й провулок Тараса Шевченка
провулок 4-й Тараса Шевченка	4-й провулок Тараса Шевченка
