
Авдіївська мала вулиця	Авдіївська Мала вулиця
Дністровська II вулиця	2-га Дністровська вулиця
Дністровська III вулиця	3-тя Дністровська вулиця
Дністровська IV вулиця	4-та Дністровська вулиця
Дністровська V вулиця	5-та Дністровська вулиця
Дністровська VI вулиця	6-та Дністровська вулиця
Дністровська VII вулиця	7-ма Дністровська вулиця
Дністровська VIII вулиця	8-ма Дністровська вулиця
Еммануїла Миська вулиця	вулиця Еммануїла Миська
Затишнянська гора вулиця	вулиця Затишнянська Гора
Затуринська вулиця 	Затуринська вулиця 
Зибенська  вулиця	Зибенська  вулиця
ІІ Комсомольська вулиця	2-га Комсомольська вулиця
Інгульська Набережна вулиця	вулиця Інгульська Набережна
Карпатська Брама вулиця	вулиця Карпатська Брама
Київська Новобудова вулиця	вулиця Київська Новобудова
Київська Русь вулиця	вулиця Київська Русь
Кілійська об'їзна дорога	Кілійська Обʼїзна дорога
Кінська Шия вулиця	вулиця Кінська Шия
Колпитська казарма урочище	урочище Колпитська Казарма
Копійківська Гора вулиця	вулиця Копійківська Гора
Косинська Корчма вулиця	вулиця Косинська Корчма
Косова Черкаська вулиця	Косова Черкаська вулиця
Лип’ янська вулиця	Липʼянська вулиця
Лихвинська Стінка вулиця	вулиця Лихвинська Стінка
Лоцманська станція вулиця	вулиця Лоцманська Станція
Люстдорфська дорога вулиця	вулиця Люстдорфська Дорога
Мала Арнаутська вулиця	Мала Арнаутська вулиця
Мала Бердичівська вулиця	Мала Бердичівська вулиця
Мала Виноградівська вулиця	Мала Виноградівська вулиця
Мала Житомирська вулиця	Мала Житомирська вулиця
Мала Молдавська вулиця	Мала Молдавська вулиця
Мала Морська вулиця	Мала Морська вулиця
Мала Шевченківська вулиця	Мала Шевченківська вулиця
Мар’ янівська вулиця	Марʼянівська вулиця
Мар’їнська балка вулиця	вулиця Марʼїнська Балка
Миколаївська дорога вулиця	вулиця Миколаївська Дорога
Набережна Заводська вулиця	вулиця Заводська Набережна
Набережна Старосамарська вулиця	вулиця Старосамарська Набережна
Набережна Удянська вулиця	вулиця Удянська Набережна
Нарбутівська верхня вулиця	Верхня Нарбутівська вулиця
Нарбутівська нижня вулиця	Нижня Нарбутівська вулиця
Нижня Гиївська вулиця	Нижня Гиївська вулиця
Нижня козаківська вулиця	Нижня Козаківська вулиця
Нижня Козаківська вулиця	Нижня Козаківська вулиця
Нижня Комсомольська вулиця	Нижня Комсомольська вулиця
Нижня П’ятихатська вулиця	Нижня Пʼятихатська вулиця
Нижня Титарівська вулиця	Нижня Титарівська вулиця
Нижня Черкаська вулиця	Нижня Черкаська вулиця
Нова Чуйківська вулиця	Нова Чуйківська вулиця
Охтирська Гора вулиця	вулиця Охтирська Гора
Павловська Гора вулиця	вулиця Павловська Гора
Панська Гора вулиця	вулиця Панська Гора
Переїздівська Гора вулиця	вулиця Переїздівська Гора
Поліська Січ вулиця	вулиця Поліська Січ
Путилівська Роща вулиця	вулиця Путилівська Роща
Радванська Гора вулиця	вулиця Радванська Гора
Рибальська Балка вулиця	вулиця Рибальська Балка
Рогатинська Левада вулиця	вулиця Рогатинська Левада
Російська Слобідка вулиця	вулиця Російська Слобідка
Руська Загорода вулиця	вулиця Руська Загорода
Руська Нижня вулиця	Руська Нижня вулиця
Свято - Михайлівська вулиця	Свято-Михайлівська вулиця
Середня П’ятихатська вулиця	Середня Пʼятихатська вулиця
Січеславська Набережна вулиця	вулиця Січеславська Набережна
Скінішорська Гора вулиця	вулиця Скінішорська Гора
Станція Заводська вулиця	вулиця Заводська Станція
Станція Майорська вулиця	вулиця Майорська Станція
Стара Козіївська дорога	Стара Козіївська дорога
Стара Кримська дорога	Стара Кримська дорога
Стара Люстдорфська дорога	Стара Люстдорфська дорога
Стрийська вулиця Солонка	Стрийська вулиця
Струнківська Набережна вулиця	вулиця Струнківська Набережна
Удянська Набережна вулиця	вулиця Удянська Набережна
Фонтанська дорога вулиця	вулиця Фонтанська Дорога
Харківська Набережна вулиця	вулиця Харківська Набережна
Херсонська  вулиця	Херсонська вулиця
Центральна Штуківська вулиця	Центральна Штуківська вулиця
Червоноповстанська балка вулиця	вулиця Червоноповстанська Балка
Чеська Крошня вулиця	вулиця Чеська Крошня
Шведська Могила вулиця	вулиця Шведська Могила
