1 ряд Нижній Шувар	1-й ряд Нижній Шувар
1-й Олександра Довженка в'їзд	1-й Олександра Довженка вʼїзд
1-й Олександра Лотоцького провулок	1-й Олександра Лотоцького провулок
1-й Олександра Невського провулок	1-й Олександра Невського провулок
1-й Олекси Десняка провулок	1-й Олекси Десняка провулок
1-й Олексія Алчевського провулок	1-й Олексія Алчевського провулок
1-й Олексія Миргородського провулок	1-й Олексія Миргородського провулок
1-й Олексія Миргородського проїзд	1-й Олексія Миргородського проїзд
1-й Олеся Гончара провулок	1-й Олеся Гончара провулок
1-й Омеляна Грабця провулок	1-й Омеляна Грабця провулок
1-й Опанаса Сластіона провулок	1-й Опанаса Сластіона провулок
1-й Петера Новотні провулок	1-й Петера Новотні провулок
1-й Петра Вовни провулок	1-й Петра Вовни провулок
1-й Петра Волинця провулок	1-й Петра Волинця провулок
1-й Петра Сагайдачного провулок	1-й Петра Сагайдачного провулок
1-й Пилипа Орлика провулок	1-й Пилипа Орлика провулок
1-й Польового Майдану проїзд	1-й Польового Майдану проїзд
1-й Праведників світу проїзд	1-й Праведників світу проїзд
1-й провулок Битий Шлях	1-й провулок Битий Шлях
1-й провулок Карла Маркса	1-й провулок Карла Маркса
1-й провулок Олексія Дем'янюка	1-й провулок Олексія Демʼянюка
1-й проезд 21-го МЮДа	1-й проезд 21-го МЮДа
1-й проезд Верхоянской улици	1-й проезд Верхоянской улици
1-й проезд Восточной улицы	1-й проезд Восточной улицы
1-й проезд улицы Бойкая	1-й проезд улицы Бойкая
1-й проезд улицы Сеченова	1-й проезд улицы Сеченова
1-й Професора Голуба провулок	1-й Професора Голуба провулок
1-й Рози Люксембург провулок	1-й Рози Люксембург провулок
1-й Романа Балаби провулок	1-й Романа Балаби провулок
1-й Садової вулици провулок	1-й Садової вулици провулок
1-й Семена Галицького провулок	1-й Семена Галицького провулок
1-й Семена Гаркуші провулок	1-й Семена Гаркуші провулок
1-й Семена Палія провулок	1-й Семена Палія провулок
1-й Симона Петлюри провулок	1-й Симона Петлюри провулок
1-й Січових стрільців провулок	1-й Січових стрільців провулок
1-й Січових Стрільців провулок	1-й Січових Стрільців провулок
1-й Софії Русової провулок	1-й Софії Русової провулок
1-й Старий Шлях провулок	1-й Старий Шлях провулок
1-й Тараса Шевченка провулок	1-й Тараса Шевченка провулок
1-й Тетяни Яблонської провулок	1-й Тетяни Яблонської провулок
1-й Устима Кармелюка провулок	1-й Устима Кармелюка провулок
1-й Хмельницького шосе провулок	1-й Хмельницького шосе провулок
1-й Юрія Гагаріна провулок	1-й Юрія Гагаріна провулок
1-й Юрія Левади проїзд	1-й Юрія Левади проїзд
1-й Яблуневої вулици провулок	1-й Яблуневої вулици провулок
1-й Якова Батюка провулок	1-й Якова Батюка провулок
1-й Якова Степового провулок	1-й Якова Степового провулок
1-й Ярослава Мудрого провулок	1-й Ярослава Мудрого провулок
11-й км Смілянського шосе	11-й км Смілянського шосе
127-й км трассы Киев-Чоп	127-й км трассы Киев-Чоп
2-й 30-ччя Перемоги провулок	2-й 30-ччя Перемоги провулок
2-й Академіка Вернадського проїзд	2-й Академіка Вернадського проїзд
2-й Академіка Корольова провулок	2-й Академіка Корольова провулок
2-й Академіка Пирогова провулок	2-й Академіка Пирогова провулок
2-й Алли Горської провулок	2-й Алли Горської провулок
2-й Антона Турчановича провулок	2-й Антона Турчановича провулок
2-й Аріадни Стебельської провулок	2-й Аріадни Стебельської провулок
2-й Б. Хмельницького провулок	2-й Б. Хмельницького провулок
2-й Богдана Хмельницького провулок	2-й Богдана Хмельницького провулок
2-й Бориса Гмирі провулок	2-й Бориса Гмирі провулок
2-й Бориса Грінченка провулок	2-й Бориса Грінченка провулок
2-й Бориса Шкляра провулок	2-й Бориса Шкляра провулок
2-й В’ячеслава Чорновола провулок	2-й Вʼячеслава Чорновола провулок
2-й Вадима Пузирьова провулок	2-й Вадима Пузирьова провулок
2-й Василенкове Поле провулок	2-й Василенкове Поле провулок
2-й Василя Кандинського провулок	2-й Василя Кандинського провулок
2-й Василя Сліпака провулок	2-й Василя Сліпака провулок
2-й Василя Стуса провулок	2-й Василя Стуса провулок
2-й Василя Чапаєва провулок	2-й Василя Чапаєва провулок
2-й Васіле Александрі провулок	2-й Васіле Александрі провулок
2-й Верхній Вокзальний провулок	2-й Верхній Вокзальний провулок
2-й Віктора Блащука проїзд	2-й Віктора Блащука проїзд
2-й Віктора Мирутенка провулок	2-й Віктора Мирутенка провулок
2-й Володимира Івасюка провулок	2-й Володимира Івасюка провулок
2-й Володимира Свідзінського провулок	2-й Володимира Свідзінського провулок
2-й Генерала Арабея проїзд	2-й Генерала Арабея проїзд
2-й Героїв Роменщини провулок	2-й Героїв Роменщини провулок
2-й Героїв України провулок	2-й Героїв України провулок
2-й Героїв Чорнобиля провулок	2-й Героїв Чорнобиля провулок
2-й Гетьмана Дорошенка провулок	2-й Гетьмана Дорошенка провулок
2-й Гетьмана Скоропадського провулок	2-й Гетьмана Скоропадського провулок
2-й Гната Танцюри провулок	2-й Гната Танцюри провулок
2-й Гната Юри проїзд	2-й Гната Юри проїзд
2-й Гніванське шосе провулок	2-й Гніванське шосе провулок
2-й Григорія Чупринки провулок	2-й Григорія Чупринки провулок
2-й Данила Галицького провулок	2-й Данила Галицького провулок
2-й Данила Нечая провулок	2-й Данила Нечая провулок
2-й Дениса Квітковського провулок	2-й Дениса Квітковського провулок
2-й Другої П'ятирічки провулок	2-й Другої Пʼятирічки провулок
2-й Дубрівське шосе провулок	2-й Дубрівське шосе провулок
2-й Євгена Чикаленка провулок	2-й Євгена Чикаленка провулок
2-й І. Франка провулок	2-й І. Франка провулок
2-й Івана Виговського провулок	2-й Івана Виговського провулок
2-й Івана Підкови провулок	2-й Івана Підкови провулок
2-й Івана Пулюя проїзд	2-й Івана Пулюя проїзд
2-й Івана Франка провулок	2-й Івана Франка провулок
2-й Івана Хоменка провулок	2-й Івана Хоменка провулок
2-й Ігоря Костецького провулок	2-й Ігоря Костецького провулок
2-й Ігоря Муратова провулок	2-й Ігоря Муратова провулок
2-й Ігоря Сікорського провулок	2-й Ігоря Сікорського провулок
2-й Іларія Карбулицького провулок	2-й Іларія Карбулицького провулок
2-й Іллі Рєпіна в'їзд	2-й Іллі Рєпіна вʼїзд
2-й Карла Маркса провулок	2-й Карла Маркса провулок
2-й Козацької Слави провулок	2-й Козацької Слави провулок
2-й конной дивизии 33	2-й конной дивизии 33
2-й Костянтина Калініна в’їзд	2-й Костянтина Калініна вʼїзд
2-й Кривий Брід провулок	2-й Кривий Брід провулок
2-й Левка Симиренка в’їзд	2-й Левка Симиренка вʼїзд
2-й Леоніда Каденюка провулок	2-й Леоніда Каденюка провулок
2-й Леоніда Мосендза провулок	2-й Леоніда Мосендза провулок
2-й Лесі Українки провулок	2-й Лесі Українки провулок
2-й Лесі УКраїнки провулок	2-й Лесі УКраїнки провулок
2-й Луї Пастера в’їзд	2-й Луї Пастера вʼїзд
2-й Льва Толстого провулок	2-й Льва Толстого провулок
2-й Людмили Борисової провулок	2-й Людмили Борисової провулок
2-й Лялі Убийвовк провулок	2-й Лялі Убийвовк провулок
2-й Максима Рильського провулок	2-й Максима Рильського провулок
2-й Максима Шаповала провулок	2-й Максима Шаповала провулок
2-й Марії Литвиненко-Вольгемут провулок	2-й Марії Литвиненко-Вольгемут провулок
2-й Марії Примаченко провулок	2-й Марії Примаченко провулок
2-й Миколи Костомарова провулок	2-й Миколи Костомарова провулок
2-й Миколи Міхновського провулок	2-й Миколи Міхновського провулок
2-й Миколи Романенка провулок	2-й Миколи Романенка провулок
2-й Миколи Хвильового провулок	2-й Миколи Хвильового провулок
2-й Мирослава Скорика провулок	2-й Мирослава Скорика провулок
2-й Михайла Грищенка провулок	2-й Михайла Грищенка провулок
2-й Михайла Грушевського провулок	2-й Михайла Грушевського провулок
2-й Михайла Кутузова провулок	2-й Михайла Кутузова провулок
2-й Михайла Ломоносова провулок	2-й Михайла Ломоносова провулок
2-й Міхала Чайковського провулок	2-й Міхала Чайковського провулок
2-й Моріса Тореза провулок	2-й Моріса Тореза провулок
2-й Н. Сосніної провулок	2-й Н. Сосніної провулок
2-й Насті Присяжнюк провулок	2-й Насті Присяжнюк провулок
2-й Нове Життя провулок	2-й Нове Життя провулок
2-й Овчаренка Дмитра в’їзд	2-й Овчаренка Дмитра вʼїзд
2-й Олександра Герцена провулок	2-й Олександра Герцена провулок
2-й Олександра Довженка в'їзд	2-й Олександра Довженка вʼїзд
2-й Олександра Довженка провулок	2-й Олександра Довженка провулок
2-й Олександра Лотоцького провулок	2-й Олександра Лотоцького провулок
2-й Олександра Матросова провулок	2-й Олександра Матросова провулок
2-й Олександра Можайського провулок	2-й Олександра Можайського провулок
2-й Олександра Невського провулок	2-й Олександра Невського провулок
2-й Олекси Десняка провулок	2-й Олекси Десняка провулок
2-й Олексія Алчевського провулок	2-й Олексія Алчевського провулок
2-й Олексія Миргородського провулок	2-й Олексія Миргородського провулок
2-й Олексія Миргородського проїзд	2-й Олексія Миргородського проїзд
2-й Олени Степанівни провулок	2-й Олени Степанівни провулок
2-й Омеляна Грабця провулок	2-й Омеляна Грабця провулок
2-й Опанаса Сластіона провулок	2-й Опанаса Сластіона провулок
2-й Отамана Сірка провулок	2-й Отамана Сірка провулок
2-й Петера Новотні провулок	2-й Петера Новотні провулок
2-й Петра Вовни провулок	2-й Петра Вовни провулок
2-й Петра Волиняка провулок	2-й Петра Волиняка провулок
2-й Петра Сагайдачного провулок	2-й Петра Сагайдачного провулок
2-й Пилипа Орлика провулок	2-й Пилипа Орлика провулок
2-й Покровського Узвозу провулок	2-й Покровського Узвозу провулок
2-й Польового Майдану проїзд	2-й Польового Майдану проїзд
2-й Праведників світу проїзд	2-й Праведників світу проїзд
2-й провулок Битий Шлях	2-й провулок Битий Шлях
2-й провулок Карла Маркса	2-й провулок Карла Маркса
2-й провулок Олексія Дем'янюка	2-й провулок Олексія Демʼянюка
2-й проезд Восточной улицы	2-й проезд Восточной улицы
2-й проезд Западной улицы	2-й проезд Западной улицы
2-й проезд Озен Бою	2-й проезд Озен Бою
2-й проезд улицы Бойкая	2-й проезд улицы Бойкая
2-й Професора Голуба провулок	2-й Професора Голуба провулок
2-й Романа Балаби провулок	2-й Романа Балаби провулок
2-й Роменсько-Київської Дивізії провулок	2-й Роменсько-Київської Дивізії провулок
2-й Северина Наливайка провулок	2-й Северина Наливайка провулок
2-й Семена Галицького провулок	2-й Семена Галицького провулок
2-й Семена Палія провулок	2-й Семена Палія провулок
2-й Симона Петлюри провулок	2-й Симона Петлюри провулок
2-й Січових Стрільців провулок	2-й Січових Стрільців провулок
2-й Софії Русової провулок	2-й Софії Русової провулок
2-й Старий Шлях провулок	2-й Старий Шлях провулок
2-й Тараса Шевченка провулок	2-й Тараса Шевченка провулок
2-й Тетяни Яблонської провулок	2-й Тетяни Яблонської провулок
2-й Устима Кармелюка провулок	2-й Устима Кармелюка провулок
2-й Хмельницького шосе провулок	2-й Хмельницького шосе провулок
2-й Юрія Гагаріна провулок	2-й Юрія Гагаріна провулок
2-й Юрія Левади проїзд	2-й Юрія Левади проїзд
2-й Якова Батюка провулок	2-й Якова Батюка провулок
2-й Якова Степового провулок	2-й Якова Степового провулок
2-й Ярослава Мудрого провулок	2-й Ярослава Мудрого провулок
3-й Адмірала Лозівського провулок	3-й Адмірала Лозівського провулок
3-й Академіка Корольова провулок	3-й Академіка Корольова провулок
3-й Академіка Пирогова провулок	3-й Академіка Пирогова провулок
3-й Антона Турчановича провулок	3-й Антона Турчановича провулок
3-й Аріадни Стебельської провулок	3-й Аріадни Стебельської провулок
3-й Б. Хмельницького провулок	3-й Б. Хмельницького провулок
3-й Богдана Хмельницького провулок	3-й Богдана Хмельницького провулок
3-й Бориса Гмирі провулок	3-й Бориса Гмирі провулок
3-й Василенкове Поле провулок	3-й Василенкове Поле провулок
3-й Василя Кандинського провулок	3-й Василя Кандинського провулок
3-й Василя Стефаника провулок	3-й Василя Стефаника провулок
3-й Василя Стуса провулок	3-й Василя Стуса провулок
3-й Верхній Вокзальний провулок	3-й Верхній Вокзальний провулок
3-й Володимира Свідзінського провулок	3-й Володимира Свідзінського провулок
3-й Генерала Арабея проїзд	3-й Генерала Арабея проїзд
3-й Героїв Роменщини провулок	3-й Героїв Роменщини провулок
3-й Героїв України провулок	3-й Героїв України провулок
3-й Гетьмана Дорошенка провулок	3-й Гетьмана Дорошенка провулок
3-й Гніванське шосе провулок	3-й Гніванське шосе провулок
3-й Григорія Чупринки провулок	3-й Григорія Чупринки провулок
3-й Данила Нечая провулок	3-й Данила Нечая провулок
3-й Євгена Чикаленка провулок	3-й Євгена Чикаленка провулок
3-й Івана Липи провулок	3-й Івана Липи провулок
3-й Івана Пулюя проїзд	3-й Івана Пулюя проїзд
3-й Івана Франка провулок	3-й Івана Франка провулок
3-й Іларія Карбулицького провулок	3-й Іларія Карбулицького провулок
3-й Козацької Слави провулок	3-й Козацької Слави провулок
3-й Кривий Брід провулок	3-й Кривий Брід провулок
3-й Левка Симиренка в’їзд	3-й Левка Симиренка вʼїзд
3-й Леоніда Каденюка провулок	3-й Леоніда Каденюка провулок
3-й Лесі Українки провулок	3-й Лесі Українки провулок
3-й Лікаря Маєвського провулок	3-й Лікаря Маєвського провулок
3-й Луї Пастера в’їзд	3-й Луї Пастера вʼїзд
3-й Людмили Борисової провулок	3-й Людмили Борисової провулок
3-й Максима Шаповала провулок	3-й Максима Шаповала провулок
3-й Марії Примаченко провулок	3-й Марії Примаченко провулок
3-й Миколи Міхновського провулок	3-й Миколи Міхновського провулок
3-й Михайла Грушевського провулок	3-й Михайла Грушевського провулок
3-й Михайла Кутузова провулок	3-й Михайла Кутузова провулок
3-й Міхала Чайковського провулок	3-й Міхала Чайковського провулок
3-й Моріса Тореза провулок	3-й Моріса Тореза провулок
3-й Насті Присяжнюк провулок	3-й Насті Присяжнюк провулок
3-й Олександра Герцена провулок	3-й Олександра Герцена провулок
3-й Олександра Лотоцького провулок	3-й Олександра Лотоцького провулок
3-й Олекси Десняка провулок	3-й Олекси Десняка провулок
3-й Олексія Алчевського провулок	3-й Олексія Алчевського провулок
3-й Олексія Миргородського проїзд	3-й Олексія Миргородського проїзд
3-й Олени Степанівни провулок	3-й Олени Степанівни провулок
3-й Отамана Сірка провулок	3-й Отамана Сірка провулок
3-й Паризької Комуни в’їзд	3-й Паризької Комуни вʼїзд
3-й Петра Вовни провулок	3-й Петра Вовни провулок
3-й Петра Волиняка провулок	3-й Петра Волиняка провулок
3-й Праведників світу проїзд	3-й Праведників світу проїзд
3-й проезд Восточной улицы	3-й проезд Восточной улицы
3-й проезд Западной улицы	3-й проезд Западной улицы
3-й проезд Озен Бою	3-й проезд Озен Бою
3-й Симона Петлюри провулок	3-й Симона Петлюри провулок
3-й Січових Стрільців провулок	3-й Січових Стрільців провулок
3-й Тараса Шевченка провулок	3-й Тараса Шевченка провулок
3-й Юрія Глухова провулок	3-й Юрія Глухова провулок
3-й Юрія Левади проїзд	3-й Юрія Левади проїзд
3-й Якова Степового провулок	3-й Якова Степового провулок
3-й Ярослава Мудрого провулок	3-й Ярослава Мудрого провулок
4-й Аріадни Стебельської провулок	4-й Аріадни Стебельської провулок
4-й Б. Хмельницького провулок	4-й Б. Хмельницького провулок
4-й Богдана Хмельницького провулок	4-й Богдана Хмельницького провулок
4-й Бориса Гмирі провулок	4-й Бориса Гмирі провулок
4-й Василенкове Поле провулок	4-й Василенкове Поле провулок
4-й Василя Кандинського провулок	4-й Василя Кандинського провулок
4-й Василя Стефаника провулок	4-й Василя Стефаника провулок
4-й Генерала Арабея проїзд	4-й Генерала Арабея проїзд
4-й Героїв Роменщини провулок	4-й Героїв Роменщини провулок
4-й Гетьмана Дорошенка провулок	4-й Гетьмана Дорошенка провулок
4-й Гніванське шосе провулок	4-й Гніванське шосе провулок
4-й Григорія Чупринки провулок	4-й Григорія Чупринки провулок
4-й Євгена Чикаленка провулок	4-й Євгена Чикаленка провулок
4-й Івана Франка провулок	4-й Івана Франка провулок
4-й Кривий Брід провулок	4-й Кривий Брід провулок
4-й Леоніда Каденюка провулок	4-й Леоніда Каденюка провулок
4-й Луї Пастера в’їзд	4-й Луї Пастера вʼїзд
4-й Максима Шаповала провулок	4-й Максима Шаповала провулок
4-й Миколи Міхновського провулок	4-й Миколи Міхновського провулок
4-й Олексія Алчевського провулок	4-й Олексія Алчевського провулок
4-й Олени Степанівни провулок	4-й Олени Степанівни провулок
4-й проезд Восточной улицы	4-й проезд Восточной улицы
4-й Тараса Шевченка провулок	4-й Тараса Шевченка провулок
4-й Юрія Левади проїзд	4-й Юрія Левади проїзд
5-й Б. Хмельницького провулок	5-й Б. Хмельницького провулок
5-й Бориса Гмирі провулок	5-й Бориса Гмирі провулок
5-й Василя Кандинського провулок	5-й Василя Кандинського провулок
5-й Василя Стефаника провулок	5-й Василя Стефаника провулок
5-й Генерала Арабея проїзд	5-й Генерала Арабея проїзд
5-й Гніванське шосе провулок	5-й Гніванське шосе провулок
5-й Григорія Чупринки провулок	5-й Григорія Чупринки провулок
5-й Євгена Чикаленка провулок	5-й Євгена Чикаленка провулок
5-й Івана Франка провулок	5-й Івана Франка провулок
5-й Кривий Брід провулок	5-й Кривий Брід провулок
5-й Леоніда Каденюка провулок	5-й Леоніда Каденюка провулок
5-й Максима Шаповала провулок	5-й Максима Шаповала провулок
5-й Олени Степанівни провулок	5-й Олени Степанівни провулок
5-й Юрія Левади проїзд	5-й Юрія Левади проїзд
6-й Б. Хмельницького провулок	6-й Б. Хмельницького провулок
6-й Бориса Гмирі провулок	6-й Бориса Гмирі провулок
6-й Генерала Арабея проїзд	6-й Генерала Арабея проїзд
6-й Григорія Чупринки провулок	6-й Григорія Чупринки провулок
6-й Дубрівське шосе провулок	6-й Дубрівське шосе провулок
6-й Леоніда Каденюка провулок	6-й Леоніда Каденюка провулок
6-й Максима Шаповала провулок	6-й Максима Шаповала провулок
6-й Юрія Левади проїзд	6-й Юрія Левади проїзд
7-й Б. Хмельницького провулок	7-й Б. Хмельницького провулок
7-й Генерала Арабея проїзд	7-й Генерала Арабея проїзд
7-й Григорія Чупринки провулок	7-й Григорія Чупринки провулок
7-й Леоніда Каденюка провулок	7-й Леоніда Каденюка провулок
Гетьмана Мазепи проїзд 1-й	Гетьмана Мазепи проїзд 1-й
Гетьмана Мазепи проїзд 2-й	Гетьмана Мазепи проїзд 2-й
Гетьмана Мазепи проїзд 3-й	Гетьмана Мазепи проїзд 3-й
Защитников 35-й батареи аллея	Защитников 35-й батареи аллея
озен бою 2-й проезд	озен бою 2-й проезд
Пожарского вулиця (1-й проїзд)	Пожарского вулиця (1-й проїзд)
провулок 1-й Тараса Шевченка	1-й провулок Тараса Шевченка
провулок 3-й Тараса Шевченка	3-й провулок Тараса Шевченка
провулок 4-й Тараса Шевченка	4-й провулок Тараса Шевченка
